Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Francesco PERNICI,18 FEB 2003,1:44.40,ITA,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,9.,dl_meeting
Abdelati EL GUESSE,27 FEB 1993,1:44.62,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,10.,dl_meeting
Mark ENGLISH,18 MAR 1993,1:45.00,IRL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,11.,dl_meeting
Imad BOUCHAJDA,23 MAR 2007,1:45.15,MAR,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,12.,dl_meeting
Patryk SIERADZKI,06 OCT 1998,DNF,POL,Meeting International Mohammed VI d'Athletisme de Rabat,31 MAY 2026,2026,,dl_meeting
Cooper LUTKENHAUS,19 DEC 2008,1:42.70,USA,BAUHAUS-Galan,07 JUN 2026,2026,1.,dl_meeting
Marco AROP,20 SEP 1998,1:43.11,CAN,BAUHAUS-Galan,07 JUN 2026,2026,2.,dl_meeting
Slimane MOULA,25 FEB 1999,1:43.41,ALG,BAUHAUS-Galan,07 JUN 2026,2026,3.,dl_meeting
Ben PATTISON,15 DEC 2001,1:43.70,GBR,BAUHAUS-Galan,07 JUN 2026,2026,4.,dl_meeting
Peter BOL,22 FEB 1994,1:43.70,AUS,BAUHAUS-Galan,07 JUN 2026,2026,5.,dl_meeting
Gabriel TUAL,09 APR 1998,1:43.72,FRA,BAUHAUS-Galan,07 JUN 2026,2026,6.,dl_meeting
Jake WIGHTMAN,11 JUL 1994,1:44.39,GBR,BAUHAUS-Galan,07 JUN 2026,2026,7.,dl_meeting
Bryce HOPPEL,05 SEP 1997,1:44.66,USA,BAUHAUS-Galan,07 JUN 2026,2026,8.,dl_meeting
Kethobogile HAINGURA,14 DEC 1998,1:45.58,BOT,BAUHAUS-Galan,07 JUN 2026,2026,9.,dl_meeting
Mohamed ATTAOUI,26 SEP 2001,1:46.92,ESP,BAUHAUS-Galan,07 JUN 2026,2026,10.,dl_meeting
Patryk SIERADZKI,06 OCT 1998,DNF,POL,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Cooper LUTKENHAUS,19 DEC 2008,1:42.08,USA,Oslo Bislett Games,10 JUN 2026,2026,1.,dl_meeting
Emmanuel WANYONYI,01 AUG 2004,1:42.09,KEN,Oslo Bislett Games,10 JUN 2026,2026,2.,dl_meeting
Marco AROP,20 SEP 1998,1:43.33,CAN,Oslo Bislett Games,10 JUN 2026,2026,3.,dl_meeting
Tobias GRØNSTAD,06 JUL 2002,1:43.61,NOR,Oslo Bislett Games,10 JUN 2026,2026,4.,dl_meeting
Peter BOL,22 FEB 1994,1:43.64,AUS,Oslo Bislett Games,10 JUN 2026,2026,5.,dl_meeting
Eliott CRESTAN,22 FEB 1999,1:43.85,BEL,Oslo Bislett Games,10 JUN 2026,2026,6.,dl_meeting
Gabriel TUAL,09 APR 1998,1:44.79,FRA,Oslo Bislett Games,10 JUN 2026,2026,7.,dl_meeting
Mohamed ATTAOUI,26 SEP 2001,1:45.66,ESP,Oslo Bislett Games,10 JUN 2026,2026,8.,dl_meeting
Mark ENGLISH,18 MAR 1993,DNF,IRL,Oslo Bislett Games,10 JUN 2026,2026,,dl_meeting
Patryk SIERADZKI,06 OCT 1998,DNF,POL,Oslo Bislett Games,10 JUN 2026,2026,,dl_meeting
Marco AROP,20 SEP 1998,1:41.84,CAN,Meeting de Paris,28 JUN 2026,2026,1.,dl_meeting
Niels LAROS,17 APR 2005,1:43.60,NED,Meeting de Paris,28 JUN 2026,2026,2.,dl_meeting
Tobias GRØNSTAD,06 JUL 2002,1:43.63,NOR,Meeting de Paris,28 JUN 2026,2026,3.,dl_meeting
Ben PATTISON,15 DEC 2001,1:43.71,GBR,Meeting de Paris,28 JUN 2026,2026,4.,dl_meeting
Eliott CRESTAN,22 FEB 1999,1:44.23,BEL,Meeting de Paris,28 JUN 2026,2026,5.,dl_meeting
Louey OUERRAT,04 NOV 2004,1:44.40,FRA,Meeting de Paris,28 JUN 2026,2026,6.,dl_meeting
Yanis MEZIANE,26 JAN 2002,1:44.40,FRA,Meeting de Paris,28 JUN 2026,2026,7.,dl_meeting
Gabriel TUAL,09 APR 1998,1:44.92,FRA,Meeting de Paris,28 JUN 2026,2026,8.,dl_meeting
Mohamed ATTAOUI,26 SEP 2001,1:45.09,ESP,Meeting de Paris,28 JUN 2026,2026,9.,dl_meeting
Slimane MOULA,25 FEB 1999,DNF,ALG,Meeting de Paris,28 JUN 2026,2026,,dl_meeting
Patryk SIERADZKI,06 OCT 1998,DNF,POL,Meeting de Paris,28 JUN 2026,2026,,dl_meeting
Brandon MILLER,30 JAN 2002,1:42.19,USA,Novuna London Athletics Meet,18 JUL 2026,2026,1.,dl_meeting
Mark ENGLISH,18 MAR 1993,1:42.97,IRL,Novuna London Athletics Meet,18 JUL 2026,2026,2.,dl_meeting
Max BURGIN,20 MAY 2002,1:43.30,GBR,Novuna London Athletics Meet,18 JUL 2026,2026,3.,dl_meeting
Emmanuel WANYONYI,01 AUG 2004,1:43.31,KEN,Novuna London Athletics Meet,18 JUL 2026,2026,4.,dl_meeting
Ben PATTISON,15 DEC 2001,1:43.34,GBR,Novuna London Athletics Meet,18 JUL 2026,2026,5.,dl_meeting
Peter BOL,22 FEB 1994,1:43.60,AUS,Novuna London Athletics Meet,18 JUL 2026,2026,6.,dl_meeting
Cian MCPHILLIPS,07 JUN 2002,1:43.97,IRL,Novuna London Athletics Meet,18 JUL 2026,2026,7.,dl_meeting
Tobias GRØNSTAD,06 JUL 2002,1:44.58,NOR,Novuna London Athletics Meet,18 JUL 2026,2026,8.,dl_meeting
Alex BOTTERILL,18 JAN 2000,1:44.71,GBR,Novuna London Athletics Meet,18 JUL 2026,2026,9.,dl_meeting
Bryce HOPPEL,05 SEP 1997,1:45.32,USA,Novuna London Athletics Meet,18 JUL 2026,2026,10.,dl_meeting
Patryk SIERADZKI,06 OCT 1998,DNF,POL,Novuna London Athletics Meet,18 JUL 2026,2026,,dl_meeting
Emmanuel WANYONYI,01 AUG 2004,1:42.19,KEN,Athletissima Lausanne,21 AUG 2026,2026,1.,dl_meeting
Djamel SEDJATI,03 MAY 1999,1:42.31,ALG,Athletissima Lausanne,21 AUG 2026,2026,2.,dl_meeting
Brandon MILLER,30 JAN 2002,1:42.55,USA,Athletissima Lausanne,21 AUG 2026,2026,3.,dl_meeting
Marco AROP,20 SEP 1998,1:43.18,CAN,Athletissima Lausanne,21 AUG 2026,2026,4.,dl_meeting
Gabriel TUAL,09 APR 1998,1:44.18,FRA,Athletissima Lausanne,21 AUG 2026,2026,5.,dl_meeting
Marino BLOUDEK,18 JUL 1999,1:44.21,CRO,Athletissima Lausanne,21 AUG 2026,2026,6.,dl_meeting
David BARROSO,21 AUG 2001,1:44.63,ESP,Athletissima Lausanne,21 AUG 2026,2026,7.,dl_meeting
Francesco PERNICI,18 FEB 2003,1:44.79,ITA,Athletissima Lausanne,21 AUG 2026,2026,8.,dl_meeting
Patryk SIERADZKI,06 OCT 1998,DNF,POL,Athletissima Lausanne,21 AUG 2026,2026,,dl_meeting
Emmanuel WANYONYI,01 AUG 2004,1:41.76,KEN,Weltklasse Zürich,27 AUG 2026,2026,1.,dl_meeting
Djamel SEDJATI,03 MAY 1999,1:41.83,ALG,Weltklasse Zürich,27 AUG 2026,2026,2.,dl_meeting
Slimane MOULA,25 FEB 1999,1:43.52,ALG,Weltklasse Zürich,27 AUG 2026,2026,3.,dl_meeting
Jake WIGHTMAN,11 JUL 1994,1:43.76,GBR,Weltklasse Zürich,27 AUG 2026,2026,4.,dl_meeting
Gabriel TUAL,09 APR 1998,1:43.89,FRA,Weltklasse Zürich,27 AUG 2026,2026,5.,dl_meeting
Wyclife KINYAMAL,02 JUL 1997,1:44.25,KEN,Weltklasse Zürich,27 AUG 2026,2026,6.,dl_meeting
Navasky ANDERSON,21 JAN 2000,1:44.31,JAM,Weltklasse Zürich,27 AUG 2026,2026,7.,dl_meeting
Ramon WIPFLI,30 JUN 2004,1:44.76,SUI,Weltklasse Zürich,27 AUG 2026,2026,8.,dl_meeting
Ivan PELIZZA,17 DEC 2000,1:45.05,SUI,Weltklasse Zürich,27 AUG 2026,2026,9.,dl_meeting
Mohamed ATTAOUI,26 SEP 2001,DNF,ESP,Weltklasse Zürich,27 AUG 2026,2026,,dl_meeting
Patryk SIERADZKI,06 OCT 1998,DNF,POL,Weltklasse Zürich,27 AUG 2026,2026,,dl_meeting
Maciej WYDERKA,29 JUL 2002,DNF,POL,Weltklasse Zürich,27 AUG 2026,2026,,dl_meeting
