Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat,Venue,Date,Results Score,discipline,year,ProfileURL,source
37,27:30.90,,Simon BAIRU,08 AUG 1983,CAN,6f1,,Neerpelt (BEL),31 MAY 2008,1177,men_10000m,2008,https://worldathletics.org/athletes/athlete=14174658,toplist
38,27:31.65,,Titus Kipjumba MBISHEI,28 OCT 1990,KEN,2,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",09 JUL 2008,1176,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209071,toplist
39,27:32.52,,Yacob JARSO,05 FEB 1988,ETH,1f10,,Yokohama (JPN),23 NOV 2008,1175,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181522,toplist
40,27:32.60,,Tilahun REGASSA,18 JAN 1990,ETH,7f1,,Neerpelt (BEL),31 MAY 2008,1174,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181603,toplist
41,27:33.53,,Imane MERGA,15 OCT 1988,ETH,1f1,,St-Maur (FRA),06 JUN 2008,1173,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181578,toplist
42,27:34.29,,Mohamed EL HACHIMI,05 SEP 1980,MAR,8f1,,Neerpelt (BEL),31 MAY 2008,1172,men_10000m,2008,https://worldathletics.org/athletes/athlete=14212103,toplist
43,27:34.48,,Craig MOTTRAM,18 JUN 1980,AUS,1f1,,"Palo Alto, CA (USA)",04 MAY 2008,1171,men_10000m,2008,https://worldathletics.org/athletes/athlete=14179098,toplist
44,27:34.81,,Marda MUSASABEKER,04 FEB 1982,MAR,2f1,,St-Maur (FRA),06 JUN 2008,1171,men_10000m,2008,https://worldathletics.org/athletes/athlete=14212389,toplist
45,27:35.05,,Marilson GOMES DOS SANTOS,06 AUG 1977,BRA,9f1,,Neerpelt (BEL),31 MAY 2008,1171,men_10000m,2008,https://worldathletics.org/athletes/athlete=14175572,toplist
46,27:35.12,,Felix KIBORE,18 FEB 1988,QAT,2,,Pergine Valsugana (ITA),12 JUL 2008,1170,men_10000m,2008,https://worldathletics.org/athletes/athlete=14219059,toplist
47,27:35.64,,Amine CHENTOUF,,MAR,10f1,,Neerpelt (BEL),31 MAY 2008,1170,men_10000m,2008,https://worldathletics.org/athletes/athlete=14328880,toplist
48,27:36.36,,Zembaba YIGEZE,26 SEP 1983,ETH,11f1,,Neerpelt (BEL),31 MAY 2008,1169,men_10000m,2008,https://worldathletics.org/athletes/athlete=14329197,toplist
49,27:36.46,,Günther WEIDLINGER,05 APR 1978,AUT,2f1,,"Palo Alto, CA (USA)",04 MAY 2008,1168,men_10000m,2008,https://worldathletics.org/athletes/athlete=14178120,toplist
50,27:36.99,,Galen RUPP,08 MAY 1986,USA,13,,"National Stadium, Beijing (CHN)",17 AUG 2008,1168,men_10000m,2008,https://worldathletics.org/athletes/athlete=14250207,toplist
51,27:37.68,,Essa Ismail RASHED,14 DEC 1986,QAT,12f1,,Neerpelt (BEL),31 MAY 2008,1166,men_10000m,2008,https://worldathletics.org/athletes/athlete=14219090,toplist
52,27:37.99,,Girma ASSEFA,20 JUN 1986,ETH,2f3,,Fukuroi (JPN),18 OCT 2008,1166,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181493,toplist
53,27:39.79,,Carles CASTILLEJO,18 AUG 1978,ESP,2,,Vigo (ESP),12 JUL 2008,1163,men_10000m,2008,https://worldathletics.org/athletes/athlete=14166896,toplist
54,27:40.36,,John KARIUKI,10 NOV 1986,KEN,3f3,,Kobe (JPN),27 APR 2008,1162,men_10000m,2008,https://worldathletics.org/athletes/athlete=14207860,toplist
55,27:40.58,,Abdellah FALIL,1976,MAR,1,,Casablanca (MAR),22 JUN 2008,1162,men_10000m,2008,https://worldathletics.org/athletes/athlete=14212141,toplist
56,27:40.64,,Josphat BOIT,28 DEC 1982,KEN,3f1,,"Palo Alto, CA (USA)",04 MAY 2008,1162,men_10000m,2008,https://worldathletics.org/athletes/athlete=14207422,toplist
57,27:41.75,,Takayuki MATSUMIYA,21 FEB 1980,JPN,4f1,,"Palo Alto, CA (USA)",04 MAY 2008,1160,men_10000m,2008,https://worldathletics.org/athletes/athlete=14204366,toplist
58,27:44.54,,Mo FARAH,23 MAR 1983,GBR,5f1,,"Palo Alto, CA (USA)",04 MAY 2008,1156,men_10000m,2008,https://worldathletics.org/athletes/athlete=14189197,toplist
59,27:45.58,,Ayad LAMDASSEM,11 OCT 1981,ESP,3,,Vigo (ESP),12 JUL 2008,1154,men_10000m,2008,https://worldathletics.org/athletes/athlete=14166054,toplist
60,27:46.33,,Jorge TORRES,22 AUG 1980,USA,3,,"Eugene, OR (USA)",04 JUL 2008,1153,men_10000m,2008,https://worldathletics.org/athletes/athlete=14253365,toplist
61,27:46.50,,Teklemariam MEDHIN,24 JUN 1989,ERI,3f1,,St-Maur (FRA),06 JUN 2008,1153,men_10000m,2008,https://worldathletics.org/athletes/athlete=14167386,toplist
62,27:46.97,,Feyisa LILESA,01 FEB 1990,ETH,3,,Pergine Valsugana (ITA),12 JUL 2008,1152,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181555,toplist
63,27:47.46,,Juan Carlos ROMERO BERNAL,15 DEC 1977,MEX,6f1,,"Palo Alto, CA (USA)",04 MAY 2008,1151,men_10000m,2008,https://worldathletics.org/athletes/athlete=14213238,toplist
64,27:48.03,,Dickson MARWA MKAMI,09 MAR 1982,TAN,14,,"National Stadium, Beijing (CHN)",17 AUG 2008,1150,men_10000m,2008,https://worldathletics.org/athletes/athlete=14228355,toplist
65,27:48.06,,Scott BAUHS,11 MAY 1986,USA,7f1,,"Palo Alto, CA (USA)",04 MAY 2008,1150,men_10000m,2008,https://worldathletics.org/athletes/athlete=14232164,toplist
66,27:49.35,,Samwell Shauri KWAANGU,30 NOV 1985,TAN,4,,Pergine Valsugana (ITA),12 JUL 2008,1148,men_10000m,2008,https://worldathletics.org/athletes/athlete=14228341,toplist
67,27:49.51,,Boaz CHEBOIYWO,02 AUG 1978,KEN,13f1,,Neerpelt (BEL),31 MAY 2008,1148,men_10000m,2008,https://worldathletics.org/athletes/athlete=14207482,toplist
68,27:50.48,,Fasil BIZUNEH,05 MAY 1980,USA,8f1,,"Palo Alto, CA (USA)",04 MAY 2008,1147,men_10000m,2008,https://worldathletics.org/athletes/athlete=14232688,toplist
69,27:51.0h,,Luke KIBET,12 APR 1983,KEN,3,,Nairobi (KEN),30 MAY 2008,1146,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208005,toplist
70,27:51.52,,Jamal Bilal SALEM,12 SEP 1978,QAT,14f1,,Neerpelt (BEL),31 MAY 2008,1145,men_10000m,2008,https://worldathletics.org/athletes/athlete=14219099,toplist
71,27:51.92,,Paul KUIRA,25 JAN 1990,KEN,1,,Niigata (JPN),01 JUN 2008,1144,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208797,toplist
72,27:52.09,,Edward MUGE,26 JUN 1983,KEN,1,,Nairobi (KEN),28 JUN 2008,1144,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209168,toplist
73,27:52.10,,Ed MORAN,27 MAY 1981,USA,4,,"Eugene, OR (USA)",04 JUL 2008,1144,men_10000m,2008,https://worldathletics.org/athletes/athlete=14246516,toplist
74,27:52.32,,Nicholas MAKAU,15 OCT 1990,KEN,1f1,,Kushiro (JPN),16 JUL 2008,1144,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208996,toplist
75,27:53.12,,Sergey IVANOV,03 MAR 1979,RUS,1,,Kazan (RUS),17 JUL 2008,1142,men_10000m,2008,https://worldathletics.org/athletes/athlete=14222491,toplist
76,27:53.19,,Ryuji ONO,27 JAN 1985,JPN,2,,Niigata (JPN),01 JUN 2008,1142,men_10000m,2008,https://worldathletics.org/athletes/athlete=14205309,toplist
77,27:54.41,,Josh ROHATINSKY,07 MAR 1982,USA,5,,"Eugene, OR (USA)",04 JUL 2008,1140,men_10000m,2008,https://worldathletics.org/athletes/athlete=14249934,toplist
78,27:56.33,,Satoshi IRIFUNE,14 DEC 1975,JPN,9f1,,"Palo Alto, CA (USA)",04 MAY 2008,1137,men_10000m,2008,https://worldathletics.org/athletes/athlete=14203390,toplist
79,27:56.74,,Dieudonné DISI,24 APR 1980,RWA,19,,"National Stadium, Beijing (CHN)",17 AUG 2008,1137,men_10000m,2008,https://worldathletics.org/athletes/athlete=14224732,toplist
80,27:56.79,,Martin MUKURE,14 DEC 1989,KEN,1f1,,Fukagawa (JPN),11 JUN 2008,1137,men_10000m,2008,https://worldathletics.org/athletes/athlete=14327522,toplist
81,27:57.11,,Martin TOROITICH,10 AUG 1983,UGA,5,,Pergine Valsugana (ITA),12 JUL 2008,1136,men_10000m,2008,https://worldathletics.org/athletes/athlete=14229670,toplist
82,27:58.03,,Khoudir AGGOUNE,05 JAN 1981,ALG,4f1,,St-Maur (FRA),06 JUN 2008,1135,men_10000m,2008,https://worldathletics.org/athletes/athlete=14180901,toplist
83,27:58.09,,Joseph GITAU,03 JAN 1988,KEN,3f1,,Yamagata (JPN),26 SEP 2008,1135,men_10000m,2008,https://worldathletics.org/athletes/athlete=14329469,toplist
84,27:58.43,,James Mwangi MACHARIA,23 JUN 1984,KEN,3f1,,Kushiro (JPN),16 JUL 2008,1134,men_10000m,2008,https://worldathletics.org/athletes/athlete=14208939,toplist
85,27:58.63,,Yu MITSUYA,18 DEC 1984,JPN,3,,Kawasaki (JPN),26 JUN 2008,1134,men_10000m,2008,https://worldathletics.org/athletes/athlete=14204484,toplist
86,27:58.81,,James CARNEY,24 MAY 1978,USA,6,,"Eugene, OR (USA)",04 JUL 2008,1134,men_10000m,2008,https://worldathletics.org/athletes/athlete=14234266,toplist
87,27:58.88,,Cyrus Gichobi NJUI,11 FEB 1986,KEN,2f1,,Fukagawa (JPN),11 JUN 2008,1134,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209459,toplist
88,27:59.31,,Adam GOUCHER,18 FEB 1975,USA,7,,"Eugene, OR (USA)",04 JUL 2008,1133,men_10000m,2008,https://worldathletics.org/athletes/athlete=14239082,toplist
89,27:59.36,,Saïd BÉRIOUI,1975,MAR,5f1,,St-Maur (FRA),06 JUN 2008,1133,men_10000m,2008,https://worldathletics.org/athletes/athlete=14211909,toplist
90,28:00.29,,Kazuhiro MAEDA,19 APR 1981,JPN,4,,Kawasaki (JPN),26 JUN 2008,1131,men_10000m,2008,https://worldathletics.org/athletes/athlete=14204255,toplist
91,28:00.98,,Stephen KIPROTICH,27 FEB 1989,UGA,16f1,,Neerpelt (BEL),31 MAY 2008,1130,men_10000m,2008,https://worldathletics.org/athletes/athlete=14229607,toplist
92,28:01.34,,Raji ASSEFA,18 FEB 1986,ETH,13,,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1130,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181331,toplist
93,28:01.47,,Guta ABIYOTE,10 OCT 1985,ETH,17f1,,Neerpelt (BEL),31 MAY 2008,1130,men_10000m,2008,https://worldathletics.org/athletes/athlete=14181292,toplist
94,28:01.74,,Geoffrey MUTAI,07 OCT 1981,KEN,2,,Nairobi (KEN),28 JUN 2008,1129,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209256,toplist
95,28:02.0h,,Daniel Kirwa TOO,21 NOV 1976,KEN,4,,Nairobi (KEN),30 MAY 2008,1129,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209904,toplist
96,28:02.41,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,3,,Niigata (JPN),01 JUN 2008,1128,men_10000m,2008,https://worldathletics.org/athletes/athlete=14209960,toplist
97,28:02.55,,Jan FITSCHEN,02 MAY 1977,GER,10f1,,"Palo Alto, CA (USA)",04 MAY 2008,1128,men_10000m,2008,https://worldathletics.org/athletes/athlete=14192069,toplist
98,28:02.89,,Surendra Singh KUMAR,01 OCT 1978,IND,,,Vigo (ESP),12 JUL 2008,1127,men_10000m,2008,https://worldathletics.org/athletes/athlete=14198062,toplist
99,28:03.02,,David MCNEILL,06 OCT 1986,AUS,1,,Melbourne (AUS),11 DEC 2008,1127,men_10000m,2008,https://worldathletics.org/athletes/athlete=14179165,toplist
100,28:03.72,,Sean QUIGLEY,08 FEB 1985,USA,1f1,,"Palo Alto, CA (USA)",04 APR 2008,1126,men_10000m,2008,https://worldathletics.org/athletes/athlete=14248998,toplist
1,26:46.31,,Kenenisa BEKELE,13 JUN 1982,ETH,1,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1248,men_10000m,2009,https://worldathletics.org/athletes/athlete=14181357,toplist
2,26:50.12,,Zersenay TADESE,01 JAN 1982,ERI,2,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1242,men_10000m,2009,https://worldathletics.org/athletes/athlete=14167401,toplist
3,26:57.36,,Josphat Muchiri NDAMBIRI,12 FEB 1985,KEN,1f1,,Shizuoka (JPN),03 MAY 2009,1230,men_10000m,2009,https://worldathletics.org/athletes/athlete=14209351,toplist
4,26:57.39,,Moses Ndiema MASAI,01 JUN 1986,KEN,3,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1230,men_10000m,2009,https://worldathletics.org/athletes/athlete=14209038,toplist
5,26:59.88,,Martin Irungu MATHATHI,25 DEC 1985,KEN,2f1,,Shizuoka (JPN),03 MAY 2009,1226,men_10000m,2009,https://worldathletics.org/athletes/athlete=14209051,toplist
6,27:01.83,,Gideon NGATUNYI,10 OCT 1986,KEN,2f1,,Tendo (JPN),16 MAY 2009,1223,men_10000m,2009,https://worldathletics.org/athletes/athlete=14209399,toplist
7,27:09.40,,Ali ABDOSH,25 AUG 1987,ETH,1,,Utrecht (NED),14 JUN 2009,1211,men_10000m,2009,https://worldathletics.org/athletes/athlete=14181315,toplist
8,27:11.88,,John Kimondo THUO,27 NOV 1985,KEN,1f2,,Fukuroi (JPN),17 OCT 2009,1207,men_10000m,2009,https://worldathletics.org/athletes/athlete=14209895,toplist
9,27:15.44,,Mathew Kipkoech KISORIO,16 MAY 1989,KEN,2,,Utrecht (NED),14 JUN 2009,1201,men_10000m,2009,https://worldathletics.org/athletes/athlete=14208580,toplist
10,27:15.94,,Imane MERGA,15 OCT 1988,ETH,4,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1201,men_10000m,2009,https://worldathletics.org/athletes/athlete=14181578,toplist
11,27:17.49,,Abebe DINKESA,06 MAR 1984,ETH,3,,Utrecht (NED),14 JUN 2009,1198,men_10000m,2009,https://worldathletics.org/athletes/athlete=14181589,toplist
12,27:18.47,,Bernard Kiprop KIPYEGO,16 JUL 1986,KEN,5,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1197,men_10000m,2009,https://worldathletics.org/athletes/athlete=14208525,toplist
13,27:22.19,,Ibrahim JEILAN,12 JUN 1989,ETH,4,,Utrecht (NED),14 JUN 2009,1191,men_10000m,2009,https://worldathletics.org/athletes/athlete=14181523,toplist
14,27:22.28,,Dathan RITZENHEIN,30 DEC 1982,USA,6,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1191,men_10000m,2009,https://worldathletics.org/athletes/athlete=14249632,toplist
15,27:25.24,,Paul Kipngetich TANUI,22 DEC 1990,KEN,2f6,,Yokohama (JPN),24 OCT 2009,1186,men_10000m,2009,https://worldathletics.org/athletes/athlete=14366690,toplist
16,27:26.33,,Micah Kemboi KOGO,30 JUN 1986,KEN,7,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1184,men_10000m,2009,https://worldathletics.org/athletes/athlete=14208652,toplist
17,27:26.56,,Mekubo MOGUSU,25 DEC 1986,KEN,1,,Niigata (JPN),31 MAY 2009,1184,men_10000m,2009,https://worldathletics.org/athletes/athlete=14209132,toplist
18,27:28.48,,Samuel CHELANGA,23 FEB 1985,KEN,1,,"Berkeley, CA (USA)",24 APR 2009,1181,men_10000m,2009,https://worldathletics.org/athletes/athlete=14207499,toplist
19,27:29.73,,Collis BIRMINGHAM,27 DEC 1984,AUS,2,,"Berkeley, CA (USA)",24 APR 2009,1179,men_10000m,2009,https://worldathletics.org/athletes/athlete=14180101,toplist
20,27:30.08,,Yacob JARSO,05 FEB 1988,ETH,3f1,,Okayama (JPN),25 SEP 2009,1178,men_10000m,2009,https://worldathletics.org/athletes/athlete=14181522,toplist
21,27:36.99,,Tim NELSON,27 FEB 1984,USA,1f1,,"Palo Alto, CA (USA)",02 MAY 2009,1168,men_10000m,2009,https://worldathletics.org/athletes/athlete=14247089,toplist
22,27:37.72,,Jonathan Muia NDIKU,18 SEP 1991,KEN,3f6,,Yokohama (JPN),24 OCT 2009,1166,men_10000m,2009,https://worldathletics.org/athletes/athlete=14209367,toplist
23,27:37.99,,Galen RUPP,08 MAY 1986,USA,8,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1166,men_10000m,2009,https://worldathletics.org/athletes/athlete=14250207,toplist
24,27:38.13,,Tilahun REGASSA,18 JAN 1990,ETH,2,,Villeneuve d'Ascq (FRA),30 JUN 2009,1166,men_10000m,2009,https://worldathletics.org/athletes/athlete=14181603,toplist
25,27:38.25,,Yuki SATO,26 NOV 1986,JPN,3,,"Berkeley, CA (USA)",24 APR 2009,1166,men_10000m,2009,https://worldathletics.org/athletes/athlete=14205661,toplist
26,27:39.68,,Anthony FAMIGLIETTI,08 NOV 1978,USA,4,,"Berkeley, CA (USA)",24 APR 2009,1163,men_10000m,2009,https://worldathletics.org/athletes/athlete=14237511,toplist
27,27:39.92,,Ezekiel Jafary NGIMBA,30 DEC 1989,TAN,5,,Utrecht (NED),14 JUN 2009,1163,men_10000m,2009,https://worldathletics.org/athletes/athlete=14228393,toplist
28,27:40.10,,Juan Luis BARRIOS,24 JUN 1983,MEX,5,,"Berkeley, CA (USA)",24 APR 2009,1163,men_10000m,2009,https://worldathletics.org/athletes/athlete=14212796,toplist
29,27:41.50,,Kidane TADESSE,31 AUG 1987,ERI,9,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1160,men_10000m,2009,https://worldathletics.org/athletes/athlete=14167421,toplist
30,27:41.99,,Nicholas KEMBOI,25 NOV 1983,QAT,6,,Utrecht (NED),14 JUN 2009,1160,men_10000m,2009,https://worldathletics.org/athletes/athlete=14219056,toplist
31,27:42.75,,Marco JOSEPH,12 AUG 1989,TAN,7,,Utrecht (NED),14 JUN 2009,1159,men_10000m,2009,https://worldathletics.org/athletes/athlete=14228352,toplist
32,27:44.04,,Gebregziabher GEBREMARIAM,10 SEP 1984,ETH,10,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1157,men_10000m,2009,https://worldathletics.org/athletes/athlete=14181464,toplist
33,27:44.46,,Sammy KITWARA,26 NOV 1986,KEN,1,,Nairobi (KEN),27 JUN 2009,1156,men_10000m,2009,https://worldathletics.org/athletes/athlete=14208598,toplist
34,27:45.03,,Ahmad Hassan ABDULLAH,04 APR 1981,QAT,11,,"Olympiastadion, Berlin (GER)",17 AUG 2009,1155,men_10000m,2009,https://worldathletics.org/athletes/athlete=14218968,toplist
35,27:47.81,,Martin MUKURE,14 DEC 1989,KEN,2f2,,Fukuroi (JPN),17 OCT 2009,1151,men_10000m,2009,https://worldathletics.org/athletes/athlete=14327522,toplist
36,27:48.7h,,Shume GERBABA,19 NOV 1982,ETH,1,,Casablanca (MAR),14 JUN 2009,1149,men_10000m,2009,https://worldathletics.org/athletes/athlete=14328873,toplist
37,27:48.71,,Yusei NAKAO,28 FEB 1984,JPN,1f1,,Fugokawa (JPN),10 JUN 2009,1149,men_10000m,2009,https://worldathletics.org/athletes/athlete=14204925,toplist
38,27:48.80,,Carles CASTILLEJO,18 AUG 1978,ESP,1,,Avilés (ESP),18 JUL 2009,1149,men_10000m,2009,https://worldathletics.org/athletes/athlete=14166896,toplist
39,27:48.97,,Boaz CHEBOIYWO,02 AUG 1978,KEN,6,,"Berkeley, CA (USA)",24 APR 2009,1149,men_10000m,2009,https://worldathletics.org/athletes/athlete=14207482,toplist
40,27:49.27,,James Mwangi MACHARIA,23 JUN 1984,KEN,3f2,,Fukuroi (JPN),17 OCT 2009,1148,men_10000m,2009,https://worldathletics.org/athletes/athlete=14208939,toplist
41,27:49.52,,Chesari Kirui JACOB,06 APR 1984,KEN,4,,Villeneuve d'Ascq (FRA),30 JUN 2009,1148,men_10000m,2009,https://worldathletics.org/athletes/athlete=14372030,toplist
