Unnamed: 0,Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
20,21,3:28.32,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"National Stadium, Tokyo (JPN)",07 AUG 2021,1269,2021,men_1500m
21,22,3:28.37,Noureddine MORCELI,28 FEB 1970,ALG,1,"Stade Louis II, Monaco (MON)",09 SEP 1995,1268,1995,men_1500m
22,22,3:28.37,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stade Louis II, Monaco (MON)",08 AUG 1998,1268,1998,men_1500m
23,24,3:28.38,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,St-Denis (FRA),06 JUL 2001,1268,2001,men_1500m
24,25,3:28.40,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1268,2003,men_1500m
25,26,3:28.41,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Stade Louis II, Monaco (MON)",20 JUL 2018,1267,2018,men_1500m
26,27,3:28.45,Asbel KIPROP,30 JUN 1989,KEN,2,"Stade Louis II, Monaco (MON)",18 JUL 2014,1267,2014,men_1500m
27,27,3:28.45,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Stade Louis II, Monaco (MON)",14 AUG 2020,1267,2020,men_1500m
28,29,3:28.51,Bernard LAGAT,12 DEC 1974,KEN,3f1,Zürich (SUI),11 AUG 2000,1266,2000,men_1500m
29,30,3:28.57,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Zürich (SUI),11 AUG 1999,1265,1999,men_1500m
30,31,3:28.68,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,"Stade Louis II, Monaco (MON)",14 AUG 2020,1264,2020,men_1500m
31,32,3:28.72,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1263,2023,men_1500m
32,33,3:28.73,Noah NGENY,02 NOV 1978,KEN,2,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1263,1999,men_1500m
33,34,3:28.75,Taoufik MAKHLOUFI,29 APR 1988,ALG,2,"Stade Louis II, Monaco (MON)",17 JUL 2015,1263,2015,men_1500m
34,35,3:28.76,Mohamed KATIR,17 FEB 1998,ESP,2,"Stade Louis II, Monaco (MON)",09 JUL 2021,1262,2021,men_1500m
35,36,3:28.77,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1262,2019,men_1500m
36,37,3:28.79,Abdelaati IGUIDER,25 MAR 1987,MAR,3,"Stade Louis II, Monaco (MON)",17 JUL 2015,1262,2015,men_1500m
37,38,3:28.80,Elijah Motonei MANANGOI,05 JAN 1993,KEN,1,"Stade Louis II, Monaco (MON)",21 JUL 2017,1262,2017,men_1500m
38,39,3:28.81,Mo FARAH,23 MAR 1983,GBR,2,"Stade Louis II, Monaco (MON)",19 JUL 2013,1262,2013,men_1500m
39,39,3:28.81,Ronald KWEMOI,19 SEP 1995,KEN,3,"Stade Louis II, Monaco (MON)",18 JUL 2014,1262,2014,men_1500m
40,41,3:28.84,Noah NGENY,02 NOV 1978,KEN,1,"Stade de France, Paris-St-Denis (FRA)",21 JUL 1999,1261,1999,men_1500m
41,42,3:28.86,Noureddine MORCELI,28 FEB 1970,ALG,1,Rieti (ITA),06 SEP 1992,1261,1992,men_1500m
42,43,3:28.88,Asbel KIPROP,30 JUN 1989,KEN,1,"Stade Louis II, Monaco (MON)",20 JUL 2012,1261,2012,men_1500m
43,44,3:28.89,Mohamed KATIR,17 FEB 1998,ESP,2,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1261,2023,men_1500m
44,45,3:28.91,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Zürich (SUI),13 AUG 1997,1260,1997,men_1500m
45,46,3:28.92,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),22 AUG 1997,1260,1997,men_1500m
46,47,3:28.93,Noah NGENY,02 NOV 1978,KEN,1,"Olympiastadion, München (GER)",11 SEP 1999,1260,1999,men_1500m
47,47,3:28.93,Mo FARAH,23 MAR 1983,GBR,4,"Stade Louis II, Monaco (MON)",17 JUL 2015,1260,2015,men_1500m
48,49,3:28.95,Fermín CACHO,16 FEB 1969,ESP,2f1,Zürich (SUI),13 AUG 1997,1260,1997,men_1500m
49,50,3:28.98,Mehdi BAALA,17 AUG 1978,FRA,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1259,2003,men_1500m
50,51,3:29.01,Timothy CHERUIYOT,20 NOV 1995,KEN,2,"National Stadium, Tokyo (JPN)",07 AUG 2021,1259,2021,men_1500m
51,52,3:29.02,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1259,2006,men_1500m
52,52,3:29.02,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1259,2022,men_1500m
53,52,3:29.02,Yared NUGUSE,01 JUN 1999,USA,3,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1259,2023,men_1500m
54,55,3:29.05,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),23 AUG 1996,1258,1996,men_1500m
55,55,3:29.05,Josh KERR,08 OCT 1997,GBR,3,"National Stadium, Tokyo (JPN)",07 AUG 2021,1258,2021,men_1500m
56,55,3:29.05,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1258,2022,men_1500m
57,58,3:29.06,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,"Letzigrund, Zürich (SUI)",17 AUG 2001,1258,2001,men_1500m
58,59,3:29.08,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Rieti (ITA),02 SEP 2001,1258,2001,men_1500m
59,59,3:29.08,Timothy CHERUIYOT,20 NOV 1995,KEN,4,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1258,2023,men_1500m
60,61,3:29.10,Timothy CHERUIYOT,20 NOV 1995,KEN,2,"Stade Louis II, Monaco (MON)",21 JUL 2017,1258,2017,men_1500m
61,62,3:29.12,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,1257,1998,men_1500m
62,63,3:29.13,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Zürich (SUI),15 AUG 2003,1257,2003,men_1500m
63,64,3:29.14,Rashid RAMZI,17 JUL 1980,BRN,2,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1257,2006,men_1500m
64,65,3:29.18,Vénuste NIYONGABO,09 DEC 1973,BDI,2,Bruxelles (BEL),22 AUG 1997,1256,1997,men_1500m
65,65,3:29.18,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Heusden-Zolder (BEL),31 JUL 2004,1256,2004,men_1500m
66,65,3:29.18,Asbel KIPROP,30 JUN 1989,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1256,2014,men_1500m
67,65,3:29.18,Mario GARCÍA,29 JUN 1999,ESP,5,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1256,2023,men_1500m
68,69,3:29.19,Noah NGENY,02 NOV 1978,KEN,1,Bruxelles (BEL),03 SEP 1999,1256,1999,men_1500m
69,70,3:29.20,Noureddine MORCELI,28 FEB 1970,ALG,1,Narbonne (FRA),17 JUN 1993,1256,1993,men_1500m
70,71,3:29.21,Bernard LAGAT,12 DEC 1974,KEN,1,Paris (FRA),23 JUL 2004,1256,2004,men_1500m
71,72,3:29.23,Jake WIGHTMAN,11 JUL 1994,GBR,1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1256,2022,men_1500m
72,73,3:29.25,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,3,"Stade Louis II, Monaco (MON)",09 JUL 2021,1255,2021,men_1500m
73,74,3:29.26,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1255,2019,men_1500m
74,74,3:29.26,Azeddine HABZ,19 JUL 1993,FRA,6,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1255,2023,men_1500m
75,76,3:29.27,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stade Charléty, Paris (FRA)",14 SEP 2002,1255,2002,men_1500m
76,76,3:29.27,Silas KIPLAGAT,20 AUG 1989,KEN,1,"Stade Louis II, Monaco (MON)",22 JUL 2010,1255,2010,men_1500m
77,78,3:29.29,William CHIRCHIR,06 FEB 1979,KEN,3,Bruxelles (BEL),24 AUG 2001,1255,2001,men_1500m
78,79,3:29.30,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Stockholm (SWE),07 JUL 1997,1255,1997,men_1500m
79,79,3:29.30,Bernard LAGAT,12 DEC 1974,USA,1,Rieti (ITA),28 AUG 2005,1255,2005,men_1500m
80,81,3:29.33,Asbel KIPROP,30 JUN 1989,KEN,1,"Alexander Stadium, Birmingham (GBR)",05 JUN 2016,1254,2016,men_1500m
81,82,3:29.41,Oliver HOARE,29 JAN 1997,AUS,7,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1253,2023,men_1500m
82,83,3:29.43,Vénuste NIYONGABO,09 DEC 1973,BDI,3f1,Zürich (SUI),13 AUG 1997,1253,1997,men_1500m
83,84,3:29.46,Saïd AOUITA,02 NOV 1959,MAR,1,"Olympiastadion, Berlin (GER)",23 AUG 1985,1252,1985,men_1500m
84,84,3:29.46,Daniel KOMEN,17 MAY 1976,KEN,1,"Stade Louis II, Monaco (MON)",16 AUG 1997,1252,1997,men_1500m
85,86,3:29.47,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,"Olympiastadion, Berlin (GER)",14 JUN 2009,1252,2009,men_1500m
86,86,3:29.47,Jake WIGHTMAN,11 JUL 1994,GBR,3,"Stade Louis II, Monaco (MON)",14 AUG 2020,1252,2020,men_1500m
87,86,3:29.47,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1252,2022,men_1500m
88,86,3:29.47,Narve Gilje NORDÅS,30 SEP 1998,NOR,8,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1252,2023,men_1500m
89,90,3:29.50,Noureddine MORCELI,28 FEB 1970,ALG,1,Paris (FRA),28 JUN 1996,1252,1996,men_1500m
90,90,3:29.50,Caleb Mwangangi NDIKU,09 OCT 1992,KEN,3,"Stade Louis II, Monaco (MON)",19 JUL 2013,1252,2013,men_1500m
91,92,3:29.51,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"FBK Stadium, Hengelo (NED)",31 MAY 1997,1252,1997,men_1500m
92,92,3:29.51,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1252,2001,men_1500m
93,92,3:29.51,Stewart MCSWEYN,01 JUN 1995,AUS,4,"Stade Louis II, Monaco (MON)",09 JUL 2021,1252,2021,men_1500m
94,92,3:29.51,Lamecha GIRMA,26 NOV 2000,ETH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1252,2023,men_1500m
95,96,3:29.53,Amine LAALOU,13 MAY 1982,MAR,2,"Stade Louis II, Monaco (MON)",22 JUL 2010,1251,2010,men_1500m
96,97,3:29.56,Abel KIPSANG,22 NOV 1996,KEN,4,"National Stadium, Tokyo (JPN)",07 AUG 2021,1251,2021,men_1500m
97,98,3:29.58,Ayanleh SOULEIMAN,03 DEC 1992,DJI,4,"Stade Louis II, Monaco (MON)",18 JUL 2014,1251,2014,men_1500m
98,99,3:29.59,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Stockholm (SWE),08 JUL 1996,1251,1996,men_1500m
99,100,3:29.63,Silas KIPLAGAT,20 AUG 1989,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1250,2012,men_1500m
0,101,3:29.64,Elijah Motonei MANANGOI,05 JAN 1993,KEN,2,"Stade Louis II, Monaco (MON)",20 JUL 2018,1250,2018,men_1500m
1,101,3:29.64,Josh KERR,08 OCT 1997,GBR,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1250,2023,men_1500m
2,103,3:29.66,Nick WILLIS,25 APR 1983,NZL,5,"Stade Louis II, Monaco (MON)",17 JUL 2015,1250,2015,men_1500m
3,104,3:29.67,Steve CRAM,14 OCT 1960,GBR,1,Nice (FRA),16 JUL 1985,1249,1985,men_1500m
4,104,3:29.67,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),28 AUG 1998,1249,1998,men_1500m
5,104,3:29.67,Elijah Motonei MANANGOI,05 JAN 1993,KEN,6,"Stade Louis II, Monaco (MON)",17 JUL 2015,1249,2015,men_1500m
6,107,3:29.68,Bernard LAGAT,12 DEC 1974,USA,1,Rieti (ITA),27 AUG 2006,1249,2006,men_1500m
7,108,3:29.70,Silas KIPLAGAT,20 AUG 1989,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1249,2014,men_1500m
8,109,3:29.71,Saïd AOUITA,02 NOV 1959,MAR,2,Nice (FRA),16 JUL 1985,1249,1985,men_1500m
9,109,3:29.71,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Stade Charléty, Paris (FRA)",30 JUN 2018,1249,2018,men_1500m
10,111,3:29.72,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,"Olympiastadion, Berlin (GER)",04 SEP 2005,1249,2005,men_1500m
11,112,3:29.76,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",11 JUL 2003,1248,2003,men_1500m
12,113,3:29.77,Sydney MAREE,09 SEP 1956,USA,1,Köln (GER),25 AUG 1985,1248,1985,men_1500m
13,113,3:29.77,Sebastian COE,29 SEP 1956,GBR,1,Rieti (ITA),07 SEP 1986,1248,1986,men_1500m
14,113,3:29.77,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,2,"Stade Louis II, Monaco (MON)",20 JUL 2012,1248,2012,men_1500m
15,116,3:29.78,Asbel KIPROP,30 JUN 1989,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1248,2012,men_1500m
16,117,3:29.79,Noah NGENY,02 NOV 1978,KEN,1,"Stade Louis II, Monaco (MON)",04 AUG 1999,1248,1999,men_1500m
17,118,3:29.83,Abdelaati IGUIDER,25 MAR 1987,MAR,5,"Stade Louis II, Monaco (MON)",18 JUL 2014,1247,2014,men_1500m
18,119,3:29.90,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,1,"FBK Stadium, Hengelo (NED)",27 MAY 2012,1246,2012,men_1500m
19,119,3:29.90,Mohamed KATIR,17 FEB 1998,ESP,3,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1246,2022,men_1500m
20,121,3:29.91,Laban ROTICH,20 JAN 1969,KEN,2f1,Zürich (SUI),12 AUG 1998,1246,1998,men_1500m
21,121,3:29.91,Aman WOTE,18 APR 1984,ETH,6,"Stade Louis II, Monaco (MON)",18 JUL 2014,1246,2014,men_1500m
22,121,3:29.91,Nick WILLIS,25 APR 1983,NZL,7,"Stade Louis II, Monaco (MON)",18 JUL 2014,1246,2014,men_1500m
23,124,3:29.93,Abel KIPSANG,22 NOV 1996,KEN,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1246,2022,men_1500m
24,125,3:29.95,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),30 AUG 2002,1245,2002,men_1500m
25,126,3:29.96,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Paris (FRA),05 JUL 2002,1245,2002,men_1500m
26,127,3:29.97,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Stade Louis II, Monaco (MON)",12 JUL 2019,1245,2019,men_1500m
27,128,3:29.99,Noureddine MORCELI,28 FEB 1970,ALG,1,Rieti (ITA),01 SEP 1996,1245,1996,men_1500m
28,128,3:29.99,Noah NGENY,02 NOV 1978,KEN,1,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1245,2000,men_1500m
29,130,3:30.00,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Olympiastadion, Berlin (GER)",06 SEP 2002,1245,2002,men_1500m
30,130,3:30.00,Rashid RAMZI,17 JUL 1980,BRN,1,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1245,2005,men_1500m
31,132,3:30.01,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,Paris (FRA),01 JUL 2005,1245,2005,men_1500m
32,132,3:30.01,Filip INGEBRIGTSEN,20 APR 1993,NOR,3,"Stade Louis II, Monaco (MON)",20 JUL 2018,1245,2018,men_1500m
33,134,3:30.04,Timothy KIPTANUI,05 JAN 1980,KEN,2,Paris (FRA),23 JUL 2004,1244,2004,men_1500m
34,135,3:30.06,Noureddine MORCELI,28 FEB 1970,ALG,1f1,Zürich (SUI),04 AUG 1993,1244,1993,men_1500m
35,135,3:30.06,Laban ROTICH,20 JAN 1969,KEN,2,"Stade Louis II, Monaco (MON)",08 AUG 1998,1244,1998,men_1500m
36,137,3:30.07,Rui SILVA,03 AUG 1977,POR,3,"Stade Louis II, Monaco (MON)",19 JUL 2002,1244,2002,men_1500m
37,137,3:30.07,Josh KERR,08 OCT 1997,GBR,9,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1244,2023,men_1500m
38,139,3:30.09,Vénuste NIYONGABO,09 DEC 1973,BDI,2,Stockholm (SWE),08 JUL 1996,1243,1996,men_1500m
39,140,3:30.10,Robert BIWOTT,28 JAN 1996,KEN,7,"Stade Louis II, Monaco (MON)",17 JUL 2015,1243,2015,men_1500m
40,141,3:30.12,Silas KIPLAGAT,20 AUG 1989,KEN,1,Paris (FRA),04 JUL 2015,1243,2015,men_1500m
41,141,3:30.12,Oliver HOARE,29 JAN 1997,AUS,1,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1243,2022,men_1500m
42,143,3:30.13,Laban ROTICH,20 JAN 1969,KEN,2,Stockholm (SWE),07 JUL 1997,1243,1997,men_1500m
43,143,3:30.13,Silas KIPLAGAT,20 AUG 1989,KEN,1,"Stadio Guidobaldi, Rieti (ITA)",08 SEP 2013,1243,2013,men_1500m
44,145,3:30.15,Steve CRAM,14 OCT 1960,GBR,1,Bruxelles (BEL),05 SEP 1986,1243,1986,men_1500m
45,146,3:30.16,Ayanleh SOULEIMAN,03 DEC 1992,DJI,3,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1242,2014,men_1500m
46,146,3:30.16,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1242,2019,men_1500m
47,148,3:30.17,Ayanleh SOULEIMAN,03 DEC 1992,DJI,2,Paris (FRA),04 JUL 2015,1242,2015,men_1500m
48,149,3:30.18,John Kemboi KIBOWEN,21 APR 1969,KEN,3f1,Zürich (SUI),12 AUG 1998,1242,1998,men_1500m
49,149,3:30.18,Stewart MCSWEYN,01 JUN 1995,AUS,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1242,2022,men_1500m
50,151,3:30.2h,Hicham EL GUERROUJ,14 SEP 1974,MAR,,"Crystal Palace, London (GBR)",05 AUG 2000,1242,2000,men_1500m
51,151,3:30.20,Haron KEITANY,17 DEC 1983,KEN,2,"Olympiastadion, Berlin (GER)",14 JUN 2009,1242,2009,men_1500m
52,151,3:30.20,Mario GARCÍA,29 JUN 1999,ESP,4,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1242,2022,men_1500m
53,154,3:30.21,Timothy CHERUIYOT,20 NOV 1995,KEN,2,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1242,2022,men_1500m
54,155,3:30.22,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Zürich (SUI),14 AUG 1996,1242,1996,men_1500m
55,155,3:30.22,Augustine Kiprono CHOGE,21 JAN 1987,KEN,3,"Stade Louis II, Monaco (MON)",22 JUL 2010,1242,2010,men_1500m
56,155,3:30.22,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1242,2019,men_1500m
57,158,3:30.23,Noureddine MORCELI,28 FEB 1970,ALG,4f1,Zürich (SUI),13 AUG 1997,1241,1997,men_1500m
58,158,3:30.23,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Olympiastadion, Berlin (GER)",01 SEP 1998,1241,1998,men_1500m
59,160,3:30.24,Cornelius CHIRCHIR,05 JUN 1983,KEN,4,"Stade Louis II, Monaco (MON)",19 JUL 2002,1241,2002,men_1500m
60,160,3:30.24,Timothy KIPTANUI,05 JAN 1980,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1241,2004,men_1500m
61,162,3:30.25,Rashid RAMZI,17 JUL 1980,BRN,1,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1241,2004,men_1500m
62,162,3:30.25,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Olympiastadion, Stockholm (SWE)",23 AUG 2020,1241,2020,men_1500m
63,164,3:30.27,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1241,2006,men_1500m
64,164,3:30.27,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Letzigrund, Zürich (SUI)",30 AUG 2018,1241,2018,men_1500m
65,164,3:30.27,Timothy CHERUIYOT,20 NOV 1995,KEN,2,"Letzigrund, Zürich (SUI)",08 SEP 2022,1241,2022,men_1500m
66,167,3:30.28,Noah NGENY,02 NOV 1978,KEN,2f1,Zürich (SUI),11 AUG 1999,1241,1999,men_1500m
67,168,3:30.29,Aman WOTE,18 APR 1984,ETH,8,"Stade Louis II, Monaco (MON)",17 JUL 2015,1241,2015,men_1500m
68,169,3:30.30,Charles Cheboi SIMOTWO,05 JUN 1995,KEN,5,"Stade Louis II, Monaco (MON)",09 JUL 2021,1240,2021,men_1500m
69,170,3:30.31,Ayanleh SOULEIMAN,03 DEC 1992,DJI,2,"FBK Stadium, Hengelo (NED)",27 MAY 2012,1240,2012,men_1500m
70,171,3:30.32,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Nice (FRA),16 JUL 1997,1240,1997,men_1500m
71,172,3:30.33,Ivan HESHKO,19 AUG 1979,UKR,2,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1240,2004,men_1500m
72,173,3:30.34,Noah NGENY,02 NOV 1978,KEN,3,"Stade Louis II, Monaco (MON)",08 AUG 1998,1240,1998,men_1500m
73,173,3:30.34,Collins CHEBOI,25 SEP 1987,KEN,9,"Stade Louis II, Monaco (MON)",17 JUL 2015,1240,2015,men_1500m
74,175,3:30.35,Nick WILLIS,25 APR 1983,NZL,3,"Stade Louis II, Monaco (MON)",20 JUL 2012,1240,2012,men_1500m
75,175,3:30.35,Filip INGEBRIGTSEN,20 APR 1993,NOR,4,"Stade Louis II, Monaco (MON)",14 AUG 2020,1240,2020,men_1500m
76,177,3:30.36,John Kemboi KIBOWEN,21 APR 1969,KEN,4,"Stade Louis II, Monaco (MON)",08 AUG 1998,1240,1998,men_1500m
77,177,3:30.36,Rui SILVA,03 AUG 1977,POR,1,"Stade Louis II, Monaco (MON)",20 JUL 2001,1240,2001,men_1500m
78,179,3:30.37,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,2,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1239,2005,men_1500m
79,180,3:30.39,Bernard LAGAT,12 DEC 1974,KEN,2,Bruxelles (BEL),30 AUG 2002,1239,2002,men_1500m
80,181,3:30.40,Taoufik MAKHLOUFI,29 APR 1988,ALG,4,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014,1239,2014,men_1500m
81,181,3:30.40,Matthew CENTROWITZ,18 OCT 1989,USA,10,"Stade Louis II, Monaco (MON)",17 JUL 2015,1239,2015,men_1500m
82,183,3:30.42,Noah NGENY,02 NOV 1978,KEN,1,Rieti (ITA),03 SEP 2000,1239,2000,men_1500m
83,183,3:30.42,Marcin LEWANDOWSKI,13 JUN 1987,POL,6,"Stade Louis II, Monaco (MON)",09 JUL 2021,1239,2021,men_1500m
84,185,3:30.43,Ronald KWEMOI,19 SEP 1995,KEN,3,Paris (FRA),04 JUL 2015,1239,2015,men_1500m
85,186,3:30.44,John Kemboi KIBOWEN,21 APR 1969,KEN,2,Nice (FRA),16 JUL 1997,1238,1997,men_1500m
