Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
22.0,55.16,,Zuzana HEJNOVÁ,19 DEC 1986,CZE,5,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1168.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14263088,toplist
24.0,55.2,,Hanne CLAES,04 AUG 1991,BEL,1,,Bruxelles (BEL),08 JUL 2018,1166.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14328036,toplist
25.0,55.21,,Meghan BEESLEY,15 NOV 1989,GBR,3sf3,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1166.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14274466,toplist
26.0,55.23,,Irina KOLESNICHENKO,27 MAY 1988,RUS,1f2,,Zhukovskiy (RUS),01 JUL 2018,1166.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14297577,toplist
27.0,55.24,,Vera RUDAKOVA,20 MAR 1992,ANA,4sf3,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1165.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14330319,toplist
28.0,55.26,,Amalie IUEL,17 APR 1994,NOR,6,,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1165.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14481392,toplist
29.0,55.28,,Viktoriya TKACHUK,08 NOV 1994,UKR,1,,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",15 AUG 2018,1164.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14426923,toplist
30.0,55.3,,Thi Lan QUACH,18 OCT 1995,VIE,1,,Jakarta (INA),27 AUG 2018,1163.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14483951,toplist
31.0,55.38,,Ristananna TRACEY,09 MAY 1992,JAM,2,,George Town (CAY),02 JUN 2018,1161.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14367593,toplist
32.0,55.41,,Nikita TRACEY,18 SEP 1990,JAM,3h1,,Kingston (JAM),21 JUN 2018,1160.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14285970,toplist
33.0,55.45,,Kemi ADEKOYA,16 JAN 1993,BRN,2,,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",15 AUG 2018,1159.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14419510,toplist
34.0,55.48,,Sara Slott PETERSEN,09 APR 1987,DEN,1,,Copenhagen (DEN),26 JUN 2018,1158.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14262456,toplist
35.0,55.49,,Line KLOSTER,27 FEB 1990,NOR,1f1,,La Chaux-de-Fonds (SUI),01 JUL 2018,1157.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14364310,toplist
36.0,55.53,,Robine SCHÜRMANN,31 JAN 1989,SUI,1f1,,Basel (SUI),21 MAY 2018,1156.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14407199,toplist
37.0,55.54,,Aminat JAMAL,27 JUN 1997,BRN,2,,Goleniow (POL),20 JUN 2018,1156.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14701082,toplist
37.0,55.54,,Kymber PAYNE,04 JUN 1996,USA,4,,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1156.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14485648,toplist
39.0,55.6,,Gianna WOODRUFF,18 NOV 1993,PAN,6,,Barranquilla (COL),31 JUL 2018,1154.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14423522,toplist
40.0,55.69,,Katrina SEYMOUR,07 JAN 1993,BAH,5h1,,Gold Coast (AUS),10 APR 2018,1151.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14368119,toplist
41.0,55.71,,Anna COCKRELL,28 AUG 1997,USA,2,,"Eugene, OR (USA)",09 JUN 2018,1151.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14486939,toplist
42.0,55.73,,Lauren WELLS,03 AUG 1988,AUS,5h2,,Gold Coast (AUS),10 APR 2018,1150.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14272431,toplist
43.0,55.74,,Yanique HAYE-SMITH,22 FEB 1990,JAM,3,,George Town (CAY),02 JUN 2018,1150.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14365596,toplist
44.0,55.78,,Shiann SALMON,31 MAR 1999,JAM,1,,Kingston (JAM),23 MAR 2018,1148.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14574022,toplist
45.0,55.84,,Joanna LINKIEWICZ,02 MAY 1990,POL,5,,"Shanghai Stadium, Shanghai (CHN)",12 MAY 2018,1147.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14294034,toplist
46.0,55.88,,Fiorella CHIAPPE,01 JAN 1996,ARG,,,Bruxelles (BEL),08 JUL 2018,1145.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14501596,toplist
47.0,55.95,,Margo VAN PUYVELDE,21 DEC 1995,BEL,1,,Heusden-Zolder (BEL),21 JUL 2018,1143.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14548842,toplist
48.0,56.04,,Valeriya KHRAMOVA,13 AUG 1992,RUS,2,,Kazan (RUS),20 JUL 2018,1140.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14442654,toplist
49.0,56.06,,Ranae MCKENZIE,28 OCT 1996,JAM,1,,"Waco, TX (USA)",13 MAY 2018,1140.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14570317,toplist
50.0,56.14,,Melissa GONZALEZ,24 JUN 1994,COL,3f1,,"Baton Rouge, LA (USA)",28 APR 2018,1137.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14480108,toplist
51.0,56.16,,Symone BLACK,26 OCT 1995,USA,1,,"Bloomington, IN (USA)",13 MAY 2018,1137.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14476277,toplist
52.0,56.19,,Aurelie CHABOUDEZ,09 MAY 1993,FRA,6sf2,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1136.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14363524,toplist
53.0,56.22,,Janeil BELLILLE,18 JUN 1989,TTO,4,,"Leonora Stadium, Leonora (GUY)",30 JUN 2018,1135.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14302977,toplist
54.0,56.23,,Noelle MONTCALM,03 APR 1988,CAN,4f1,,"Baton Rouge, LA (USA)",28 APR 2018,1135.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14267493,toplist
54.0,56.23,,Kiah SEYMOUR,11 JAN 1994,USA,3h1,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,1135.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14366605,toplist
56.0,56.25,,Mariya MYKOLENKO,04 APR 1994,UKR,2,,Lutsk (UKR),21 JUL 2018,1134.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14513595,toplist
57.0,56.3,,Grace CLAXTON,19 AUG 1993,PUR,1f1,,"Gainesville, FL (USA)",29 MAR 2018,1132.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14414638,toplist
58.0,56.31,,Justien GRILLET,18 JUL 1994,BEL,3,,Bruxelles (BEL),08 JUL 2018,1132.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14360478,toplist
59.0,56.34,,Kelsey BALKWILL,19 SEP 1992,CAN,1f1,,Ninove (BEL),28 JUL 2018,1131.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14408447,toplist
60.0,56.48,,Kirsten MCASLAN,01 SEP 1993,GBR,2,,Birmingham (GBR),01 JUL 2018,1127.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14374849,toplist
61.0,56.51,,Emma SPAGNOLA,18 MAR 1996,USA,1qf1,,"Sacramento, CA (USA)",25 MAY 2018,1126.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14527695,toplist
62.0,56.52,,Justyna SAGANIAK,01 DEC 1995,POL,2,,Lublin (POL),21 JUL 2018,1126.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14456467,toplist
63.0,56.53,,Jessica TURNER,08 AUG 1995,GBR,1f1,,Tarare (FRA),23 JUN 2018,1125.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14470197,toplist
64.0,56.54,,Djamila BÖHM,15 JUL 1994,GER,1f1,,Rhede (GER),16 JUN 2018,1125.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14378513,toplist
65.0,56.55,,Tia-Adana BELLE,15 JUN 1996,BAR,7h1,,Gold Coast (AUS),10 APR 2018,1125.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14469918,toplist
66.0,56.56,,Danielle DOWIE,05 MAY 1992,JAM,5h1,,Kingston (JAM),21 JUN 2018,1124.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14285658,toplist
67.0,56.59,,Daniela ROMAN,07 JAN 1996,AUS,2,,Gold Coast (AUS),18 FEB 2018,1123.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14432750,toplist
68.0,56.64,,Deonca BOOKMAN,29 OCT 1995,USA,4h2,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,1122.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14618727,toplist
69.0,56.66,,Kaila BARBER,04 APR 1993,USA,5h2,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2018,1121.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14425428,toplist
70.0,56.68,,Sanda BELGYAN,17 DEC 1992,ROU,2h2,,"Olympiastadion, Berlin (GER)",07 AUG 2018,1121.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14364621,toplist
71.0,56.69,,Xahria SANTIAGO,09 OCT 1999,CAN,2,,"Bloomington, IN (USA)",13 MAY 2018,1120.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14662470,toplist
72.0,56.7,,Emilia ANKIEWICZ,22 NOV 1990,POL,1f1,,Rovereto (ITA),23 AUG 2018,1120.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14421649,toplist
73.0,56.77,,Samantha GONZALEZ,14 NOV 1996,USA,1,,"Coral Gables, FL (USA)",12 MAY 2018,1118.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14506551,toplist
73.0,56.77,,Anu RAGHAVAN,20 APR 1993,IND,2h2,,Jakarta (INA),26 AUG 2018,1118.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14436789,toplist
75.0,56.81,,Yasmin GIGER,06 NOV 1999,SUI,6sf3,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1117.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14573915,toplist
76.0,56.84,,Eri UTSUNOMIYA,11 APR 1993,JPN,1,,Osaka (JPN),06 MAY 2018,1116.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14664132,toplist
76.0,56.84,,Portia BING,17 APR 1993,NZL,,,Albi (FRA),08 JUL 2018,1116.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14384250,toplist
78.0,56.86,,Agata ZUPIN,17 MAR 1998,SLO,5,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1115.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14546281,toplist
79.0,56.87,,Sarah CARLI,05 SEP 1994,AUS,3,,Gold Coast (AUS),18 FEB 2018,1115.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14406120,toplist
80.0,56.89,,Ariel JONES,18 JUL 1995,USA,3sf1,,"Eugene, OR (USA)",07 JUN 2018,1114.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14443756,toplist
81.0,56.94,,Andrenette KNIGHT,19 NOV 1996,JAM,2qf2,,"Tampa, FL (USA)",25 MAY 2018,1113.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14512625,toplist
81.0,56.94,,Olena KOLESNYCHENKO,03 JUN 1993,UKR,4,,Lutsk (UKR),21 JUL 2018,1113.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14376688,toplist
83.0,56.95,,Christine SALTERBERG,09 JUN 1994,GER,2f1,,Rhede (GER),16 JUN 2018,1112.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14401086,toplist
83.0,56.95,,Anais LUFUTUCU,24 APR 1992,FRA,2,,Albi (FRA),08 JUL 2018,1112.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14334833,toplist
85.0,56.99,,Shannon KALAWAN,25 NOV 1997,JAM,1f1,,"Gainesville, FL (USA)",30 MAR 2018,1111.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14540025,toplist
85.0,56.99,,Kaliese SPENCER,06 MAY 1987,JAM,3,,St. George's (GRN),21 APR 2018,1111.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14285929,toplist
87.0,57.01,,Brandee' JOHNSON,03 APR 1998,USA,2qf1,,"Tampa, FL (USA)",25 MAY 2018,1111.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14651679,toplist
88.0,57.02,,Jauna MURMU,16 AUG 1990,IND,1,,Guwahati (IND),26 JUN 2018,1110.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14377658,toplist
89.0,57.04,,Anna Sjoukje RUNIA,19 FEB 1995,NED,3qf1,,"Tampa, FL (USA)",25 MAY 2018,1110.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14456372,toplist
89.0,57.04,,Saritaben Laxmanbhai GAYAKWAD,01 JUN 1994,IND,1,,Jablonec nad Nisou (CZE),15 AUG 2018,1110.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14735664,toplist
91.0,57.1,,Natalia WOSZTYL,29 AUG 1999,POL,3,,Lublin (POL),21 JUL 2018,1108.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14604294,toplist
92.0,57.11,,Markeeta THOMAS,29 JUL 1997,USA,3qf2,,"Tampa, FL (USA)",25 MAY 2018,1108.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14492927,toplist
92.0,57.11,,Sara GALLEGO,11 OCT 2000,ESP,4,,"Ratinan Stadion, Tampere (FIN)",13 JUL 2018,1108.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14692008,toplist
94.0,57.12,,Lamiae LHABZ,19 MAY 1984,MAR,1f2,,La Chaux-de-Fonds (SUI),01 JUL 2018,1107.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14290715,toplist
95.0,57.18,,Brenna PORTER,,USA,1qf2,,"Sacramento, CA (USA)",25 MAY 2018,1105.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14490850,toplist
96.0,57.19,,Sanique WALKER,08 APR 2000,JAM,1,,Kingston (JAM),04 MAR 2018,1105.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14576638,toplist
96.0,57.19,,Lina NIELSEN,13 MAR 1996,GBR,3f1,,Loughborough (GBR),25 JUL 2018,1105.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14594317,toplist
98.0,57.21,,Nicole STEPHENS,14 OCT 1998,USA,4qf2,,"Tampa, FL (USA)",25 MAY 2018,1105.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14656711,toplist
99.0,57.22,,Yelizaveta ANIKIYENKO,30 JUN 1994,RUS,2,,Zhukovskiy (RUS),23 JUN 2018,1104.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14444303,toplist
99.0,57.22,,Linda OLIVIERI,14 JUL 1998,ITA,3f1,,La Chaux-de-Fonds (SUI),01 JUL 2018,1104.0,women_400h,2018,https://worldathletics.org/athletes/athlete=14627059,toplist
1.0,52.16,,Dalilah MUHAMMAD,07 FEB 1990,USA,1,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1263.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14317560,toplist
2.0,52.23,,Sydney MCLAUGHLIN,07 AUG 1999,USA,2,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1261.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14624749,toplist
3.0,53.11,,Ashley SPENCER,08 JUN 1993,USA,3,,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1233.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14476234,toplist
4.0,53.73,,Shamier LITTLE,20 MAR 1995,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1213.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14443767,toplist
5.0,53.74,,Rushell CLAYTON,18 OCT 1992,JAM,3,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1212.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14425208,toplist
6.0,54.06,,Lea SPRUNGER,05 MAR 1990,SUI,4,,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1202.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14301240,toplist
7.0,54.11,,Zuzana HEJNOVÁ,19 DEC 1986,CZE,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1201.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14263088,toplist
8.0,54.18,,Tia-Adana BELLE,15 JUN 1996,BAR,1f1,,"Gainesville, FL (USA)",28 MAR 2019,1198.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14469918,toplist
9.0,54.32,,Sage WATSON,20 JUN 1994,CAN,2sf1,,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1194.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14373955,toplist
10.0,54.45,,Anna RYZHYKOVA,24 NOV 1989,UKR,3sf1,,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1190.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14304336,toplist
11.0,54.7,,Janieve RUSSELL,14 NOV 1993,JAM,4,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1182.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14334022,toplist
12.0,54.72,,Amalie IUEL,17 APR 1994,NOR,1h4,,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,1181.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14481392,toplist
13.0,54.75,,Ayomide FOLORUNSO,17 OCT 1996,ITA,1,,Napoli (ITA),10 JUL 2019,1181.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14484475,toplist
14.0,54.87,,Lauren WELLS,03 AUG 1988,AUS,1,,Sydney (AUS),07 APR 2019,1177.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14272431,toplist
15.0,54.89,,Sara Slott PETERSEN,09 APR 1987,DEN,1,,Rovereto (ITA),27 AUG 2019,1176.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14262456,toplist
16.0,54.9,,Nikita TRACEY,18 SEP 1990,JAM,1f1,,La Chaux-de-Fonds (SUI),30 JUN 2019,1176.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14285970,toplist
17.0,54.91,,Cassandra TATE,11 SEP 1990,USA,5,,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1176.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14322468,toplist
18.0,55.0,,Zurian HECHAVARRÍA,10 AUG 1995,CUB,1h1,,"Estadio Atlético de la VIDENA, Lima (PER)",06 AUG 2019,1173.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14465501,toplist
19.0,55.09,,Kori CARTER,03 JUN 1992,USA,4,,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1170.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14307315,toplist
20.0,55.12,,Aminat JAMAL,27 JUN 1997,BRN,1,,"Five Rings Sports Center, Wuhan (CHN)",24 OCT 2019,1169.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14701082,toplist
21.0,55.16,,Shiann SALMON,31 MAR 1999,JAM,3sf3,,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1168.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14574022,toplist
22.0,55.2,,Meghan BEESLEY,15 NOV 1989,GBR,6,,"Olympic Stadium, London (GBR)",21 JUL 2019,1166.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14274466,toplist
23.0,55.23,,Anna COCKRELL,28 AUG 1997,USA,1,,"Austin, TX (USA)",08 JUN 2019,1166.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14486939,toplist
24.0,55.25,,Hanne CLAES,04 AUG 1991,BEL,5sf1,,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1165.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14328036,toplist
25.0,55.31,,Ronda WHYTE,06 NOV 1990,JAM,3,,Kingston (JAM),08 JUN 2019,1163.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14515305,toplist
26.0,55.32,,Femke BOL,23 FEB 2000,NED,5h4,,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,1163.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14707010,toplist
27.0,55.38,,Joanna LINKIEWICZ,02 MAY 1990,POL,6sf2,,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1161.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14294034,toplist
28.0,55.4,,Yadisleidis PEDROSO,28 JAN 1987,ITA,4sf3,,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1160.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14263443,toplist
29.0,55.41,,Kiah SEYMOUR,11 JAN 1994,USA,1f1,,"Montverde, FL (USA)",08 JUN 2019,1160.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14366605,toplist
30.0,55.43,,Sarah CARLI,05 SEP 1994,AUS,7sf2,,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1159.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14406120,toplist
31.0,55.46,,Paulien COUCKUYT,19 MAY 1997,BEL,2,,"Boudewijnstadion, Bruxelles (BEL)",01 SEP 2019,1158.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14508434,toplist
32.0,55.51,,Vera RUDAKOVA,20 MAR 1992,ANA,4h1,,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,1157.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14330319,toplist
33.0,55.58,,Yanique HAYE-SMITH,22 FEB 1990,TKS,2f1,,"Montverde, FL (USA)",08 JUN 2019,1155.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14365596,toplist
34.0,55.61,,Gianna WOODRUFF,18 NOV 1993,PAN,6sf3,,"Khalifa International Stadium, Doha (QAT)",02 OCT 2019,1154.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14423522,toplist
35.0,55.64,,Carolina KRAFZIK,27 MAR 1995,GER,1,,Berlin (GER),04 AUG 2019,1153.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14507606,toplist
36.0,55.7,,Ristananna TRACEY,09 MAY 1992,JAM,5,,Kingston (JAM),21 JUN 2019,1151.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14367593,toplist
37.0,55.72,,Jessica TURNER,08 AUG 1995,GBR,3h2,,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,1150.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14470197,toplist
38.0,55.73,,Melissa GONZALEZ,24 JUN 1994,COL,1,,Lima (PER),25 MAY 2019,1150.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14480108,toplist
38.0,55.73,,Zenéy VAN DER WALT,22 MAY 2000,RSA,2,,Napoli (ITA),10 JUL 2019,1150.0,women_400h,2019,https://worldathletics.org/athletes/athlete=14639191,toplist
