Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
53,3:33.32,,Pieter SISK,08 DEC 1999,BEL,f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 JAN 2026,1252,men_1500m,2026
53,3:33.32,,Samuel TANNER,24 AUG 2000,NZL,5f1,,"Parc des Sports C. Ehrmann, Nice (FRA)",13 JUN 2026,1198,men_1500m,2026
55,3:33.36,,Jack ANSTEY,08 APR 1997,AUS,7,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1197,men_1500m,2026
56,3:33.39,,Foster MALLECK,12 AUG 2001,CAN,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 FEB 2026,1251,men_1500m,2026
57,3:33.41,,Håkon MOE BERG,26 JUN 2006,NOR,2f1,,"Bungertstadion, Rehlingen (GER)",24 MAY 2026,1197,men_1500m,2026
57,3:33.41,,Raphael PALLITSCH,18 DEC 1989,AUT,11,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1197,men_1500m,2026
59,3:33.42,,Elliot GILES,26 MAY 1994,GBR,3f1,,"Bungertstadion, Rehlingen (GER)",24 MAY 2026,1197,men_1500m,2026
59,3:33.42,,Ignacio FONTES,22 JUN 1998,ESP,1,,"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",28 JUN 2026,1197,men_1500m,2026
61,3:33.46,,Parker WOLFE,27 JUL 2003,USA,3,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1196,men_1500m,2026
62,3:33.47,,Samuel PIHLSTRÖM,08 MAR 2001,SWE,3,,"Arena Toruń, Toruń (POL) (i)",22 FEB 2026,1250,men_1500m,2026
63,3:33.52,,Abel KIPSANG,22 NOV 1996,KEN,13,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1195,men_1500m,2026
63,3:33.52,,Cathal DOYLE,12 NOV 1997,IRL,8,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1195,men_1500m,2026
65,3:33.56,,Archie DAVIS,16 OCT 1998,GBR,,,"Olympic Stadium, London (GBR)",18 JUL 2026,1195,men_1500m,2026
66,3:33.59,,Johnathan RENIEWICKI,03 OCT 1995,USA,1,,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",11 JUL 2026,1194,men_1500m,2026
67,3:33.63,,Carlos SAEZ,27 JAN 1999,ESP,8,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1194,men_1500m,2026
68,3:33.69,,Sam GILMAN,20 SEP 2000,USA,9,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1193,men_1500m,2026
69,3:33.71,,Jochem VERMEULEN,02 AUG 1998,BEL,5f1,,"Arena Stade Couvert, Liévin (FRA) (i)",19 FEB 2026,1246,men_1500m,2026
70,3:33.76,,Marc TORTELL,26 DEC 1997,GER,9,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1192,men_1500m,2026
71,3:33.81,,Martín SEGUROLA,01 JUL 2003,ESP,1f12,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",30 MAY 2026,1191,men_1500m,2026
72,3:33.85,,Cooper CAWTHRA,,USA,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 FEB 2026,1244,men_1500m,2026
73,3:33.93,,Luke HOUSER,02 MAY 2001,USA,4,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1189,men_1500m,2026
74,3:33.95,,Kieran LUMB,02 AUG 1998,CAN,2,,"Centro Sportivo Fontanassa, Savona (ITA)",20 MAY 2026,1189,men_1500m,2026
75,3:33.98,,Nico YOUNG,27 JUL 2002,USA,,,"Armory Track&Field Center, New York, NY (USA) (i)",01 FEB 2026,1242,men_1500m,2026
76,3:34.06,,Brendan HERGER,,USA,2f6,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",17 APR 2026,1188,men_1500m,2026
77,3:34.08,,Abel TEFFRA,23 JAN 2002,USA,2,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",13 JUN 2026,1187,men_1500m,2026
78,3:34.11,,Emmanuel WANYONYI,01 AUG 2004,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",24 APR 2026,1187,men_1500m,2026
79,3:34.23,,Adam SPENCER,04 OCT 2001,AUS,3,,"Olympic Park, Sydney (AUS)",10 APR 2026,1185,men_1500m,2026
79,3:34.23,,Cooper TEARE,18 AUG 1999,USA,5,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1185,men_1500m,2026
79,3:34.23,,Davis BOVE,17 OCT 2000,USA,4,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",13 JUN 2026,1185,men_1500m,2026
79,3:34.23,,Žan RUDOLF,09 MAY 1993,SLO,12,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1185,men_1500m,2026
83,3:34.27,,Patrick ROTICH,05 DEC 1998,KEN,4f1,,"Nyayo National Stadium, Nairobi (KEN)",20 JUN 2026,1185,men_1500m,2026
84,3:34.28,,Mosisa SIYOUM,12 SEP 1999,ETH,4,,"Arena Toruń, Toruń (POL) (i)",22 FEB 2026,1238,men_1500m,2026
84,3:34.28,,Graham BLANKS,24 APR 2002,USA,6,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1185,men_1500m,2026
86,3:34.30,,Johannes MUNNIK,22 APR 2000,RSA,5,,"FBK Stadium, Hengelo (NED)",21 JUN 2026,1184,men_1500m,2026
87,3:34.31,,Abdihamid NUR,14 OCT 1997,USA,1f2,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1184,men_1500m,2026
88,3:34.34,,Wes PORTER,18 SEP 2001,USA,10,,"Paavo Nurmen Stadion, Turku (FIN)",03 JUN 2026,1184,men_1500m,2026
88,3:34.34,,Noah BALTUS,03 FEB 2002,NED,1f2,,"TSV Stadion, Pfungstadt (GER)",13 JUN 2026,1184,men_1500m,2026
88,3:34.34,,Carter CUTTING,10 JAN 2005,USA,2,,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",11 JUL 2026,1184,men_1500m,2026
91,3:34.43,,Etienne DAGUINOS,15 FEB 2000,FRA,7f1,,"Parc des Sports C. Ehrmann, Nice (FRA)",13 JUN 2026,1182,men_1500m,2026
92,3:34.47,,Pierrik JOCTEUR-MONROZIER,23 MAR 1998,FRA,2,,"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",28 JUN 2026,1182,men_1500m,2026
93,3:34.49,,Salih TEKSÖZ,01 JAN 1994,TUR,5f12,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",30 MAY 2026,1182,men_1500m,2026
94,3:34.51,,Matan IVRI,26 MAY 2002,ISR,3f1,,"Sportcentrum Wembley, Kortrijk (BEL)",11 JUL 2026,1181,men_1500m,2026
95,3:34.54,,Pol MOYA,09 DEC 1996,AND,14,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1181,men_1500m,2026
96,3:34.63,,Jimmy GRESSIER,04 MAY 1997,FRA,12,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1180,men_1500m,2026
97,3:34.68,,Liam MURPHY,02 APR 2002,USA,8,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1179,men_1500m,2026
98,3:34.72,,Ryan SCHOPPE,,USA,3f1,,"John McDonnell Field, Fayetteville, AR (USA)",08 MAY 2026,1178,men_1500m,2026
99,3:34.78,,Bastien AUGUSTO,10 AUG 1999,FRA,2,,"Stade Jean Delbert, Montreuil (FRA)",17 JUN 2026,1178,men_1500m,2026
100,3:34.82,,Adam FOGG,27 JAN 1999,GBR,3,,"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",28 JUN 2026,1177,men_1500m,2026
