Competitor,DOB,Mark,Nat,Venue,Date,year,Pos,source
Andreas ALMGREN,12 JUN 1995,3:36.81,SWE,BAUHAUS-Galan,07 JUN 2026,2026,14.,dl_meeting
Žan RUDOLF,09 MAY 1993,DNF,SLO,BAUHAUS-Galan,07 JUN 2026,2026,,dl_meeting
Ethan STRAND,19 OCT 2002,3:30.77,USA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,1.,dl_meeting
Phanuel Kipkosgei KOECH,01 DEC 2006,3:31.14,KEN,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,2.,dl_meeting
Cole HOCKER,06 JUN 2001,3:31.16,USA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,3.,dl_meeting
Jakob INGEBRIGTSEN,19 SEP 2000,3:31.19,NOR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,4.,dl_meeting
Samuel PIHLSTRÖM,08 MAR 2001,3:31.41,SWE,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,5.,dl_meeting
Jake HEYWARD,26 APR 1999,3:31.47,GBR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,6.,dl_meeting
Vincent CIATTEI,21 JAN 1995,3:31.77,USA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,7.,dl_meeting
Anass ESSAYI,18 MAY 2001,3:31.91,MAR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,8.,dl_meeting
Isaac NADER,17 AUG 1999,3:32.00,POR,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,9.,dl_meeting
Romain MORNET,08 NOV 1997,3:32.15,FRA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,10.,dl_meeting
Hobbs KESSLER,15 MAR 2003,3:32.76,USA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,11.,dl_meeting
Filip OSTROWSKI,12 JUL 2001,3:33.09,POL,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,12.,dl_meeting
Reynold CHERUIYOT,30 JUL 2004,3:37.37,KEN,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,13.,dl_meeting
Stefan NILLESSEN,02 JAN 2003,3:41.72,NED,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,14.,dl_meeting
Nathan GREEN,10 APR 2003,3:47.72,USA,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,15.,dl_meeting
Žan RUDOLF,09 MAY 1993,DNF,SLO,Silesia Kamila Skolimowska Memorial,23 AUG 2026,2026,,dl_meeting
Cole HOCKER,06 JUN 2001,3:31.71,USA,Weltklasse Zürich,27 AUG 2026,2026,1.,dl_meeting
Phanuel Kipkosgei KOECH,01 DEC 2006,3:31.84,KEN,Weltklasse Zürich,27 AUG 2026,2026,2.,dl_meeting
Yared NUGUSE,01 JUN 1999,3:31.85,USA,Weltklasse Zürich,27 AUG 2026,2026,3.,dl_meeting
Anass ESSAYI,18 MAY 2001,3:32.05,MAR,Weltklasse Zürich,27 AUG 2026,2026,4.,dl_meeting
Jakob INGEBRIGTSEN,19 SEP 2000,3:32.16,NOR,Weltklasse Zürich,27 AUG 2026,2026,5.,dl_meeting
Hobbs KESSLER,15 MAR 2003,3:32.35,USA,Weltklasse Zürich,27 AUG 2026,2026,6.,dl_meeting
Vincent CIATTEI,21 JAN 1995,3:32.50,USA,Weltklasse Zürich,27 AUG 2026,2026,7.,dl_meeting
Robert FARKEN,20 SEP 1997,3:32.63,GER,Weltklasse Zürich,27 AUG 2026,2026,8.,dl_meeting
Jake HEYWARD,26 APR 1999,3:32.73,GBR,Weltklasse Zürich,27 AUG 2026,2026,9.,dl_meeting
Ethan STRAND,19 OCT 2002,3:32.95,USA,Weltklasse Zürich,27 AUG 2026,2026,10.,dl_meeting
Timothy CHERUIYOT,20 NOV 1995,3:33.01,KEN,Weltklasse Zürich,27 AUG 2026,2026,11.,dl_meeting
Stefan NILLESSEN,02 JAN 2003,3:33.59,NED,Weltklasse Zürich,27 AUG 2026,2026,12.,dl_meeting
Azeddine HABZ,19 JUL 1993,3:33.88,FRA,Weltklasse Zürich,27 AUG 2026,2026,13.,dl_meeting
Anas LAGTIY CHAOUDAR,17 JAN 2004,3:34.38,FRA,Weltklasse Zürich,27 AUG 2026,2026,14.,dl_meeting
Isaac NADER,17 AUG 1999,3:35.31,POR,Weltklasse Zürich,27 AUG 2026,2026,15.,dl_meeting
Samuel PIHLSTRÖM,08 MAR 2001,3:39.15,SWE,Weltklasse Zürich,27 AUG 2026,2026,16.,dl_meeting
Žan RUDOLF,09 MAY 1993,DNF,SLO,Weltklasse Zürich,27 AUG 2026,2026,,dl_meeting
