Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat,Venue,Date,Results Score,discipline,year,ProfileURL,source
23,71.56,,Inna SAYENKO,08 MAR 1982,UKR,1,,Kyiv (UKR),17 JUN 2008,1118,women_HT,2008,https://worldathletics.org/athletes/athlete=14304127,toplist
24,71.36,,Amélie PERRIN,30 MAR 1980,FRA,3,,Strasbourg (FRA),02 JUL 2008,1115,women_HT,2008,https://worldathletics.org/athletes/athlete=14273482,toplist
25,70.94,,Sultana FRIZELL,24 OCT 1984,CAN,1,,Windsor (CAN),05 JUL 2008,1108,women_HT,2008,https://worldathletics.org/athletes/athlete=14267981,toplist
26,70.81,,Marina NIKIŞENKO,28 JUN 1986,MDA,1,,Chisinau (MDA),30 MAY 2008,1106,women_HT,2008,https://worldathletics.org/athletes/athlete=14290914,toplist
27,70.74,,Svetlana SUDAK-TORUN,17 NOV 1971,TUR,2,,Minsk (BLR),27 JUL 2008,1105,women_HT,2008,https://worldathletics.org/athletes/athlete=14269589,toplist
28,70.72,,Jessica COSBY-TORUGA,31 MAY 1982,USA,1,,"Eugene, OR (USA)",05 JUL 2008,1105,women_HT,2008,https://worldathletics.org/athletes/athlete=14308131,toplist
29,70.42,,Silvia SALIS,17 SEP 1985,ITA,1,,Savona (ITA),08 JUL 2008,1100,women_HT,2008,https://worldathletics.org/athletes/athlete=14285187,toplist
30,70.39,,Kathrin KLAAS,06 FEB 1984,GER,1,,Schönau (GER),21 JUN 2008,1099,women_HT,2008,https://worldathletics.org/athletes/athlete=14278327,toplist
31,70.38,,Alexandra PAPAGEORGIOU,17 DEC 1980,GRE,,,Argos Orestiko (GRE),19 JUL 2008,1099,women_HT,2008,https://worldathletics.org/athletes/athlete=14280840,toplist
32,70.22,,Zalina MARGHIEVA,05 FEB 1988,MDA,2,,Chisinau (MDA),30 MAY 2008,1097,women_HT,2008,https://worldathletics.org/athletes/athlete=14290915,toplist
33,70.21,,Candice SCOTT,17 SEP 1980,TTO,1,,Soini (FIN),14 JUN 2008,1097,women_HT,2008,https://worldathletics.org/athletes/athlete=14303043,toplist
34,70.19,,Amber CAMPBELL,05 JUN 1981,USA,1,,"Walnut, CA (USA)",20 APR 2008,1096,women_HT,2008,https://worldathletics.org/athletes/athlete=14307097,toplist
34,70.19,,Nadezhda PAVLYUKOVSKAYA,30 MAY 1984,BLR,6,,Minsk (BLR),07 JUN 2008,1096,women_HT,2008,https://worldathletics.org/athletes/athlete=14269698,toplist
36,70.18,,Éva ORBÁN,29 NOV 1984,HUN,1,,"Northridge, CA (USA)",14 MAR 2008,1096,women_HT,2008,https://worldathletics.org/athletes/athlete=14282161,toplist
37,70.17,,Arasay THONDIKE,28 MAY 1986,CUB,1,,Leiria (POR),26 JUL 2008,1096,women_HT,2008,https://worldathletics.org/athletes/athlete=14263362,toplist
38,70.07,,Zheng WANG,14 DEC 1987,CHN,2,,Hangzhou (CHN),11 APR 2008,1094,women_HT,2008,https://worldathletics.org/athletes/athlete=14264987,toplist
38,70.07,,Sanja GAVRILOVIĆ,20 SEP 1982,CRO,1,,Ljubljana (SLO),22 JUL 2008,1094,women_HT,2008,https://worldathletics.org/athletes/athlete=14263823,toplist
40,69.89,,Bethany HART,19 APR 1977,USA,1,,"West Point, NY (USA)",20 JUN 2008,1091,women_HT,2008,https://worldathletics.org/athletes/athlete=14312099,toplist
41,69.65,,Ester BALASSINI,20 OCT 1977,ITA,3,,Doha (QAT),09 MAY 2008,1088,women_HT,2008,https://worldathletics.org/athletes/athlete=14283688,toplist
42,69.59,,Bianca Florentina PERIE,01 JUN 1990,ROU,1,,Bucureşti (ROU),08 MAR 2008,1087,women_HT,2008,https://worldathletics.org/athletes/athlete=14295835,toplist
43,69.56,,Loree SMITH,06 NOV 1982,USA,1,,"Tucson, AZ (USA)",24 MAY 2008,1086,women_HT,2008,https://worldathletics.org/athletes/athlete=14321579,toplist
44,69.51,,Małgorzata ZADURA,03 OCT 1982,POL,1,,Lublin (POL),07 JUN 2008,1085,women_HT,2008,https://worldathletics.org/athletes/athlete=14294710,toplist
45,69.47,,Katalin DIVÓS,11 MAY 1974,HUN,2,,Ljubljana (SLO),22 JUL 2008,1085,women_HT,2008,https://worldathletics.org/athletes/athlete=14281410,toplist
46,69.09,,Cecilia NILSSON,22 JUN 1979,SWE,6f1,,Halle (GER),24 MAY 2008,1078,women_HT,2008,https://worldathletics.org/athletes/athlete=14302241,toplist
47,69.03,,Yunaika CRAWFORD,02 NOV 1982,CUB,2,,Cali (COL),06 JUL 2008,1077,women_HT,2008,https://worldathletics.org/athletes/athlete=14263619,toplist
47,69.03,,Lenka LEDVINOVÁ,11 AUG 1985,CZE,1,,Plzeň (CZE),12 JUL 2008,1077,women_HT,2008,https://worldathletics.org/athletes/athlete=14262946,toplist
49,68.86,,Mihaela MELINTE,27 MAR 1975,ROU,2,,Argos Orestiko (GRE),19 JUL 2008,1075,women_HT,2008,https://worldathletics.org/athletes/athlete=14295749,toplist
50,68.79,,Brittany RILEY,26 AUG 1986,USA,1,,"Carbondale, IL (USA)",28 MAR 2008,1074,women_HT,2008,https://worldathletics.org/athletes/athlete=14319921,toplist
51,68.73,,Jennifer JOYCE,25 SEP 1980,CAN,2,,Windsor (CAN),05 JUL 2008,1073,women_HT,2008,https://worldathletics.org/athletes/athlete=14267781,toplist
52,68.71,,Britney HENRY,17 OCT 1984,USA,2,,"Tucson, AZ (USA)",24 MAY 2008,1072,women_HT,2008,https://worldathletics.org/athletes/athlete=14312417,toplist
53,68.63,,Zoe DERHAM,24 NOV 1980,GBR,1,,Loughborough (GBR),17 JUL 2008,1071,women_HT,2008,https://worldathletics.org/athletes/athlete=14274882,toplist
54,68.60,,Sarah HOPPING,05 AUG 1983,USA,3,,"Eugene, OR (USA)",05 JUL 2008,1071,women_HT,2008,https://worldathletics.org/athletes/athlete=14312888,toplist
55,68.31,,Jessica PRESSLEY,27 DEC 1984,USA,1,,"Tucson, AZ (USA)",03 MAY 2008,1066,women_HT,2008,https://worldathletics.org/athletes/athlete=14319261,toplist
56,68.26,,Kateřina ŠAFRÁNKOVÁ,08 JUN 1989,CZE,1,,Pardubice (CZE),07 MAY 2008,1065,women_HT,2008,https://worldathletics.org/athletes/athlete=14262767,toplist
57,68.25,,Merja KORPELA,15 MAY 1981,FIN,1,,Helsinki (FIN),30 AUG 2008,1065,women_HT,2008,https://worldathletics.org/athletes/athlete=14259386,toplist
58,68.22,,Katarzyna KITA,04 JUL 1984,POL,8,,Warszawa (POL),15 JUN 2008,1064,women_HT,2008,https://worldathletics.org/athletes/athlete=14293858,toplist
59,68.12,,Kristal KOSTIEW,08 JAN 1982,USA,2,,"Provo, UT (USA)",24 MAY 2008,1063,women_HT,2008,https://worldathletics.org/athletes/athlete=14314706,toplist
60,68.05,,Crystal SMITH,06 MAR 1981,CAN,1,,"Conway, SC (USA)",14 MAR 2008,1062,women_HT,2008,https://worldathletics.org/athletes/athlete=14267178,toplist
60,68.05,,Paraskevi THEODOROU,15 MAR 1986,CYP,,,Larnaca (CYP),16 JUL 2008,1062,women_HT,2008,https://worldathletics.org/athletes/athlete=14263275,toplist
62,68.01,,Yelena KISELYOVA,24 MAR 1979,RUS,2,,"Meteor, Zhukovskiy (RUS)",15 JUN 2008,1061,women_HT,2008,https://worldathletics.org/athletes/athlete=14298127,toplist
63,68.00,,Eli Johana MORENO,15 APR 1985,COL,1,,Bogotá (COL),19 JUL 2008,1061,women_HT,2008,https://worldathletics.org/athletes/athlete=14263966,toplist
64,67.70,,Olga KUZENKOVA,04 OCT 1970,RUS,4,,Kazan (RUS),19 JUL 2008,1056,women_HT,2008,https://worldathletics.org/athletes/athlete=14298370,toplist
65,67.69,,Nataliya ZOLOTUKHINA,04 JAN 1985,UKR,2,,Kyiv (UKR),17 JUN 2008,1056,women_HT,2008,https://worldathletics.org/athletes/athlete=14304378,toplist
66,67.66,,Leslie COONS,16 JUL 1973,USA,2,,"Walnut, CA (USA)",08 MAR 2008,1055,women_HT,2008,https://worldathletics.org/athletes/athlete=14308044,toplist
67,67.49,,Ariannys VICHY,18 MAY 1989,CUB,1,,La Habana (CUB),07 MAR 2008,1053,women_HT,2008,https://worldathletics.org/athletes/athlete=14263672,toplist
68,67.46,,Mona Christine HOLM,05 AUG 1983,NOR,1,,Helsingborg (SWE),11 JUL 2008,1052,women_HT,2008,https://worldathletics.org/athletes/athlete=14292656,toplist
69,67.42,,Georgina TÓTH,10 MAR 1982,CMR,1,,"Flagstaff, AZ (USA)",18 JUL 2008,1051,women_HT,2008,https://worldathletics.org/athletes/athlete=14282541,toplist
70,67.38,,Malwina SOBIERAJSKA,22 APR 1985,POL,1,,Białystok (POL),17 MAY 2008,1051,women_HT,2008,https://worldathletics.org/athletes/athlete=14294436,toplist
71,67.35,,Andrea BUNJES,05 FEB 1976,GER,1,,Wetzlar (GER),15 JUN 2008,1050,women_HT,2008,https://worldathletics.org/athletes/athlete=14277234,toplist
72,67.27,,Brittany HINCHCLIFFE,24 JUL 1982,USA,3,,"Tucson, AZ (USA)",24 MAY 2008,1049,women_HT,2008,https://worldathletics.org/athletes/athlete=14312652,toplist
73,67.20,,Olivia WALDET,23 MAY 1984,FRA,4,,Albi (FRA),26 JUL 2008,1048,women_HT,2008,https://worldathletics.org/athletes/athlete=14274266,toplist
74,67.08,,Mariya BESPALOVA,21 MAY 1986,RUS,3,,"Meteor, Zhukovskiy (RUS)",15 JUN 2008,1046,women_HT,2008,https://worldathletics.org/athletes/athlete=14297374,toplist
75,66.92,,Melissa PRICE-MYERSCOUGH,05 SEP 1979,USA,1,,"Los Angeles, CA (USA)",26 APR 2008,1043,women_HT,2008,https://worldathletics.org/athletes/athlete=14319297,toplist
76,66.90,,Laura GIBILISCO,17 JAN 1986,ITA,1,,Siracusa (ITA),05 APR 2008,1043,women_HT,2008,https://worldathletics.org/athletes/athlete=14284440,toplist
77,66.85,,Vanda NICKL,04 SEP 1985,HUN,2,,Veszprém (HUN),05 JUL 2008,1042,women_HT,2008,https://worldathletics.org/athletes/athlete=14282144,toplist
78,66.62,,Keturah LOFTON,24 JUL 1982,USA,1,,"Berea, OH (USA)",14 MAY 2008,1039,women_HT,2008,https://worldathletics.org/athletes/athlete=14315526,toplist
79,66.52,,Sarah STEVENS-WALKER,02 APR 1986,USA,1,,"Tempe, AZ (USA)",11 APR 2008,1037,women_HT,2008,https://worldathletics.org/athletes/athlete=14322043,toplist
80,66.38,,Jennifer DAHLGREN,21 APR 1984,ARG,1,,Buenos Aires (ARG),18 MAR 2008,1035,women_HT,2008,https://worldathletics.org/athletes/athlete=14272677,toplist
81,66.33,,Berta CASTELLS,24 JAN 1984,ESP,2,,Leiria (POR),22 JUN 2008,1034,women_HT,2008,https://worldathletics.org/athletes/athlete=14261855,toplist
82,66.31,,Carys PARRY,24 JUL 1981,GBR,1f1,,Birmingham (GBR),07 JUN 2008,1034,women_HT,2008,https://worldathletics.org/athletes/athlete=14276018,toplist
83,66.26,,Lena SOLVIN,04 JUL 1986,FIN,3,,Kaustinen (FIN),28 JUN 2008,1033,women_HT,2008,https://worldathletics.org/athletes/athlete=14258969,toplist
84,66.22,,Kelly GODSEY,02 JAN 1984,USA,4q1,,"Eugene, OR (USA)",03 JUL 2008,1032,women_HT,2008,https://worldathletics.org/athletes/athlete=14311078,toplist
85,66.08,,Oksana KONDRATYEVA,22 NOV 1985,RUS,1,,Podolsk (RUS),20 JUN 2008,1030,women_HT,2008,https://worldathletics.org/athletes/athlete=14298185,toplist
85,66.08,,Erin GILREATH,11 AUG 1980,USA,4q2,,"Eugene, OR (USA)",03 JUL 2008,1030,women_HT,2008,https://worldathletics.org/athletes/athlete=14310985,toplist
87,65.96,,Rosa Andreina RODRÍGUEZ,02 JUL 1986,VEN,1,,Iquique (CHI),14 JUN 2008,1028,women_HT,2008,https://worldathletics.org/athletes/athlete=14325206,toplist
88,65.75,,Maris NIIT,17 MAR 1984,EST,1,,Tallinn (EST),20 JUL 2008,1025,women_HT,2008,https://worldathletics.org/athletes/athlete=14260028,toplist
89,65.64,,Vânia SILVA,08 JUN 1980,POR,1,,Seixal (POR),19 JUL 2008,1023,women_HT,2008,https://worldathletics.org/athletes/athlete=14295104,toplist
90,65.60,,Shuai HAO,19 JUL 1987,CHN,2,,Beijing (CHN),24 MAY 2008,1022,women_HT,2008,https://worldathletics.org/athletes/athlete=14266362,toplist
91,65.36,,Loren GROVES,07 FEB 1986,USA,1,,"Manhattan, KS (USA)",03 MAY 2008,1018,women_HT,2008,https://worldathletics.org/athletes/athlete=14311551,toplist
92,65.24,,Tracey ANDERSSON,05 DEC 1984,SWE,1,,Göteborg (SWE),24 AUG 2008,1016,women_HT,2008,https://worldathletics.org/athletes/athlete=14301679,toplist
93,65.23,,Zübeyde YILDIZ,07 SEP 1980,TUR,2,,Izmir (TUR),31 MAY 2008,1016,women_HT,2008,https://worldathletics.org/athletes/athlete=14303356,toplist
94,65.21,,Dorotea HABAZIN,14 JUN 1988,CRO,1,,"Atlanta, GA (USA)",17 APR 2008,1016,women_HT,2008,https://worldathletics.org/athletes/athlete=14263815,toplist
94,65.21,,Vanessa WILHELM,24 NOV 1979,USA,2,,"Irvine, CA (USA)",03 MAY 2008,1016,women_HT,2008,https://worldathletics.org/athletes/athlete=14324177,toplist
96,65.12,,Alena KRECHYK,20 JUL 1987,BLR,5,,Brest (FRA),15 FEB 2008,1014,women_HT,2008,https://worldathletics.org/athletes/athlete=14269800,toplist
97,65.04,,Cari SOONG,11 JUL 1981,USA,9,,"Eugene, OR (USA)",05 JUL 2008,1013,women_HT,2008,https://worldathletics.org/athletes/athlete=14321733,toplist
98,64.85,,Yinghui LIU,29 JUN 1978,CHN,3,,Hangzhou (CHN),11 APR 2008,1010,women_HT,2008,https://worldathletics.org/athletes/athlete=14265712,toplist
99,64.39,,Yuka MUROFUSHI,11 FEB 1977,JPN,1,,Hiroshima (JPN),29 APR 2008,1003,women_HT,2008,https://worldathletics.org/athletes/athlete=14287254,toplist
100,64.32,,Denia CABALLERO,13 JAN 1990,CUB,1,,La Habana (CUB),08 FEB 2008,1001,women_HT,2008,https://worldathletics.org/athletes/athlete=14263657,toplist
1,77.96,,Anita WŁODARCZYK,08 AUG 1985,POL,1,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1222,women_HT,2009,https://worldathletics.org/athletes/athlete=14294652,toplist
2,77.12,,Betty HEIDLER,14 OCT 1983,GER,2,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1208,women_HT,2009,https://worldathletics.org/athletes/athlete=14277951,toplist
3,76.90,,Martina HRAŠNOVÁ,21 MAR 1983,SVK,1,,Trnava (SVK),16 MAY 2009,1205,women_HT,2009,https://worldathletics.org/athletes/athlete=14301404,toplist
4,76.41,,Tatyana LYSENKO,09 OCT 1983,RUS,1,,Cheboksary (RUS),26 JUL 2009,1197,women_HT,2009,https://worldathletics.org/athletes/athlete=14298505,toplist
5,74.25,,Wenxiu ZHANG,22 MAR 1986,CHN,1,,Jinan (CHN),21 OCT 2009,1162,women_HT,2009,https://worldathletics.org/athletes/athlete=14264385,toplist
6,74.23,,Kathrin KLAAS,06 FEB 1984,GER,4,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1162,women_HT,2009,https://worldathletics.org/athletes/athlete=14278327,toplist
7,73.90,,Arasay THONDIKE,28 MAY 1986,CUB,1,,La Habana (CUB),18 JUN 2009,1156,women_HT,2009,https://worldathletics.org/athletes/athlete=14263362,toplist
8,73.07,,Iryna SEKACHOVA,21 JUL 1976,UKR,1,,Kyiv (UKR),28 APR 2009,1143,women_HT,2009,https://worldathletics.org/athletes/athlete=14304134,toplist
9,72.86,,Marina SMOLYACHKOVA,10 FEB 1985,BLR,1,,Minsk (BLR),06 JUN 2009,1139,women_HT,2009,https://worldathletics.org/athletes/athlete=14269608,toplist
10,72.79,,Jennifer DAHLGREN,21 APR 1984,ARG,1,,Buenos Aires (ARG),14 FEB 2009,1138,women_HT,2009,https://worldathletics.org/athletes/athlete=14272677,toplist
11,72.71,,Manuela MONTEBRUN,13 NOV 1979,FRA,1f1,,Compiégne (FRA),28 FEB 2009,1137,women_HT,2009,https://worldathletics.org/athletes/athlete=14273210,toplist
12,72.54,,Stéphanie FALZON,07 JAN 1983,FRA,3,,Ostrava (CZE),16 JUN 2009,1134,women_HT,2009,https://worldathletics.org/athletes/athlete=14257573,toplist
13,72.53,,Marina NIKIŞENKO,28 JUN 1986,MDA,1,,Chisinau (MDA),05 MAY 2009,1134,women_HT,2009,https://worldathletics.org/athletes/athlete=14290914,toplist
14,72.21,,Jessica COSBY-TORUGA,31 MAY 1982,USA,3q1,,"Olympiastadion, Berlin (GER)",20 AUG 2009,1129,women_HT,2009,https://worldathletics.org/athletes/athlete=14308131,toplist
15,72.07,,Sultana FRIZELL,24 OCT 1984,CAN,2,,"Eugene, OR (USA)",07 JUN 2009,1127,women_HT,2009,https://worldathletics.org/athletes/athlete=14267981,toplist
16,71.67,,Silvia SALIS,17 SEP 1985,ITA,3f1,,Los Realejos (ESP),14 MAR 2009,1120,women_HT,2009,https://worldathletics.org/athletes/athlete=14285187,toplist
17,71.66,,Clarissa CLARETTI,07 OCT 1980,ITA,1,,La Habana (CUB),06 MAR 2009,1120,women_HT,2009,https://worldathletics.org/athletes/athlete=14284078,toplist
18,71.56,,Zalina MARGHIEVA,05 FEB 1988,MDA,1f1,,Chisinau (MDA),31 JAN 2009,1118,women_HT,2009,https://worldathletics.org/athletes/athlete=14290915,toplist
19,71.43,,Olga TSANDER,18 MAY 1976,BLR,2,,Minsk (BLR),06 JUN 2009,1116,women_HT,2009,https://worldathletics.org/athletes/athlete=14269574,toplist
20,71.18,,Styliani PAPADOPOULOU,15 MAR 1982,GRE,3,,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",21 JUN 2009,1112,women_HT,2009,https://worldathletics.org/athletes/athlete=14280838,toplist
21,70.73,,Yelena MATOSHKO,23 JUN 1982,BLR,1,,Brest (BLR),23 MAY 2009,1105,women_HT,2009,https://worldathletics.org/athletes/athlete=14269744,toplist
21,70.73,,Alexandra PAPAGEORGIOU,17 DEC 1980,GRE,1,,Thessaloniki (GRE),01 AUG 2009,1105,women_HT,2009,https://worldathletics.org/athletes/athlete=14280840,toplist
23,70.66,,Yunaika CRAWFORD,02 NOV 1982,CUB,1,,La Habana (CUB),25 APR 2009,1104,women_HT,2009,https://worldathletics.org/athletes/athlete=14263619,toplist
24,70.64,,Loree SMITH,06 NOV 1982,USA,1,,"Tucson, AZ (USA)",23 MAY 2009,1104,women_HT,2009,https://worldathletics.org/athletes/athlete=14321579,toplist
25,70.61,,Amber CAMPBELL,05 JUN 1981,USA,2,,"Walnut, CA (USA)",18 APR 2009,1103,women_HT,2009,https://worldathletics.org/athletes/athlete=14307097,toplist
26,70.51,,Lenka LEDVINOVÁ,11 AUG 1985,CZE,1,,Sušice (CZE),01 MAY 2009,1101,women_HT,2009,https://worldathletics.org/athletes/athlete=14262946,toplist
27,70.37,,Andrea BUNJES,05 FEB 1976,GER,,,St. Wendel (GER),21 JUN 2009,1099,women_HT,2009,https://worldathletics.org/athletes/athlete=14277234,toplist
28,70.35,,Jennifer JOYCE,25 SEP 1980,CAN,3,,Madrid (ESP),04 JUL 2009,1099,women_HT,2009,https://worldathletics.org/athletes/athlete=14267781,toplist
29,70.29,,Inna SAYENKO,08 MAR 1982,UKR,2,,Kyiv (UKR),28 APR 2009,1098,women_HT,2009,https://worldathletics.org/athletes/athlete=14304127,toplist
30,70.19,,Erin GILREATH,11 AUG 1980,USA,1,,"Atlanta, GA (USA)",07 JUN 2009,1096,women_HT,2009,https://worldathletics.org/athletes/athlete=14310985,toplist
31,70.16,,Éva ORBÁN,29 NOV 1984,HUN,1,,Veszprém (HUN),11 JUL 2009,1096,women_HT,2009,https://worldathletics.org/athletes/athlete=14282161,toplist
32,69.91,,Eileen O'KEEFFE,31 MAY 1981,IRL,1,,Dublin (IRL),01 AUG 2009,1092,women_HT,2009,https://worldathletics.org/athletes/athlete=14283338,toplist
33,69.80,,Eli Johana MORENO,15 APR 1985,COL,1,,Santa Fé (ARG),29 MAR 2009,1090,women_HT,2009,https://worldathletics.org/athletes/athlete=14263966,toplist
34,69.69,,Britney HENRY,17 OCT 1984,USA,3,,"Tucson, AZ (USA)",23 MAY 2009,1088,women_HT,2009,https://worldathletics.org/athletes/athlete=14312417,toplist
35,69.63,,Bianca Florentina PERIE,01 JUN 1990,ROU,1,,Bucureşti (ROU),14 AUG 2009,1087,women_HT,2009,https://worldathletics.org/athletes/athlete=14295835,toplist
36,69.56,,Merja KORPELA,15 MAY 1981,FIN,4,,Beograd (SRB),10 JUL 2009,1086,women_HT,2009,https://worldathletics.org/athletes/athlete=14259386,toplist
37,69.46,,Rosa Andreina RODRÍGUEZ,02 JUL 1986,VEN,1,,Bogotá (COL),25 JUL 2009,1084,women_HT,2009,https://worldathletics.org/athletes/athlete=14325206,toplist
38,69.29,,Paraskevi THEODOROU,15 MAR 1986,CYP,1,,Tripoli (GRE),17 MAY 2009,1082,women_HT,2009,https://worldathletics.org/athletes/athlete=14263275,toplist
39,69.13,,Amélie PERRIN,30 MAR 1980,FRA,3,,Angers (FRA),25 JUL 2009,1079,women_HT,2009,https://worldathletics.org/athletes/athlete=14273482,toplist
40,69.02,,Mariya BESPALOVA,21 MAY 1986,RUS,1f1,,"Adler, Sochi (RUS)",20 FEB 2009,1077,women_HT,2009,https://worldathletics.org/athletes/athlete=14297374,toplist
40,69.02,,Iryna NOVOZHYLOVA,07 JAN 1986,UKR,2,,Yalta (UKR),22 JUL 2009,1077,women_HT,2009,https://worldathletics.org/athletes/athlete=14303970,toplist
42,68.83,,Svetlana SUDAK-TORUN,17 NOV 1971,TUR,1,,Izmir (TUR),06 JUN 2009,1074,women_HT,2009,https://worldathletics.org/athletes/athlete=14269589,toplist
43,68.75,,Nataliya ZOLOTUKHINA,04 JAN 1985,UKR,2,,Kyiv (UKR),29 MAY 2009,1073,women_HT,2009,https://worldathletics.org/athletes/athlete=14304378,toplist
44,68.61,,Alena KRECHYK,20 JUL 1987,BLR,2,,Minsk (BLR),29 MAY 2009,1071,women_HT,2009,https://worldathletics.org/athletes/athlete=14269800,toplist
45,68.47,,Mihaela MELINTE,27 MAR 1975,ROU,2,,Bucureşti (ROU),02 AUG 2009,1068,women_HT,2009,https://worldathletics.org/athletes/athlete=14295749,toplist
46,68.32,,Vânia SILVA,08 JUN 1980,POR,1f2,,Los Realejos (ESP),14 MAR 2009,1066,women_HT,2009,https://worldathletics.org/athletes/athlete=14295104,toplist
47,68.08,,Stevi LARGE,11 FEB 1986,USA,1,,"Fayetteville, AR (USA)",12 JUN 2009,1062,women_HT,2009,https://worldathletics.org/athletes/athlete=14314992,toplist
48,68.06,,Berta CASTELLS,24 JAN 1984,ESP,1,,Manresa (ESP),24 JUN 2009,1062,women_HT,2009,https://worldathletics.org/athletes/athlete=14261855,toplist
49,68.00,,Zoe DERHAM,24 NOV 1980,GBR,1f1,,Rugby (GBR),07 JUN 2009,1061,women_HT,2009,https://worldathletics.org/athletes/athlete=14274882,toplist
49,68.00,,Cecilia NILSSON,22 JUN 1979,SWE,1f1,,Bottnaryd (SWE),28 JUN 2009,1061,women_HT,2009,https://worldathletics.org/athletes/athlete=14302241,toplist
51,67.99,,Tracey ANDERSSON,05 DEC 1984,SWE,1,,Göteborg (SWE),19 MAY 2009,1061,women_HT,2009,https://worldathletics.org/athletes/athlete=14301679,toplist
