Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
46,22.57,+0.4,Jaël BESTUÉ,24 SEP 2000,ESP,1,,"Estadio Ciudad de Málaga, Málaga (ESP)",26 JUL 2026,1178,women_200m,2026
50,22.59,+1.5,Caisja CHANDLER,18 JUN 2000,USA,3f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",25 APR 2026,1176,women_200m,2026
51,22.60,-1.5,Marileidy PAULINO,25 OCT 1996,DOM,1h2,,"Estadio de Atletismo - Unidad Deportiva el Salitre, Bogotá (COL)",25 APR 2026,1184,women_200m,2026
51,22.60,+0.9,Deajah STEVENS,19 MAY 1995,USA,1f1,,"Veterans Memorial Stadium, Clovis, CA (USA)",02 MAY 2026,1175,women_200m,2026
51,22.60,+0.5,Gémima JOSEPH,17 OCT 2001,FRA,1f2,,"Ray Conn Sports Complex, Cleveland, TN (USA)",29 MAY 2026,1175,women_200m,2026
51,22.60,+1.9,Monique HANLON,28 JUL 2004,AUS,2f1,,"London Marathon Community Track, London (GBR)",12 JUL 2026,1175,women_200m,2026
55,22.61,+1.4,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1f2,,"National Stadium, Kingston (JAM)",21 MAR 2026,1174,women_200m,2026
55,22.61,+1.9,Aaliyah BUTLER,05 NOV 2003,USA,2f1,,"Spec Towns Track, Athens, GA (USA)",11 APR 2026,1174,women_200m,2026
55,22.61,+1.5,Bailey JOHNSON,,USA,2f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",16 MAY 2026,1174,women_200m,2026
58,22.62,+1.9,Torrie LEWIS,08 JAN 2005,AUS,1f1,,"Stade Bouleyres, Bulle (SUI)",11 JUL 2026,1173,women_200m,2026
59,22.64,+1.7,Taylor SNAER,22 FEB 2005,USA,3h1,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1171,women_200m,2026
60,22.65,+0.2,Shenese WALKER,23 JAN 2003,JAM,1f1,,"Cardinal Park, Louisville, KY (USA)",16 MAY 2026,1170,women_200m,2026
61,22.66,,Madison WHYTE,17 OCT 2004,USA,1f1,,"Convention Center, Albuquerque, NM (USA) (i)",13 FEB 2026,1210,women_200m,2026
61,22.66,-1.7,Liranyi ALONSO,28 DEC 2005,DOM,1f2,,"Estadio Luguelín Santos, Bayaguana (DOM)",28 MAR 2026,1179,women_200m,2026
61,22.66,+1.5,Ana AZEVEDO,19 MAY 1998,BRA,1h5,,"CNDA, Bragança Paulista (BRA)",26 APR 2026,1169,women_200m,2026
61,22.66,+1.9,Gabriela Anahi SUAREZ,02 FEB 2001,ECU,1h4,,"New Mexico JC, Hobbs, NM (USA)",15 MAY 2026,1169,women_200m,2026
61,22.66,+2.0,Taniya LOONEY,,USA,3h2,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1169,women_200m,2026
66,22.67,+0.5,Elise COOPER,07 FEB 2007,USA,2f1,,"Mike A. Myers Stadium, Austin, TX (USA)",30 APR 2026,1168,women_200m,2026
66,22.67,-0.1,Emma ZAPLETALOVÁ,24 MAR 2000,SVK,1,,"Štadión SNP, Banská Bystrica (SVK)",25 JUL 2026,1168,women_200m,2026
66,22.67,+1.0,Jadyn MAYS,02 APR 2002,USA,4,,"Icahn Stadium, New York, NY (USA)",26 JUL 2026,1168,women_200m,2026
69,22.69,+0.5,Nicole CAICEDO,02 SEP 2000,ECU,1,,"La Vicentina, Quito (ECU)",18 APR 2026,1166,women_200m,2026
69,22.69,+2.0,Paje RASMUSSEN,,USA,1,,"Clarence F. Robison Track, Provo, UT (USA)",02 MAY 2026,1166,women_200m,2026
69,22.69,+1.9,Chelsea AMOAH,,USA,2h4,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",14 MAY 2026,1166,women_200m,2026
69,22.69,+0.5,Léonie POINTET,17 FEB 2001,SUI,2f1,,"Stadion Trinermatten, Zofingen (SUI)",23 MAY 2026,1166,women_200m,2026
69,22.69,0.0,Paula SEVILLA,28 JUN 1997,ESP,1f1,,"Polideportivo Fermin Cacho, Fuenlabrada (ESP)",29 MAY 2026,1166,women_200m,2026
69,22.69,+1.2,Estrella DE AZA,03 DEC 1996,DOM,1h2,,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",05 AUG 2026,1166,women_200m,2026
75,22.71,+1.7,Aniyah BIGAM,2004,USA,2f1,,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",10 APR 2026,1164,women_200m,2026
75,22.71,+1.1,Cynteria JAMES,07 SEP 2005,USA,3f1,,"Hutsell-Rosen Track, Auburn, AL (USA)",25 APR 2026,1164,women_200m,2026
77,22.72,+1.0,Diandrenique GAINES,09 AUG 2002,USA,1f1,,"A.W: Mumford Stadium, Baton Rouge, LA (USA)",12 MAY 2026,1163,women_200m,2026
78,22.73,-1.1,Camryn DAILEY,,USA,1f2,,"Percy Beard Track, Gainesville, FL (USA)",04 APR 2026,1168,women_200m,2026
78,22.73,-0.1,Marlet OSPINO,06 SEP 2004,COL,1,,"Estadio de Atletismo de la Unidad Deportiva Centenario, Armenia (COL)",10 MAY 2026,1162,women_200m,2026
78,22.73,+0.6,Patchnalie COMPERE,09 OCT 2006,HAI,2pr2,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",28 MAY 2026,1162,women_200m,2026
81,22.74,+1.7,Symone DARIUS,04 JUL 1998,LBR,1f2,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",01 MAY 2026,1161,women_200m,2026
81,22.74,+1.7,Quincy PENN,06 SEP 2005,BAH,2f2,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",01 MAY 2026,1161,women_200m,2026
81,22.74,+1.2,Melanie DOGGETT,,USA,1f1,,"IMG Academy, Bradenton, FL (USA)",31 MAY 2026,1161,women_200m,2026
84,22.75,+0.2,Mia EDIM,,USA,2f1,,"Cardinal Park, Louisville, KY (USA)",16 MAY 2026,1160,women_200m,2026
84,22.75,-0.2,Vera FILATOVA,24 NOV 1995,RUS,1,,"Kalininets Stadium, Yekaterinburg (RUS)",26 JUL 2026,1161,women_200m,2026
86,22.76,+0.7,Braelyn BAKER,20 JAN 2006,USA,1f1,,"Morris Williams T&F Stadium, Durham, NC (USA)",11 APR 2026,1159,women_200m,2026
86,22.76,+0.2,Thelma DAVIES,08 MAY 2000,LBR,2,,"Sports Park Mladost, Zagreb (CRO)",26 JUN 2026,1159,women_200m,2026
86,22.76,+1.9,Sophia JUNK,01 MAR 1999,GER,1f5,,"Enwag-Stadion, Wetzlar (GER)",10 JUL 2026,1159,women_200m,2026
86,22.76,+1.5,Niesha BURGHER,08 AUG 2002,JAM,1h3,,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",05 AUG 2026,1159,women_200m,2026
90,22.77,+0.7,Oluebube EZECHUKWU,10 AUG 2008,NGR,1f1,,"Godswill Akpabio International Stadium, Uyo (NGR)",20 JUN 2026,1158,women_200m,2026
90,22.77,+0.5,Herverge KOLE ETAME,22 JUN 2002,CMR,1f1,,"Stade Jean Leroi, Blois (FRA)",12 JUL 2026,1158,women_200m,2026
92,22.78,+1.9,Dejanea OAKLEY,04 JUL 2004,JAM,3f1,,"Spec Towns Track, Athens, GA (USA)",11 APR 2026,1157,women_200m,2026
92,22.78,+0.9,Keliza SMITH,25 APR 2003,GUY,3pr6,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",28 MAY 2026,1157,women_200m,2026
92,22.78,-1.2,Judith Bilepo MOKOBE,06 OCT 2006,GER,1,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",26 JUL 2026,1164,women_200m,2026
95,22.79,-1.1,Rachael UVIEGHARA,,USA,2f1,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",03 MAY 2026,1162,women_200m,2026
95,22.79,+1.9,Hannah BRIER,03 FEB 1998,GBR,1f1,,"London Marathon Community Track, London (GBR)",25 MAY 2026,1156,women_200m,2026
95,22.79,+2.0,Obakeng KAMBERUKA,08 SEP 2003,BOT,1f1,,"National Stadium, Gaborone (BOT)",27 JUN 2026,1156,women_200m,2026
98,22.80,+0.5,Kerrica HILL,06 MAR 2005,JAM,1f1,,"National Stadium, Kingston (JAM)",21 MAR 2026,1155,women_200m,2026
98,22.80,0.0,Nickisha PRYCE,07 MAR 2001,JAM,6,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1155,women_200m,2026
98,22.80,-1.1,Rhasidat ADELEKE,29 AUG 2002,IRL,1f1,,"Morton Stadium, Santry, Dublin (IRL)",25 JUL 2026,1161,women_200m,2026
