Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
64,16.49,,Abraham JOHNSON,,USA,7f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 MAR 2026,1110,men_TJ,2026
64,16.49,-0.4,Ruiting WU,29 NOV 1995,CHN,1,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1112,men_TJ,2026
64,16.49,+0.2,Ibrokhim MAHKAMOV,12 NOV 2004,UZB,1,,"AFU Athletics Stadium, Tashkent (UZB)",25 JUN 2026,1110,men_TJ,2026
67,16.48,+0.5,Gailey Venister DEVASAHAYAM,31 JAN 2000,IND,3,,"Anju Bobby High Performance Centre, Bengaluru (IND)",14 MAR 2026,1109,men_TJ,2026
68,16.47,,Trevon HAMER,25 JAN 2004,GUY,3,,"Cliff Rovelto Indoor Track, Manhattan, KS (USA) (i)",31 JAN 2026,1108,men_TJ,2026
68,16.47,,Xinping JIAO,18 MAR 2002,CHN,2,,"Tuanbo Sports Center, Tianjin (CHN) (i)",06 FEB 2026,1108,men_TJ,2026
70,16.46,,Zavien WOLFE,,USA,4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 FEB 2026,1107,men_TJ,2026
70,16.46,+0.6,Endiorass KINGLEY,12 JUN 2002,AUT,2,,"TRANSDANUBIA Athletik.Sport.Zentrum, Linz (AUT)",11 JUL 2026,1107,men_TJ,2026
72,16.45,+1.5,Jemuel Edward MILLER,19 SEP 2001,BAR,3f1,,"Hayward Field, Eugene, OR (USA)",12 JUN 2026,1106,men_TJ,2026
73,16.44,,Floyd WHITAKER II,24 MAR 2003,USA,4f2,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",26 FEB 2026,1105,men_TJ,2026
73,16.44,+1.4,João Pedro Silva DE AZEVEDO,02 NOV 2002,BRA,4,,"Estádio Olímpico do Ibirapuera - Ícaro de Castro Melo, São Paulo (BRA)",26 JUL 2026,1105,men_TJ,2026
75,16.43,+2.0,Praise ANIAMAKA,03 JUL 2003,CAN,5f2,,"Hayward Field, Eugene, OR (USA)",12 JUN 2026,1104,men_TJ,2026
76,16.42,+0.7,Zhuoyue WANG,12 JAN 2007,CHN,1,,"Kai Tak Youth Sports Ground, Hong Kong (HKG)",29 MAY 2026,1103,men_TJ,2026
77,16.41,+1.5,Yoann AWHANSOU,06 OCT 1999,BEN,,,"Stade Pierre de Coubertin, Montgeron (FRA)",19 JUN 2026,1102,men_TJ,2026
78,16.40,,Lâchezar VÂLCHEV,26 MAY 2005,BUL,1,,"Festivalna, Sofia (BUL) (i)",31 JAN 2026,1101,men_TJ,2026
78,16.40,+0.7,Jhavor BENNETT,19 MAR 2002,JAM,7f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",16 MAY 2026,1101,men_TJ,2026
80,16.39,+0.7,Shemaiah JAMES,12 JUL 1997,AUS,1,,"SA Athletic Stadium, Adelaide (AUS)",14 MAR 2026,1100,men_TJ,2026
80,16.39,+0.6,Daniel FALODE,27 NOV 2002,GBR,1q3,,"John McDonnell Field, Fayetteville, AR (USA)",29 MAY 2026,1100,men_TJ,2026
82,16.38,,Viktor MOROZOV,13 MAR 2004,EST,1f1,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",28 FEB 2026,1099,men_TJ,2026
82,16.38,+1.4,Brendan PEREZ,16 OCT 2008,VEN,1,,"Estadio Atlético de la VIDENA, Lima (PER)",19 JUN 2026,1099,men_TJ,2026
84,16.37,-0.7,Kaiwan CULMER,25 OCT 1996,BAH,1f1,,"Florida State University - Mike Long Track, Tallahassee, FL (USA)",11 APR 2026,1102,men_TJ,2026
85,16.36,+0.3,Sterling SCOTT,12 JUN 2005,USA,4f2,,"Hutsell-Rosen Track, Auburn, AL (USA)",16 MAY 2026,1096,men_TJ,2026
85,16.36,+0.8,Roman KULESHOV,19 FEB 2000,RUS,1q4,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",29 MAY 2026,1096,men_TJ,2026
85,16.36,+1.2,Grigoris NIKOLAOU,22 JAN 2003,CYP,2,,"Municipal Sports Center, Alexandria (GRE)",16 JUL 2026,1096,men_TJ,2026
88,16.35,,Temoso MASIKANE,26 APR 2006,RSA,1f1,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",26 FEB 2026,1095,men_TJ,2026
88,16.35,+1.7,Jayden BURRIS,,USA,1,,"Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA)",21 MAR 2026,1095,men_TJ,2026
90,16.34,,Gabriel WALLMARK,21 JAN 2002,SWE,1,,"Sätrahallen, Stockholm (SWE) (i)",01 MAR 2026,1094,men_TJ,2026
90,16.34,+0.6,Anthony M. MARTÍNEZ,09 JUL 2005,CUB,1,,"Estadio Panamericano, La Habana (CUB)",06 MAY 2026,1094,men_TJ,2026
92,16.33,,Ramon ADALIA,23 NOV 1998,ESP,1,,"Pista Coberta de Catalunya, Sabadell (ESP) (i)",15 FEB 2026,1093,men_TJ,2026
92,16.33,+2.0,Hakeem FORD,,USA,1f2,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",04 APR 2026,1093,men_TJ,2026
94,16.32,+0.2,Awan AKUEN,25 MAR 2006,AUS,2,,"SA Athletic Stadium, Adelaide (AUS)",14 MAR 2026,1092,men_TJ,2026
94,16.32,-0.3,Lloyd MCCURDY,30 NOV 1997,GUY,1f1,,"Thomas Edison Park, Edison, NJ (USA)",13 JUN 2026,1093,men_TJ,2026
96,16.31,,Kirill KOVALENKO,20 JAN 1994,RUS,4,,"Spartak Stadium, Yuzhno-Sakhalinsk (RUS) (i)",02 MAR 2026,1091,men_TJ,2026
96,16.31,+1.6,Leodan TORREALBA,26 DEC 1996,VEN,1,,"Estadio Brigido Iriarte, Caracas (VEN)",28 MAR 2026,1091,men_TJ,2026
96,16.31,-0.7,Yunfei WU,03 JUL 2001,CHN,3,,"Sports Center, Bengbu (CHN)",31 MAY 2026,1095,men_TJ,2026
96,16.31,+1.2,Frederic DUFAG,21 JUL 2003,FRA,1,,"Stade Jean Leroi, Blois (FRA)",12 JUL 2026,1091,men_TJ,2026
96,16.31,-0.5,Damir GAYNUTDINOV,23 OCT 2001,RUS,3,,"Kalininets Stadium, Yekaterinburg (RUS)",25 JUL 2026,1094,men_TJ,2026
