Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
54.0,8.06,1.8,Ifeanyichukwu OTUONYE,27 JUN 1994,TKS,3,,"Chula Vista, CA (USA)",09 JUN 2018,1151.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14469992,toplist
54.0,8.06,1.5,Eunjae JU,12 JUN 1993,KOR,,,"Chula Vista, CA (USA)",09 JUN 2018,1151.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14532926,toplist
56.0,8.05,1.3,Tzu Chi LIN,03 NOV 1997,TPE,2,,Taipei City (TPE),26 MAY 2018,1149.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14755962,toplist
56.0,8.05,2.0,Feron SAYERS,15 OCT 1994,GBR,1,,Genève (SUI),09 JUN 2018,1149.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14428096,toplist
56.0,8.05,0.8,Xinglong GAO,12 MAR 1994,CHN,5,,Guiyang (CHN),16 JUN 2018,1149.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14522578,toplist
59.0,8.03,1.6,Lutalo BOYCE,11 AUG 1991,USA,2,,"Abilene, TX (USA)",24 MAR 2018,1144.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14430670,toplist
59.0,8.03,0.0,Timothy DUCKWORTH,18 JUN 1996,GBR,1ce,,"Athens, GA (USA)",06 APR 2018,1144.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14572077,toplist
59.0,8.03,0.2,Tyrone SMITH,07 AUG 1984,BER,2,,Barranquilla (COL),31 JUL 2018,1144.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14177104,toplist
62.0,8.02,,Corion KNIGHT,18 AUG 1996,USA,1,,"Fayetteville, AR (USA) (i)",09 FEB 2018,1142.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14577645,toplist
62.0,8.02,,Artyom PRIMAK,14 JAN 1993,RUS,2,,Moskva (RUS) (i),14 FEB 2018,1142.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14434404,toplist
62.0,8.02,1.8,Jordan LATIMER,04 MAR 1994,USA,2,,"Eugene, OR (USA)",06 JUN 2018,1142.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14436276,toplist
65.0,8.01,1.0,Christopher MITREVSKI,12 JUL 1996,AUS,,,Gold Coast (AUS),18 FEB 2018,1140.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14552175,toplist
65.0,8.01,0.6,Ituah ENAHORO,15 DEC 1997,GER,3f1,,Weinheim (GER),26 MAY 2018,1140.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14564505,toplist
65.0,8.01,0.1,Anatoliy RYAPOLOV,31 JAN 1997,RUS,1,,Maykop (RUS),06 JUN 2018,1140.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14576022,toplist
65.0,8.01,1.0,Yann RANDRIANASOLO,03 FEB 1994,FRA,1,,Albi (FRA),23 JUN 2018,1140.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14462845,toplist
65.0,8.01,0.9,Yasser Mohammed TRIKI,24 MAR 1997,ALG,2,,Tarragona (ESP),30 JUN 2018,1140.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14597364,toplist
65.0,8.01,0.1,Jean Marie OKUTU,04 AUG 1988,ESP,1,,Getafe (ESP),22 JUL 2018,1140.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14165528,toplist
65.0,8.01,0.0,Hibiki TSUHA,21 JAN 1998,JPN,1,,Yokohama (JPN),22 JUL 2018,1140.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14714426,toplist
72.0,8.0,,Max HEß,13 JUL 1996,GER,1,,Chemnitz (GER) (i),20 JAN 2018,1138.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14511112,toplist
72.0,8.0,0.0,Benjamin GFÖHLER,27 JAN 1994,SUI,4f1,,Weinheim (GER),26 MAY 2018,1138.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14404826,toplist
72.0,8.0,1.7,Guillaume VICTORIN,26 MAY 1990,FRA,2,,Albi (FRA),08 JUL 2018,1138.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14328126,toplist
72.0,8.0,1.6,Tenju TOGAWA,08 JAN 1997,JPN,1,,Katsuura (JPN),23 SEP 2018,1138.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14671479,toplist
76.0,7.99,,Adam MCMULLEN,05 JUL 1990,IRL,1,,Abbotstown (IRL) (i),18 FEB 2018,1136.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14378091,toplist
76.0,7.99,1.1,Dhanushka SANDARUWAN,15 APR 1994,SRI,1,,Colombo (SRI),27 APR 2018,1136.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14715683,toplist
76.0,7.99,0.9,Desmond MOBLEY,15 AUG 1995,USA,1,,"Houston, TX (USA)",12 MAY 2018,1136.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14505411,toplist
76.0,7.99,1.6,Higor ALVES,23 FEB 1994,BRA,3,,Bragança Paulista (BRA),16 SEP 2018,1136.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14418678,toplist
80.0,7.98,-0.7,Brian HUBER,12 JUN 1995,USA,1,,"Charlotte, NC (USA)",24 MAY 2018,1137.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14590198,toplist
80.0,7.98,0.6,Johannes ERM,26 MAR 1998,EST,2ce,,"Eugene, OR (USA)",06 JUN 2018,1133.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14604068,toplist
80.0,7.98,1.5,Maksim YUNYAKIN,13 FEB 1996,RUS,2,,Zhukovskiy (RUS),23 JUN 2018,1133.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14527139,toplist
80.0,7.98,1.1,Strahinja JOVANČEVIĆ,28 FEB 1993,SRB,1,,Berane (MNE),14 JUL 2018,1133.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14479218,toplist
80.0,7.98,1.6,Corentin CAMPENER,05 OCT 1990,BEL,1,,Castres (FRA),25 JUL 2018,1133.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14177685,toplist
80.0,7.98,0.4,Shoutarou SHIROYAMA,06 MAR 1995,JPN,5,,Jakarta (INA),26 AUG 2018,1133.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14649191,toplist
86.0,7.97,,Ja'Mari WARD,21 MAR 1998,USA,1,,"Columbia, MO (USA) (i)",16 FEB 2018,1131.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14566021,toplist
86.0,7.97,,Eusebio CÁCERES,10 SEP 1991,ESP,1,,Valencia (ESP) (i),17 FEB 2018,1131.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14166878,toplist
86.0,7.97,-2.6,Kyle DARROW,12 APR 1995,USA,1,,"Storrs, CT (USA)",14 APR 2018,1146.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14561437,toplist
86.0,7.97,1.4,Pavel SHALIN,06 MAR 1987,RUS,2,,Kazan (RUS),20 JUL 2018,1131.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14223897,toplist
90.0,7.96,,Jordan DOWNS,,USA,1,,"Marion, IN (USA) (i)",10 FEB 2018,1129.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14717854,toplist
90.0,7.96,,Steffin MCCARTER,19 JAN 1997,USA,1,,"Ames, IA (USA) (i)",23 FEB 2018,1129.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14659719,toplist
90.0,7.96,0.5,Maximilian ENTHOLZNER,18 AUG 1994,GER,2f1,,Oberteuringen (GER),09 JUN 2018,1129.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14454258,toplist
90.0,7.96,0.3,Wayne PINNOCK,24 OCT 2000,JAM,3,,Kingston (JAM),23 JUN 2018,1129.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14693852,toplist
94.0,7.95,1.3,Daiki ODA,15 JAN 1996,JPN,3,,Yamaguchi (JPN),23 JUN 2018,1127.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14594816,toplist
94.0,7.95,1.9,Denis BOGDANOV,02 APR 1991,RUS,2,,Zhukovskiy (RUS),01 JUL 2018,1127.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14221855,toplist
94.0,7.95,-1.1,V O JINESH,10 APR 1992,IND,2,,Bhubaneshwar (IND),27 SEP 2018,1133.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14716487,toplist
94.0,7.95,,Isaac GRIMES,07 FEB 1998,USA,1,,"Golden, CO (USA) (i)",06 DEC 2018,1127.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14820319,toplist
98.0,7.94,,Alper KULAKSIZ,06 APR 1992,TUR,1,,Istanbul (TUR) (i),18 JAN 2018,1125.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14375530,toplist
98.0,7.94,1.7,Shawn-D THOMPSON,20 JAN 1997,JAM,1,,Kingston (JAM),24 FEB 2018,1125.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14691402,toplist
98.0,7.94,1.8,Rodney RUFFIN,17 MAR 1997,USA,1,,"Hammond, LA (USA)",13 APR 2018,1125.0,men_LJ,2018,https://worldathletics.org/athletes/athlete=14736568,toplist
1.0,8.69,0.5,Tajay GAYLE,02 AUG 1996,JAM,1,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1289.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14631861,toplist
2.0,8.65,-0.5,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,"Letzigrund, Zürich (SUI)",29 AUG 2019,1283.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14674278,toplist
3.0,8.41,1.9,Zarck VISSER,15 SEP 1989,RSA,1,,Germiston (RSA),23 MAR 2019,1227.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14221485,toplist
4.0,8.4,1.5,Shoutarou SHIROYAMA,06 MAR 1995,JPN,1,,Fukui (JPN),17 AUG 2019,1225.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14649191,toplist
5.0,8.39,-0.1,Jeff HENDERSON,19 FEB 1989,USA,2,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1223.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14240453,toplist
6.0,8.38,,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,"Emirates Arena, Glasgow (GBR) (i)",03 MAR 2019,1221.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14669734,toplist
7.0,8.37,-1.1,Luvo MANYONGA,08 JAN 1991,RSA,1,,"Olympic Stadium, London (GBR)",20 JUL 2019,1225.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14365377,toplist
8.0,8.32,1.6,Yuki HASHIOKA,23 JAN 1999,JPN,2,,Fukui (JPN),17 AUG 2019,1208.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14719623,toplist
9.0,8.3,,Aleksandr MENKOV,07 DEC 1990,RUS,1,,Moskva (RUS) (i),03 FEB 2019,1203.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14941413,toplist
10.0,8.25,1.0,Yaoguang ZHANG,21 JUN 1993,CHN,1,,La Chaux-de-Fonds (SUI),30 JUN 2019,1192.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14420860,toplist
10.0,8.25,0.7,Andwuelle WRIGHT,08 AUG 1997,TTO,1,,Queretaro (MEX),05 JUL 2019,1192.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14520434,toplist
10.0,8.25,1.3,Steffin MCCARTER,19 JAN 1997,USA,1,,"Chula Vista, CA (USA)",13 JUL 2019,1192.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14659719,toplist
13.0,8.24,0.4,Changzhou HUANG,20 AUG 1994,CHN,1,,Chengdu (CHN),24 JUL 2019,1190.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14502006,toplist
14.0,8.23,1.0,Xinglong GAO,12 MAR 1994,CHN,2,,La Chaux-de-Fonds (SUI),30 JUN 2019,1188.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14522578,toplist
14.0,8.23,0.6,Hibiki TSUHA,21 JAN 1998,JPN,3,,Fukui (JPN),17 AUG 2019,1188.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14714426,toplist
14.0,8.23,-0.3,Ruswahl SAMAAI,25 SEP 1991,RSA,5,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1189.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14417696,toplist
17.0,8.22,1.9,Maykel MASSÓ,08 MAY 1999,CUB,1,,Camagüey (CUB),09 FEB 2019,1186.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14663416,toplist
17.0,8.22,1.5,Thobias MONTLER,15 FEB 1996,SWE,1,,"Olympiastadion, Stockholm (SWE)",30 MAY 2019,1186.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14487329,toplist
19.0,8.21,1.5,Will CLAYE,13 JUN 1991,USA,1,,"Long Beach, CA (USA)",29 JUN 2019,1184.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14234882,toplist
20.0,8.2,0.7,JuVaughn HARRISON,30 APR 1999,USA,1,,"Austin, TX (USA)",05 JUN 2019,1181.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14785286,toplist
20.0,8.2,0.0,Jianan WANG,27 AUG 1996,CHN,6,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1181.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14514470,toplist
22.0,8.19,-0.1,Héctor SANTOS,06 JAN 1998,ESP,2,,"Gunder Hägg Stadion, Gävle (SWE)",12 JUL 2019,1179.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14586694,toplist
22.0,8.19,1.4,Eusebio CÁCERES,10 SEP 1991,ESP,,,Soria (ESP),04 AUG 2019,1179.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14166878,toplist
22.0,8.19,1.3,Henry FRAYNE,14 APR 1990,AUS,1,,Monachil (ESP),17 AUG 2019,1179.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14179673,toplist
25.0,8.18,0.1,Yahya BERRABAH,13 OCT 1981,MAR,1,,Sale (MAR),28 APR 2019,1177.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14211903,toplist
25.0,8.18,1.6,Trumaine JEFFERSON,21 APR 1995,USA,2,,"Austin, TX (USA)",05 JUN 2019,1177.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14621992,toplist
27.0,8.17,0.1,Damarcus SIMPSON,14 JUL 1993,USA,1,,"Dinamo National Olympic Stadium, Minsk (BLR)",09 SEP 2019,1175.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14475042,toplist
28.0,8.14,1.4,Chia-Hsing LIN,13 JUL 1999,TPE,1,,Taipei City (TPE),13 MAR 2019,1168.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14791181,toplist
29.0,8.13,0.7,Emiliano LASA,25 JAN 1990,URU,2,,São Paulo (BRA),23 FEB 2019,1166.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14374159,toplist
29.0,8.13,1.1,Darcy ROPER,31 MAR 1998,AUS,,,Perth (AUS),16 MAR 2019,1166.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14550669,toplist
29.0,8.13,0.7,Shawn-D THOMPSON,20 JAN 1997,JAM,1,,Kingston (JAM),08 JUN 2019,1166.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14691402,toplist
32.0,8.12,0.4,Alexsandro MELO,26 SEP 1995,BRA,,,"CNDA, Bragança Paulista (BRA)",28 APR 2019,1164.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14543320,toplist
32.0,8.12,1.2,Emanuel ARCHIBALD,09 SEP 1994,GUY,1,,Kingston (JAM),11 MAY 2019,1164.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14747754,toplist
32.0,8.12,1.2,Ja'Mari WARD,21 MAR 1998,USA,1,,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1164.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14566021,toplist
32.0,8.12,1.7,Koki FUJIHARA,31 MAY 2002,JPN,1,,Okinawa (JPN),05 AUG 2019,1164.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14854936,toplist
36.0,8.11,2.0,Damar FORBES,11 SEP 1990,JAM,1,,"Baton Rouge, LA (USA)",27 APR 2019,1162.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14366240,toplist
36.0,8.11,-1.1,Paulo Sérgio OLIVEIRA,01 JUN 1993,BRA,1,,São Paulo (BRA),16 JUN 2019,1168.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14434370,toplist
36.0,8.11,-0.7,Izmir SMAJLAJ,29 MAR 1993,ALB,1,,Shkodra (ALB),22 JUN 2019,1166.0,men_LJ,2019,https://worldathletics.org/athletes/athlete=14476876,toplist
