Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
16,14:36.55,,Caroline NYAGA,07 OCT 1993,KEN,9,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1209,women_5000m,2026
17,14:37.80,,Sarah MADELEINE,20 SEP 1998,FRA,11,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1206,women_5000m,2026
18,14:38.66,,Mastewal MEHABAW,31 DEC 2006,ETH,10,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1205,women_5000m,2026
19,14:39.31,,Maurine Jepkoech CHEBOR,28 MAY 2004,KEN,11,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1203,women_5000m,2026
20,14:39.38,,Charity CHEROP,04 JUL 2007,UGA,12,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1203,women_5000m,2026
21,14:39.88,,Parker VALBY,27 SEP 2002,USA,1,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",13 JUN 2026,1202,women_5000m,2026
22,14:40.05,,Nadia BATTOCLETTI,12 APR 2000,ITA,13,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1202,women_5000m,2026
23,14:40.77,,Cassandre BEAUGRAND,23 MAY 1997,FRA,1,,"Parc des Sports C. Ehrmann, Nice (FRA)",20 MAY 2026,1201,women_5000m,2026
23,14:40.77,,Yenawa NBRET,18 MAY 2007,ETH,14,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1201,women_5000m,2026
25,14:40.81,,Linden HALL,20 JUN 1991,AUS,15,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1201,women_5000m,2026
26,14:41.46,,Francine NIYOMUKUNZI,01 AUG 1999,BDI,16,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1199,women_5000m,2026
27,14:44.03,,Janet Jepkoech CHEPKEMOI,29 NOV 2006,KEN,1f3,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1194,women_5000m,2026
28,14:44.53,,Rose DAVIES,21 DEC 1999,AUS,1f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1193,women_5000m,2026
29,14:44.64,,Georgia GRIFFITH,05 DEC 1996,AUS,1f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1193,women_5000m,2026
30,14:45.01,,Jessica HULL,22 OCT 1996,AUS,2f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1192,women_5000m,2026
31,14:48.02,,Yenenesh SHIMKET,09 FEB 2007,ETH,13,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1186,women_5000m,2026
32,14:48.18,,Purity Kajuju GITONGA,12 MAY 1996,KEN,1,,"LAZ Wien, Wien (AUT)",20 JUN 2026,1186,women_5000m,2026
33,14:48.61,,Diane VAN ES,22 MAR 1999,NED,2f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1185,women_5000m,2026
34,14:48.88,,Sarah HEALY,13 FEB 2001,IRL,17,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1185,women_5000m,2026
35,14:49.10,,Megan KEITH,23 APR 2002,GBR,3f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1184,women_5000m,2026
36,14:49.11,,Seniya Mohammed BEREKA,22 APR 2006,ETH,3f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1184,women_5000m,2026
37,14:49.47,,Maudie SKYRING,09 APR 1997,AUS,4f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1184,women_5000m,2026
38,14:49.66,,Shito GUMI,18 MAR 2007,ETH,1,,"Province Naimette Arena, Liège (BEL)",15 JUL 2026,1183,women_5000m,2026
39,14:50.34,,Mirriam CHEROP,25 JUN 1999,KEN,1f2,,"Boudewijnstadion, Bruxelles (BEL)",23 MAY 2026,1182,women_5000m,2026
40,14:50.50,,Jane HEDENGREN,23 SEP 2006,USA,1f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2026,1182,women_5000m,2026
41,14:50.57,,Janeth Nyiva MUTUNGI,27 AUG 2003,KEN,2f3,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1181,women_5000m,2026
42,14:50.63,,Alicia MONSON,13 MAY 1998,USA,5f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1181,women_5000m,2026
43,14:50.70,,Esther CHEBET,09 OCT 1997,UGA,4f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1181,women_5000m,2026
44,14:51.21,,Doris LEMNGOLE,05 FEB 2002,KEN,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2026,1205,women_5000m,2026
45,14:51.34,,Hannah NUTTALL,07 JUL 1997,GBR,5f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1180,women_5000m,2026
46,14:51.39,,Birtukan MOLLA,24 MAY 2005,ETH,2,,"Province Naimette Arena, Liège (BEL)",15 JUL 2026,1180,women_5000m,2026
47,14:52.84,,Caroline KARIBA,22 APR 2004,KEN,1f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1177,women_5000m,2026
48,14:53.77,,Lauren RYAN,15 MAR 1998,AUS,2,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1175,women_5000m,2026
49,14:53.92,,Caroline Makandi GITONGA,12 MAY 1996,KEN,2,,"LAZ Wien, Wien (AUT)",20 JUN 2026,1175,women_5000m,2026
50,14:54.15,,Karissa SCHWEIZER,04 MAY 1996,USA,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2026,1199,women_5000m,2026
51,14:55.24,,Elise STEARNS,08 MAY 2000,USA,3,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1172,women_5000m,2026
52,14:55.82,,Emily MACKAY,30 APR 1998,USA,1,,"Icahn Stadium, New York, NY (USA)",26 JUL 2026,1171,women_5000m,2026
53,14:55.85,,Bernesh DESSIE,11 FEB 2008,ETH,4,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1171,women_5000m,2026
54,14:56.62,,Wuga HE,28 JUL 1998,CHN,4,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1170,women_5000m,2026
55,14:56.70,,Dolphine Nyaboke OMARE,26 JUL 2001,KEN,1f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1169,women_5000m,2026
56,14:57.25,,Lucy NDUTA,16 DEC 2005,KEN,2f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1168,women_5000m,2026
57,14:57.88,,Shelby HOULIHAN,08 FEB 1993,USA,2,,"Icahn Stadium, New York, NY (USA)",26 JUL 2026,1167,women_5000m,2026
58,14:58.49,,Tayla KAVANAGH,05 MAY 2001,RSA,8f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1166,women_5000m,2026
59,14:58.83,,Lexy HALLADAY,23 JUL 2001,USA,2f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2026,1165,women_5000m,2026
60,14:59.40,,Margot APPLETON,30 SEP 2002,USA,5,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1164,women_5000m,2026
61,14:59.68,,Nelvin JEPKEMBOI,23 AUG 2001,KEN,6,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1164,women_5000m,2026
62,14:59.89,,Yuma YAMAMOTO,01 MAY 2000,JPN,1,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1163,women_5000m,2026
63,14:59.92,,Emeline IMANIZABAYO,01 JAN 1996,RWA,9f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1163,women_5000m,2026
64,15:00.07,,Federica DEL BUONO,12 DEC 1994,ITA,6f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1163,women_5000m,2026
65,15:00.93,,Nozomi TANAKA,04 SEP 1999,JPN,2,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1161,women_5000m,2026
66,15:00.97,,Joy CHEPTOYEK,15 MAY 2002,UGA,10f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1161,women_5000m,2026
67,15:01.75,,Amarech GEDEFAW,2008,ETH,7f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1160,women_5000m,2026
68,15:02.13,,Melknat WUDU,03 JAN 2005,ETH,7,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1159,women_5000m,2026
69,15:02.45,,Regan YEE,04 JUL 1995,CAN,8f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1158,women_5000m,2026
70,15:02.52,,Sydney VAUGHT,07 MAR 2003,USA,1f1,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",26 FEB 2026,1183,women_5000m,2026
71,15:02.80,,Innes FITZGERALD,06 APR 2006,GBR,11f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1158,women_5000m,2026
72,15:03.09,,Pamela KOSGEI,05 JUL 2004,KEN,3f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2026,1157,women_5000m,2026
73,15:03.22,,Jennifer GULIKERS,18 AUG 1994,NED,9f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1157,women_5000m,2026
74,15:03.81,,Riley CHAMBERLAIN,21 JUL 2004,USA,4f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2026,1156,women_5000m,2026
75,15:04.26,,Parul CHAUDHARY,15 APR 1995,IND,2,,"Parc des Sports C. Ehrmann, Nice (FRA)",13 JUN 2026,1155,women_5000m,2026
76,15:04.31,,Esther MUTHONI,27 DEC 2001,KEN,2f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1155,women_5000m,2026
77,15:04.48,,Ilona MONONEN,18 DEC 2003,FIN,3f2,,"Boudewijnstadion, Bruxelles (BEL)",23 MAY 2026,1154,women_5000m,2026
78,15:04.58,,Agnes Mwikali MUTUKU,15 DEC 2002,KEN,4f3,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1154,women_5000m,2026
79,15:05.04,,Jana VAN LENT,22 APR 2001,BEL,1,,"Atletiekarena Gaston Roelants, Kessel-Lo (BEL)",26 JUL 2026,1153,women_5000m,2026
80,15:05.16,,Edna CHELULEI,,KEN,1f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 FEB 2026,1153,women_5000m,2026
81,15:05.39,,Ludovica CAVALLI,20 DEC 2000,ITA,4f2,,"Boudewijnstadion, Bruxelles (BEL)",23 MAY 2026,1153,women_5000m,2026
82,15:05.99,,Elisa PALMERO,10 JUL 1999,ITA,10f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1151,women_5000m,2026
83,15:06.24,,Marwa BOUZAYANI,26 MAR 1997,TUN,2,,"Halle Stéphane Diagana, Lyon (FRA) (i)",24 JAN 2026,1175,women_5000m,2026
84,15:06.48,,Cynthia CHEPKIRUI,04 SEP 2008,KEN,8,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1150,women_5000m,2026
85,15:06.71,,Carmen CERNJUL,14 JUN 2007,SWE,5f2,,"Boudewijnstadion, Bruxelles (BEL)",23 MAY 2026,1150,women_5000m,2026
86,15:06.80,,Cari HUGHES,15 MAR 1999,GBR,11f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1150,women_5000m,2026
87,15:06.87,,Daisy JEROP,26 APR 2006,KEN,2f1,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1150,women_5000m,2026
88,15:07.02,,Laura MUIR,09 MAY 1993,GBR,6f2,,"Boudewijnstadion, Bruxelles (BEL)",23 MAY 2026,1149,women_5000m,2026
89,15:07.18,,Lisa ROOMS,17 JUN 1996,BEL,12f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1149,women_5000m,2026
90,15:07.20,,Rebecca CHELANGAT,01 JAN 2002,UGA,12f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1149,women_5000m,2026
91,15:07.49,,Amina MAATOUG,17 NOV 2002,NED,3,,"Province Naimette Arena, Liège (BEL)",15 JUL 2026,1149,women_5000m,2026
92,15:07.50,,Maria FORERO,24 MAR 2003,ESP,7f2,,"Boudewijnstadion, Bruxelles (BEL)",23 MAY 2026,1149,women_5000m,2026
93,15:07.76,,Iska CHELANGAT,20 APR 2004,KEN,2f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 FEB 2026,1148,women_5000m,2026
94,15:07.90,,Sophia KENNEDY,11 JAN 2005,USA,3f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 FEB 2026,1148,women_5000m,2026
94,15:07.90,,Idaira PRIETO,17 AUG 1997,ESP,3,,"LAZ Wien, Wien (AUT)",20 JUN 2026,1148,women_5000m,2026
96,15:08.31,,Annika REISS,11 SEP 2000,USA,10,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1147,women_5000m,2026
97,15:08.74,,Alemnat WALLE,29 JAN 2006,ETH,3,,"Halle Stéphane Diagana, Lyon (FRA) (i)",24 JAN 2026,1170,women_5000m,2026
98,15:09.08,,Joyline CHEPKEMOI,07 JAN 2007,KEN,3,,"Hayward Field, Eugene, OR (USA)",05 AUG 2026,1145,women_5000m,2026
99,15:09.13,,Mercyline Jepkemei KIRWA,23 FEB 2000,KEN,4f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 FEB 2026,1145,women_5000m,2026
100,15:09.66,,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,14f1,,"Scotstoun Stadium, Glasgow (GBR)",30 JUL 2026,1144,women_5000m,2026
