Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,discipline,year,ProfileURL,source
11.0,9.94,-0.2,Arthur CISSÉ,29 DEC 1996,CIV,1,,Leverkusen (GER),16 JUN 2018,1228.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14636943,toplist
11.0,9.94,-0.5,Reece PRESCOD,29 FEB 1996,GBR,2,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1230.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14522622,toplist
11.0,9.94,-0.3,Yohan BLAKE,26 DEC 1989,JAM,3,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1228.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14201842,toplist
14.0,9.96,0.2,Tyquendo TRACEY,10 JUN 1993,JAM,4h2,,"Olympic Stadium, London (GBR)",21 JUL 2018,1220.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14463007,toplist
15.0,9.97,0.9,Jaylen BACON,05 AUG 1996,USA,1qf3,,"Sacramento, CA (USA)",25 MAY 2018,1217.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14531147,toplist
15.0,9.97,0.9,Zhenye XIE,17 AUG 1993,CHN,1f1,,Montreuil (FRA),19 JUN 2018,1217.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14376449,toplist
15.0,9.97,1.7,Barakat AL HARTHI,15 JUN 1988,OMA,1,,Amman (JOR),09 JUL 2018,1217.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14215984,toplist
18.0,9.98,1.9,Andre EWERS,07 JUN 1995,JAM,1qf3,,"Tampa, FL (USA)",25 MAY 2018,1213.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14578766,toplist
19.0,9.99,1.1,Kendal WILLIAMS,23 SEP 1995,USA,1,,"Knoxville, TN (USA)",13 MAY 2018,1210.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14465376,toplist
19.0,9.99,0.2,Filippo TORTU,15 JUN 1998,ITA,2,,"Moratalaz, Madrid (ESP)",22 JUN 2018,1210.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14629026,toplist
19.0,9.99,0.4,Jak Ali HARVEY,04 MAY 1989,TUR,2f1,,Bellinzona (SUI),18 JUL 2018,1210.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14325558,toplist
22.0,10.0,0.5,Cejhae GREENE,06 OCT 1995,ANT,1sf2,,Barranquilla (COL),29 JUL 2018,1206.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14469945,toplist
22.0,10.0,0.8,Tosin OGUNODE,02 MAR 1994,QAT,2,,Jakarta (INA),26 AUG 2018,1206.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14628563,toplist
22.0,10.0,0.8,Ryota YAMAGATA,10 JUN 1992,JPN,3,,Jakarta (INA),26 AUG 2018,1206.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14369915,toplist
25.0,10.01,1.4,Gavin SMELLIE,26 JUN 1986,CAN,1,,Windsor (CAN),19 MAY 2018,1203.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14173481,toplist
25.0,10.01,1.7,Bryce ROBINSON,13 NOV 1993,USA,1,,"Fort Worth, TX (USA)",31 MAY 2018,1203.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14507493,toplist
25.0,10.01,-0.7,Alonso EDWARD,08 DEC 1989,PAN,1,,Cochabamba (BOL),06 JUN 2018,1207.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14216095,toplist
25.0,10.01,0.2,Emile ERASMUS,03 APR 1992,RSA,2h1,,La Chaux-de-Fonds (SUI),01 JUL 2018,1203.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14417680,toplist
29.0,10.02,1.9,Jeff DEMPS,08 JAN 1990,USA,2h2,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1199.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14236267,toplist
29.0,10.02,-0.6,Paulo André CAMILO,20 AUG 1998,BRA,1,,Bragança Paulista (BRA),14 SEP 2018,1202.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14699143,toplist
31.0,10.03,-0.7,Justin GATLIN,10 FEB 1982,USA,1,,"Mestský Stadion, Ostrava (CZE)",13 JUN 2018,1200.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14238562,toplist
31.0,10.03,1.2,Abdullah Abkar MOHAMMED,01 JAN 1997,KSA,1,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1196.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14752176,toplist
31.0,10.03,1.2,Hassan TAFTIAN,04 MAY 1993,IRI,2,,"Stade Charléty, Paris (FRA)",30 JUN 2018,1196.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14421587,toplist
31.0,10.03,0.5,Mario BURKE,18 MAR 1997,BAR,2sf2,,Barranquilla (COL),29 JUL 2018,1196.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14520350,toplist
35.0,10.04,1.7,Ojie EDOBURUN,02 JUN 1996,GBR,2,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1193.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14509174,toplist
36.0,10.05,0.5,Jason ROGERS,31 AUG 1991,SKN,3sf2,,Barranquilla (COL),29 JUL 2018,1189.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14190640,toplist
37.0,10.06,1.7,Roscoe ENGEL,06 MAR 1989,RSA,1sf3,,Pretoria (RSA),15 MAR 2018,1186.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14330006,toplist
37.0,10.06,1.1,Sydney SIAME,07 OCT 1997,ZAM,1,,"x-bionic sphere, Šamorín (SVK)",29 JUN 2018,1186.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14656979,toplist
37.0,10.06,0.0,Chijindu UJAH,05 MAR 1994,GBR,4,,"Olympiastadion, Berlin (GER)",07 AUG 2018,1186.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14410429,toplist
40.0,10.07,-1.3,Simon MAGAKWE,14 MAY 1986,RSA,1,,Pretoria (RSA),16 MAR 2018,1189.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14220435,toplist
40.0,10.07,1.9,McKinley WEST,,USA,2qf3,,"Tampa, FL (USA)",25 MAY 2018,1182.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14703331,toplist
40.0,10.07,1.1,Amaury GOLITIN,28 JAN 1997,FRA,1,,Jesolo (ITA),09 JUN 2018,1182.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14633823,toplist
40.0,10.07,1.2,Ameer WEBB,19 MAR 1991,USA,1,,Ninove (BEL),28 JUL 2018,1182.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14373694,toplist
40.0,10.07,1.7,Nesta CARTER,11 OCT 1985,JAM,1,,Barranquilla (COL),30 JUL 2018,1182.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14201894,toplist
45.0,10.08,2.0,Nethaneel MITCHELL-BLAKE,02 APR 1994,GBR,1f2,,"Baton Rouge, LA (USA)",21 APR 2018,1179.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14413552,toplist
45.0,10.08,0.7,Lamont Marcell JACOBS,26 SEP 1994,ITA,2f1,,Savona (ITA),23 MAY 2018,1179.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14453864,toplist
45.0,10.08,1.7,Emre Zafer BARNES,07 NOV 1988,TUR,3,,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1179.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14201819,toplist
45.0,10.08,0.5,Javoy TUCKER,13 MAY 1997,JAM,4sf2,,Barranquilla (COL),29 JUL 2018,1179.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14625939,toplist
45.0,10.08,0.3,Jorge VIDES,24 NOV 1992,BRA,1,,Sao Bernardo do Campo (BRA),18 AUG 2018,1179.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14434411,toplist
50.0,10.09,1.9,Darryl HARAWAY,20 MAR 1997,USA,3qf3,,"Tampa, FL (USA)",25 MAY 2018,1176.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14516913,toplist
50.0,10.09,0.9,Anthony SCHWARTZ,05 SEP 2000,USA,1,,"Albuquerque, NM (USA)",02 JUN 2018,1176.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14713230,toplist
50.0,10.09,-0.7,Alex QUIÑÓNEZ,11 AUG 1989,ECU,2,,Cochabamba (BOL),06 JUN 2018,1180.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14368885,toplist
50.0,10.09,1.4,Aleixo Platini MENGA,29 SEP 1987,GER,1f1,,Weinheim (GER),06 JUL 2018,1176.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14193693,toplist
54.0,10.1,0.4,Trae WILLIAMS,05 MAY 1997,AUS,1,,Gold Coast (AUS),16 FEB 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14505705,toplist
54.0,10.1,1.9,Clarence MUNYAI,20 FEB 1998,RSA,1sf1,,Pretoria (RSA),24 FEB 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14630862,toplist
54.0,10.1,-0.2,Henricho BRUINTJIES,16 JUL 1993,RSA,1sf1,,Pretoria (RSA),15 MAR 2018,1173.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14413736,toplist
54.0,10.1,0.3,Kemar HYMAN,11 OCT 1989,CAY,1sf3,,Gold Coast (AUS),08 APR 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14173243,toplist
54.0,10.1,1.4,Divine ODUDURU,07 OCT 1996,NGR,1f3,,"Waco, TX (USA)",21 APR 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14579422,toplist
54.0,10.1,1.1,Raheem CHAMBERS,06 OCT 1997,JAM,2,,"Knoxville, TN (USA)",13 MAY 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14540251,toplist
54.0,10.1,1.2,Waseem WILLIAMS,08 JAN 1997,JAM,1,,"Bloomington, IN (USA)",13 MAY 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14574660,toplist
54.0,10.1,1.1,Ramil GULIYEV,29 MAY 1990,TUR,1,,Mersin (TUR),19 MAY 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14178065,toplist
54.0,10.1,-0.9,Elijah HALL-THOMPSON,22 AUG 1994,USA,2sf1,,"Eugene, OR (USA)",06 JUN 2018,1177.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14432013,toplist
54.0,10.1,0.1,Jevaughn MINZIE,20 JUL 1995,JAM,1f2,,Kingston (JAM),09 JUN 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14413602,toplist
54.0,10.1,0.2,Derick SILVA,23 APR 1998,BRA,1,,Guadalajara (ESP),06 JUL 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14621683,toplist
54.0,10.1,0.4,Yoshihide KIRYU,15 DEC 1995,JPN,3f1,,Bellinzona (SUI),18 JUL 2018,1172.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14547456,toplist
66.0,10.11,1.7,Thando DLODLO,22 APR 1999,RSA,2sf3,,Pretoria (RSA),15 MAR 2018,1169.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14630863,toplist
66.0,10.11,-0.3,Adam GEMILI,06 OCT 1993,GBR,2sf1,,Gold Coast (AUS),08 APR 2018,1170.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14427998,toplist
66.0,10.11,1.9,Tyson GAY,09 AUG 1982,USA,2f1,,"Clermont, FL (USA)",12 MAY 2018,1169.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14238588,toplist
66.0,10.11,0.7,Tevin HESTER,10 JAN 1994,USA,2f1,,"Montverde, FL (USA)",09 JUN 2018,1169.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14432010,toplist
66.0,10.11,0.2,Chun-Han YANG,01 JAN 1997,TPE,1,,Hiratsuka (JPN),15 JUN 2018,1169.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14547735,toplist
66.0,10.11,0.1,Kenroy ANDERSON,27 JUN 1987,JAM,1h1,,Kingston (JAM),21 JUN 2018,1169.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14201795,toplist
66.0,10.11,0.0,Julian FORTE,07 JAN 1993,JAM,1h2,,Kingston (JAM),21 JUN 2018,1169.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14367596,toplist
66.0,10.11,1.1,Christopher TAYLOR,01 OCT 1999,JAM,1f2,,Kingston (JAM),30 JUN 2018,1169.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14635736,toplist
74.0,10.12,0.9,Keitavious WALTER,16 APR 1996,USA,1f5,,"Gainesville, FL (USA)",13 APR 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14633625,toplist
74.0,10.12,1.0,Devin QUINN,08 JUN 1996,USA,2f1,,"Torrance, CA (USA)",21 APR 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14577739,toplist
74.0,10.12,0.0,Aaron BROWN,27 MAY 1992,CAN,1h1,,"Clermont, FL (USA)",28 APR 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14366482,toplist
74.0,10.12,-0.3,Micah LARKINS,08 DEC 1994,USA,1,,"San Antonio, TX (USA)",06 MAY 2018,1166.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14490556,toplist
74.0,10.12,1.3,Maxwell WILLIS,02 SEP 1998,USA,1h2,,"Waco, TX (USA)",12 MAY 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14596318,toplist
74.0,10.12,1.8,Julius MORRIS,14 APR 1994,MNT,1h2,,"Houston, TX (USA)",12 MAY 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14520306,toplist
74.0,10.12,1.1,Mustaqeem WILLIAMS,24 AUG 1995,USA,3,,"Knoxville, TN (USA)",13 MAY 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14491490,toplist
74.0,10.12,1.3,Cravon GILLESPIE,31 JUL 1996,USA,2h3,,"Sacramento, CA (USA)",24 MAY 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14578228,toplist
74.0,10.12,0.9,Aska CAMBRIDGE,31 MAY 1993,JPN,1h1,,Tottori (JPN),03 JUN 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14498459,toplist
74.0,10.12,-0.7,Vitor Hugo DOS SANTOS,01 FEB 1996,BRA,3,,Cochabamba (BOL),06 JUN 2018,1169.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14481678,toplist
74.0,10.12,1.9,Chris JEFFERSON,,USA,3h1,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14568205,toplist
74.0,10.12,0.2,Kemar BAILEY-COLE,10 JAN 1992,JAM,2,,Guadalajara (ESP),06 JUL 2018,1165.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14367591,toplist
86.0,10.13,1.1,Reynier MENA,21 NOV 1996,CUB,1,,Camagüey (CUB),14 MAR 2018,1162.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14518308,toplist
86.0,10.13,0.4,Senoj-Jay GIVANS,30 DEC 1993,JAM,4f1,,Kingston (JAM),09 JUN 2018,1162.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14528628,toplist
86.0,10.13,1.0,Carlos NASCIMENTO,12 OCT 1994,POR,1,,Braga (POR),20 JUN 2018,1162.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14390300,toplist
86.0,10.13,1.9,Cordero GRAY,09 MAY 1989,USA,4h1,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1162.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14235363,toplist
86.0,10.13,1.9,Remontay MCCLAIN,21 SEP 1992,USA,4h1,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1162.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14415933,toplist
86.0,10.13,1.4,Kenzo COTTON,13 MAY 1996,USA,3h3,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1162.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14487212,toplist
86.0,10.13,1.1,Ján VOLKO,02 NOV 1996,SVK,2,,"x-bionic sphere, Šamorín (SVK)",29 JUN 2018,1162.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14511687,toplist
86.0,10.13,1.1,Mouhamadou FALL,25 FEB 1992,FRA,2h2,,Albi (FRA),06 JUL 2018,1162.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14702316,toplist
94.0,10.14,1.9,Bismark BOATENG,15 MAR 1992,CAN,1f1,,"Baton Rouge, LA (USA)",28 APR 2018,1159.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14617800,toplist
94.0,10.14,0.3,Ben Youssef MEITÉ,11 NOV 1986,CIV,2,,Marseille (FRA),16 JUN 2018,1159.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14170297,toplist
94.0,10.14,1.0,Rodrigo DO NASCIMENTO,26 SEP 1994,BRA,2,,Braga (POR),20 JUN 2018,1159.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14496746,toplist
94.0,10.14,1.4,Riak REESE,23 NOV 1994,USA,4h3,,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2018,1159.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14516918,toplist
94.0,10.14,1.1,Alex WILSON,19 SEP 1990,SUI,1,,Zofingen (SUI),13 JUL 2018,1159.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14329085,toplist
94.0,10.14,1.5,Takuya NAGATA,14 JUN 1994,JPN,1,,Hiratsuka (JPN),21 JUL 2018,1159.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14703119,toplist
100.0,10.15,1.9,Andre DE GRASSE,10 NOV 1994,CAN,4,,"Des Moines, IA (USA)",28 APR 2018,1155.0,men_100m,2018,https://worldathletics.org/athletes/athlete=14535607,toplist
1.0,9.76,0.6,Christian COLEMAN,06 MAR 1996,USA,1,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1291.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14541956,toplist
2.0,9.86,0.9,Noah LYLES,18 JUL 1997,USA,1,,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1255.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14536762,toplist
2.0,9.86,0.8,Divine ODUDURU,07 OCT 1996,NGR,1,,"Austin, TX (USA)",07 JUN 2019,1255.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14579422,toplist
4.0,9.87,-0.1,Justin GATLIN,10 FEB 1982,USA,2,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1252.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14238562,toplist
5.0,9.9,0.6,Andre DE GRASSE,10 NOV 1994,CAN,3,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1241.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14535607,toplist
6.0,9.92,1.1,Akani SIMBINE,21 SEP 1993,RSA,1,,"Boston, MA (USA)",16 JUN 2019,1234.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14417763,toplist
7.0,9.93,0.8,Cravon GILLESPIE,31 JUL 1996,USA,2,,"Austin, TX (USA)",07 JUN 2019,1231.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14578228,toplist
7.0,9.93,1.9,Arthur CISSÉ,29 DEC 1996,CIV,1,,Leverkusen (GER),24 JUL 2019,1231.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14636943,toplist
9.0,9.95,0.5,Zharnel HUGHES,13 JUL 1995,GBR,2,,"Olympic Stadium, London (GBR)",20 JUL 2019,1224.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14414524,toplist
10.0,9.96,0.4,Yohan BLAKE,26 DEC 1989,JAM,1,,Kingston (JAM),21 JUN 2019,1220.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14201842,toplist
10.0,9.96,1.7,Aaron BROWN,27 MAY 1992,CAN,1sf3,,Montréal (CAN),26 JUL 2019,1220.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14366482,toplist
10.0,9.96,1.6,Raymond EKEVWO,23 MAR 1999,NGR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",27 AUG 2019,1220.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14714099,toplist
13.0,9.97,0.9,Reece PRESCOD,29 FEB 1996,GBR,4,,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1217.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14522622,toplist
13.0,9.97,0.8,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,3,,"Austin, TX (USA)",07 JUN 2019,1217.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14671546,toplist
13.0,9.97,1.6,Michael RODGERS,24 APR 1985,USA,1,,"Estadio Vallehermoso, Madrid (ESP)",25 AUG 2019,1217.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14249856,toplist
16.0,9.98,1.0,Roberto SKYERS,12 NOV 1991,CUB,1f1,,Camagüey (CUB),22 FEB 2019,1213.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14169308,toplist
16.0,9.98,1.3,Mario BURKE,18 MAR 1997,BAR,1sf2,,"Austin, TX (USA)",05 JUN 2019,1213.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14520350,toplist
16.0,9.98,0.5,Yuki KOIKE,15 MAY 1995,JPN,4,,"Olympic Stadium, London (GBR)",20 JUL 2019,1213.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14547883,toplist
19.0,9.99,1.8,Isiah YOUNG,05 JAN 1990,USA,1f1,,"Montverde, FL (USA)",06 JUL 2019,1210.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14360879,toplist
20.0,10.0,0.4,Tyquendo TRACEY,10 JUN 1993,JAM,2,,Kingston (JAM),21 JUN 2019,1206.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14463007,toplist
21.0,10.01,1.7,Yoshihide KIRYU,15 DEC 1995,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",19 MAY 2019,1203.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14547456,toplist
21.0,10.01,1.3,Devin QUINN,08 JUN 1996,USA,2sf2,,"Austin, TX (USA)",05 JUN 2019,1203.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14577739,toplist
21.0,10.01,1.3,Joseph Paul AMOAH,12 JAN 1997,GHA,2sf2,,"Austin, TX (USA)",05 JUN 2019,1203.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14775357,toplist
21.0,10.01,0.9,Zhenye XIE,17 AUG 1993,CHN,2,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1203.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14376449,toplist
21.0,10.01,1.1,Waseem WILLIAMS,08 JAN 1997,JAM,1,,Queretaro (MEX),05 JUL 2019,1203.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14574660,toplist
21.0,10.01,1.1,Samson COLEBROOKE,10 MAY 1997,BAH,2,,Queretaro (MEX),05 JUL 2019,1203.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14654424,toplist
21.0,10.01,1.8,Emmanuel MATADI,15 APR 1991,LBR,2f1,,"Montverde, FL (USA)",06 JUL 2019,1203.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14375111,toplist
28.0,10.02,1.5,Paulo André CAMILO,20 AUG 1998,BRA,1f1,,"Azusa, CA (USA)",19 APR 2019,1199.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14699143,toplist
28.0,10.02,1.9,Kemar HYMAN,11 OCT 1989,CAY,1f2,,Windsor (CAN),18 MAY 2019,1199.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14173243,toplist
28.0,10.02,1.9,Asafa POWELL,23 NOV 1982,JAM,2,,Leverkusen (GER),24 JUL 2019,1199.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14202176,toplist
28.0,10.02,1.4,Jimmy VICAUT,27 FEB 1992,FRA,1h1,,St-Etienne (FRA),26 JUL 2019,1199.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14334964,toplist
28.0,10.02,1.6,Usheoritse ITSEKIRI,31 JAN 1998,NGR,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",27 AUG 2019,1199.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14705042,toplist
33.0,10.03,1.2,Demek KEMP,26 APR 1996,USA,1f1,,"Columbia, SC (USA)",13 APR 2019,1196.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14596294,toplist
33.0,10.03,1.7,Lalu Muhammad ZOHRI,01 JUL 2000,INA,3,,"Yanmar Stadium Nagai, Osaka (JPN)",19 MAY 2019,1196.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14794034,toplist
33.0,10.03,1.1,Kendal WILLIAMS,23 SEP 1995,USA,2,,"Boston, MA (USA)",16 JUN 2019,1196.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14465376,toplist
33.0,10.03,1.7,Lamont Marcell JACOBS,26 SEP 1994,ITA,1f2,,Padova (ITA),16 JUL 2019,1196.0,men_100m,2019,https://worldathletics.org/athletes/athlete=14453864,toplist
