Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
24,54.36,,Saira PRINCE,06 AUG 2004,USA,3f1,,"Hayward Field, Eugene, OR (USA)",13 JUN 2026,1193,women_400h,2026
24,54.36,,Sara GALLEGO,11 OCT 2000,ESP,3,,"Estadio Vallehermoso, Madrid (ESP)",16 JUL 2026,1193,women_400h,2026
26,54.52,,Anja DLAUHY,02 JAN 2003,AUT,1,,"Innsbruck USI, Innsbruck (AUT)",25 JUL 2026,1188,women_400h,2026
27,54.55,,Lena PRESSLER,15 JAN 2001,AUT,2,,"Innsbruck USI, Innsbruck (AUT)",25 JUL 2026,1187,women_400h,2026
28,54.63,,Eileen DEMES,13 OCT 1997,GER,3sf2,,"Alexander Stadium, Birmingham (GBR)",11 AUG 2026,1184,women_400h,2026
29,54.71,,Michelle SMITH,18 JUN 2006,ISV,2h3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1182,women_400h,2026
30,54.74,,Rogail JOSEPH,22 APR 2000,RSA,1,,"University of Ghana Sports Stadium, Accra (GHA)",17 MAY 2026,1181,women_400h,2026
31,54.81,,Shiann SALMON,31 MAR 1999,JAM,4,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1179,women_400h,2026
32,54.85,,Dinedye DENIS,18 OCT 2000,CIV,1,,"Foote Field, Edmonton (CAN)",12 JUL 2026,1177,women_400h,2026
32,54.85,,Bianca STUBLER,01 JUN 1999,USA,4,,"Icahn Stadium, New York, NY (USA)",26 JUL 2026,1177,women_400h,2026
34,54.90,,Aliyarae GAROZZO,17 DEC 2001,USA,2f1,,"Drake Stadium, Des Moines, IA (USA)",25 APR 2026,1176,women_400h,2026
34,54.90,,Alice MURARO,14 AUG 2000,ITA,2,,"Stadio Luigi Ridolfi, Firenze (ITA)",26 JUL 2026,1176,women_400h,2026
36,54.95,,Viktoriya TKACHUK,08 NOV 1994,UKR,4sf1,,"Alexander Stadium, Birmingham (GBR)",11 AUG 2026,1174,women_400h,2026
37,54.97,,Anna GRYC,16 OCT 1999,POL,1f2,,"Golęcin Stadion, Poznan (POL)",28 JUN 2026,1174,women_400h,2026
38,55.08,,Sára MÁTÓ,23 DEC 2000,HUN,2f2,,"Sportzentrum Niederösterreich, St. Pölten (AUT)",04 JUN 2026,1170,women_400h,2026
39,55.09,,Cenaiya BILLUPS,,USA,1h2,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1170,women_400h,2026
40,55.12,,Vanice Kerubo NYAGISERA,04 APR 2001,KEN,4f1,,"Hutsell-Rosen Track, Auburn, AL (USA)",16 MAY 2026,1169,women_400h,2026
41,55.14,,Grace CLAXTON,19 AUG 1993,PUR,2,,"Alfonso Galvis Duque Stadium, Medellín (COL)",27 JUN 2026,1168,women_400h,2026
42,55.15,,Daniela ROJAS GUTIERREZ,26 NOV 1997,CRC,2h1,,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",03 AUG 2026,1168,women_400h,2026
43,55.19,,Sanaa HEBRON,26 JUL 2004,USA,1f1,,"Cardinal Park, Louisville, KY (USA)",16 MAY 2026,1167,women_400h,2026
43,55.19,,Linda BOTKOVÁ,06 FEB 2010,CZE,1f1,,"Stadio Guidobaldi, Rieti (ITA)",19 JUL 2026,1167,women_400h,2026
45,55.21,,Sarah CARLI,05 SEP 1994,AUS,1,,"Olympic Park, Sydney (AUS)",12 APR 2026,1166,women_400h,2026
46,55.22,,Méta TUMBA,03 JUN 2006,FRA,1,,"Stadium Municipal, Albi (FRA)",26 JUL 2026,1166,women_400h,2026
46,55.22,,Daniela LEDECKÁ,04 NOV 1996,SVK,5sf3,,"Alexander Stadium, Birmingham (GBR)",11 AUG 2026,1166,women_400h,2026
48,55.24,,Kelsie BELQUIST,,USA,2h3,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1165,women_400h,2026
49,55.25,,Andrenette KNIGHT,19 NOV 1996,JAM,5,,"Cushing Stadium, College Station, TX (USA)",06 JUN 2026,1165,women_400h,2026
50,55.27,,Heidi SALMINEN,04 DEC 2003,FIN,2f1,,"Harjun stadion, Jyväskylä (FIN)",26 JUL 2026,1164,women_400h,2026
51,55.29,,Yingying KONG,22 MAR 2003,CHN,1,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1164,women_400h,2026
52,55.33,,Alexandra Ștefania UȚĂ,06 OCT 2007,ROU,1,,"Hayward Field, Eugene, OR (USA)",09 AUG 2026,1162,women_400h,2026
53,55.37,,Falon SPEARMAN,2004,USA,1pr1,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",28 MAY 2026,1161,women_400h,2026
53,55.37,,Kyndall SPAIN,,USA,3h3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1161,women_400h,2026
55,55.39,,Vanessa MERCERA,01 SEP 2004,NED,1f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",16 MAY 2026,1161,women_400h,2026
55,55.39,,Vanessa BALDÉ,06 MAY 2003,GER,2f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",16 MAY 2026,1161,women_400h,2026
57,55.40,,Lena WERNLI,05 FEB 2001,SUI,1,,"Letzigrund, Zürich (SUI)",26 JUL 2026,1160,women_400h,2026
58,55.43,,Aniya WOODRUFF,11 FEB 2004,USA,1h1,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1159,women_400h,2026
58,55.43,,Yara Samantha AMADOR ALDABA,20 JUN 2001,MEX,4,,"Alfonso Galvis Duque Stadium, Medellín (COL)",27 JUN 2026,1159,women_400h,2026
58,55.43,,Abbey GLYNN,30 APR 2001,USA,3h1,,"Icahn Stadium, New York, NY (USA)",25 JUL 2026,1159,women_400h,2026
61,55.45,,Shana GREBO,09 NOV 2000,FRA,1f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1159,women_400h,2026
62,55.46,,Riley KNEBES,29 JUL 1996,USA,4h2,,"Icahn Stadium, New York, NY (USA)",25 JUL 2026,1158,women_400h,2026
62,55.46,,Emiliya TANGARA,12 MAR 2002,RUS,1,,"Kalininets Stadium, Yekaterinburg (RUS)",25 JUL 2026,1158,women_400h,2026
64,55.48,,Izabela SMOLIŃSKA,14 JAN 1999,POL,2f1,,"Golęcin Stadion, Poznan (POL)",28 JUN 2026,1158,women_400h,2026
64,55.48,,Zenéy GELDENHUYS,22 MAY 2000,RSA,1f2,,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",10 JUL 2026,1158,women_400h,2026
66,55.53,,Linda OLIVIERI,14 JUL 1998,ITA,2f1,,"Boudewijnstadion, Bruxelles (BEL)",24 MAY 2026,1156,women_400h,2026
67,55.54,,Tess STAPLETON,,USA,2f1,,"Cardinal Park, Louisville, KY (USA)",16 MAY 2026,1156,women_400h,2026
68,55.55,,Tyra WILSON,16 AUG 2002,USA,2f1,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",01 MAY 2026,1156,women_400h,2026
69,55.59,,Jiadie MO,06 JAN 2000,CHN,2,,"Changshou Sports Center, Chongqing (CHN)",19 MAY 2026,1154,women_400h,2026
70,55.62,,Adéla TKÁČOVÁ,11 MAR 2005,CZE,1,,"Atletický stadion města Plzně, Plzeň (CZE)",26 JUL 2026,1153,women_400h,2026
71,55.64,,Derartu ANOTA,,ETH,1,,"Ethiopian Sport Academy, Addis Ababa (ETH)",28 MAR 2026,1153,women_400h,2026
72,55.65,,Andrea ROOTH,06 MAR 2002,NOR,3f1,,"Boudewijnstadion, Bruxelles (BEL)",24 MAY 2026,1152,women_400h,2026
73,55.66,,Rebecca SARTORI,22 MAY 1997,ITA,3f2,,"Golęcin Stadion, Poznan (POL)",28 JUN 2026,1152,women_400h,2026
74,55.69,,Adelina ZEMS,25 DEC 1998,KAZ,1,,"Kazhymukan Munaitpasov Stadium, Shimkent (KAZ)",30 JUN 2026,1151,women_400h,2026
75,55.71,,Alanah YUKICH,27 JAN 1998,AUS,2,,"Olympic Park, Sydney (AUS)",12 APR 2026,1151,women_400h,2026
76,55.75,,Lovina EWUSI,15 MAY 2003,GHA,3f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",16 MAY 2026,1149,women_400h,2026
77,55.76,,Braelyn BAKER,20 JAN 2006,USA,1f2,,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2026,1149,women_400h,2026
78,55.79,,Banchiayehu TESEMA,28 SEP 2005,ETH,2,,"Ethiopian Sport Academy, Addis Ababa (ETH)",28 MAR 2026,1148,women_400h,2026
79,55.82,,Tilde BJERAGER,20 JUL 2004,SWE,4h2,,"John McDonnell Field, Fayetteville, AR (USA)",30 MAY 2026,1147,women_400h,2026
80,55.86,,Sidney GREEN,,USA,4h3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1146,women_400h,2026
81,55.88,,Kali MCEUEN,,USA,4f1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",16 MAY 2026,1145,women_400h,2026
81,55.88,,Tumi RAMOKGOPA,27 AUG 2007,RSA,2,,"Hayward Field, Eugene, OR (USA)",09 AUG 2026,1145,women_400h,2026
83,55.89,,Elena KELETY,04 SEP 1999,GER,3,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",29 MAY 2026,1145,women_400h,2026
84,55.90,,Yasmin GIGER,06 NOV 1999,SUI,2,,"Letzigrund, Zürich (SUI)",26 JUL 2026,1145,women_400h,2026
85,55.91,,Macaela WALKER,,USA,4h1,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1144,women_400h,2026
86,55.92,,Honoka AOKI,24 SEP 2001,JPN,1f3,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1144,women_400h,2026
87,55.93,,Serafima LUCERO,,USA,1f1,,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",10 APR 2026,1144,women_400h,2026
88,55.97,,Camille Cristina DE OLIVEIRA,15 JAN 2004,BRA,1,,"COTP Stadium, São Paulo (BRA)",09 MAY 2026,1143,women_400h,2026
88,55.97,,Barbora VAŇKOVÁ,23 APR 2004,CZE,1f1,,"Stadion Juliska, Praha (CZE)",14 JUN 2026,1143,women_400h,2026
90,55.99,,Eleni IAKOVAKI,15 APR 2009,GRE,3,,"Hayward Field, Eugene, OR (USA)",09 AUG 2026,1142,women_400h,2026
91,56.00,,Naomi VAN DEN BROECK,03 JAN 1996,BEL,7,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1142,women_400h,2026
91,56.00,,Viola HAMBIDGE,15 JUL 2006,EST,1f1,,"Kimpisen yleisurheilukenttä, Lappeenranta (FIN)",18 JUL 2026,1142,women_400h,2026
93,56.01,,Maria Alejandra ROCHA,12 AUG 2000,COL,3h1,,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",03 AUG 2026,1141,women_400h,2026
94,56.02,,Brooke OVERHOLT,02 APR 2000,CAN,2,,"Alumni Field, Windsor (CAN)",07 JUN 2026,1141,women_400h,2026
95,56.04,,Kristina VERSHININA,20 APR 2000,RUS,2,,"Kalininets Stadium, Yekaterinburg (RUS)",25 JUL 2026,1140,women_400h,2026
96,56.06,,Elisabeth SLETTUM,31 AUG 1986,NOR,1f2,,"Boudewijnstadion, Bruxelles (BEL)",24 MAY 2026,1140,women_400h,2026
97,56.07,,Elle RILEY,2005,CAN,5h3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",30 MAY 2026,1139,women_400h,2026
97,56.07,,Vithya RAMRAJ,20 SEP 1998,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",27 JUN 2026,1139,women_400h,2026
97,56.07,,Sabrina HEIL,11 NOV 2003,GER,2,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",26 JUL 2026,1139,women_400h,2026
100,56.08,,Mackenzie COLLINS,2006,USA,1f1,,"Mike A. Myers Stadium, Austin, TX (USA)",30 APR 2026,1139,women_400h,2026
