Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
19,6.83,,Tyra GITTENS,06 JUN 1998,TTO,1,,"Cliff Rovelto Indoor Track, Manhattan, KS (USA) (i)",30 JAN 2026,1180,women_LJ,2026
19,6.83,+0.7,Anthaya CHARLTON,28 JUL 2003,BAH,2f1,,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2026,1180,women_LJ,2026
19,6.83,+1.8,Brooke BUSCHKUEHL,12 JUL 1993,AUS,1q2,,"Scotstoun Stadium, Glasgow (GBR)",31 JUL 2026,1180,women_LJ,2026
22,6.82,,Nia ROBINSON,08 NOV 2001,JAM,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",13 FEB 2026,1178,women_LJ,2026
22,6.82,+0.8,Iryna BUDZYNSKA,04 JAN 2001,UKR,1,,"Tsirio Stadium, Limassol (CYP)",29 MAY 2026,1178,women_LJ,2026
24,6.81,+0.7,Paola FERNANDEZ,26 MAY 2000,PUR,1,,"Paseo de los Artistas, Caguas (PUR)",17 MAY 2026,1176,women_LJ,2026
24,6.81,+1.1,Ackelia SMITH,05 FEB 2002,JAM,2f1,,"Bungertstadion, Rehlingen (GER)",24 MAY 2026,1176,women_LJ,2026
24,6.81,+1.1,Annik KÄLIN,27 APR 2000,SUI,ce1,,"Mösle-Stadium, Götzis (AUT)",31 MAY 2026,1176,women_LJ,2026
27,6.80,,Natalia LINARES,03 JAN 2003,COL,3,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",22 MAR 2026,1174,women_LJ,2026
27,6.80,+1.5,Rogilia-chriss BISSEMO,05 APR 2002,FRA,1,,"Stade Christian Plaziat, Pierre-Bénite (FRA)",13 JUN 2026,1174,women_LJ,2026
27,6.80,+1.5,Jazmin SAWYERS,21 MAY 1994,GBR,2,,"Sola Arena, Karlstad (SWE)",08 JUL 2026,1174,women_LJ,2026
30,6.78,,Khaddi SAGNIA,20 APR 1994,SWE,4,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",22 MAR 2026,1169,women_LJ,2026
30,6.78,0.0,Filippa FOTOPOULOU,20 DEC 1996,CYP,1,,Kifisia (GRE),22 MAY 2026,1169,women_LJ,2026
30,6.78,+1.9,Petra BÁNHIDI-FARKAS,30 APR 1999,HUN,1,,"Lantos Mihály Sportközpont, Budapest (HUN)",31 MAY 2026,1169,women_LJ,2026
30,6.78,+0.4,Ramona Elena VERMAN,03 MAR 2004,ROU,1,,"Panthessaliko Stadium, Volos (GRE)",21 JUN 2026,1169,women_LJ,2026
34,6.77,,Anna MATUSZEWICZ,05 APR 2003,POL,1,,"Arena Gorzów, Gorzów Wielkopolski (POL) (i)",31 JAN 2026,1167,women_LJ,2026
34,6.77,+1.7,Marthe KOALA,08 MAR 1994,BUR,1,,"Nyayo National Stadium, Nairobi (KEN)",24 APR 2026,1167,women_LJ,2026
34,6.77,0.0,Irati MITXELENA,03 JUL 1998,ESP,1f2,,"Altamira estadioa, Ordizia (ESP)",04 JUL 2026,1167,women_LJ,2026
34,6.77,+0.6,Ruth USORO,08 OCT 1997,NGR,2q2,,"Scotstoun Stadium, Glasgow (GBR)",31 JUL 2026,1167,women_LJ,2026
38,6.76,+1.1,Yingying HUANG,18 AUG 2004,CHN,1,,"Sports Center, Nanping (CHN)",03 JUN 2026,1165,women_LJ,2026
39,6.75,0.0,Nemata NIKIEMA,25 SEP 2003,BUR,1,,"Maria-Theresien-Straße, Innsbruck (AUT)",13 JUN 2026,1163,women_LJ,2026
39,6.75,0.0,Lucy HADAWAY,11 JUN 2000,GBR,1f1,,"Birmingham University Athletics Track, Birmingham (GBR)",14 JUN 2026,1163,women_LJ,2026
41,6.73,+1.6,Alysbeth FELIX BOYER,07 MAR 1993,PUR,1,,"La Vicentina, Quito (ECU)",04 JUL 2026,1158,women_LJ,2026
42,6.71,,Martha ARAUJO,12 MAY 1996,COL,2,,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL) (i)",28 FEB 2026,1154,women_LJ,2026
42,6.71,+1.3,Alina ROTARU-KOTTMANN,05 JUN 1993,ROU,1,,"Stadionul de atletism ""Nicolae Mărășescu"", Craiova (ROU)",07 JUN 2026,1154,women_LJ,2026
42,6.71,+0.4,Carmen ROSALES,29 APR 2002,ESP,4,,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",01 JUL 2026,1154,women_LJ,2026
45,6.69,,Prestina Oluchi OCHONOGOR,03 JUL 2006,NGR,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",13 FEB 2026,1149,women_LJ,2026
45,6.69,+1.4,Taliyah BROOKS,08 FEB 1995,USA,,,"Ansin Sports Complex, Miramar, FL (USA)",04 APR 2026,1149,women_LJ,2026
45,6.69,+0.2,Shantae FOREMAN,22 OCT 2002,JAM,2f2,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1149,women_LJ,2026
45,6.69,+1.0,Soizick NLEND,20 MAR 2006,FRA,1,,"Stade G. Collet, Palaiseau (FRA)",16 JUN 2026,1149,women_LJ,2026
45,6.69,+1.8,Imke DAALMANN,14 MAY 1999,GER,4,,"Sportcentrum Wembley, Kortrijk (BEL)",11 JUL 2026,1149,women_LJ,2026
50,6.68,,Molly PALMER,27 AUG 2003,GBR,1,,"National Indoor Athletics Centre, Cardiff (GBR) (i)",22 FEB 2026,1147,women_LJ,2026
51,6.67,0.0,Rosmaiby T. QUESADA,15 MAR 2006,CUB,1,,"Estadio Panamericano, La Habana (CUB)",20 FEB 2026,1145,women_LJ,2026
51,6.67,+0.9,Tionna TOBIAS,14 NOV 2000,USA,1,,"Addis Ababa Stadium, Addis Ababa (ETH)",18 APR 2026,1145,women_LJ,2026
51,6.67,-0.1,Shaili SINGH,07 JAN 2004,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",27 JUN 2026,1145,women_LJ,2026
51,6.67,+1.9,Ayla HALLBERG HOSSAIN,23 DEC 2006,SWE,f1,,"Uppsala Friidrottsarena, Uppsala (SWE)",26 JUL 2026,1145,women_LJ,2026
51,6.67,+0.6,Antriana GKOGKA,10 DEC 2003,GRE,1,,"Panthessaliko Stadium, Volos (GRE)",26 JUL 2026,1145,women_LJ,2026
51,6.67,+1.0,Mikaelle ASSANI,18 AUG 2002,GER,1,,"Lohrheidestadion, Wattenscheid, Bochum (GER)",26 JUL 2026,1145,women_LJ,2026
57,6.66,,Milica GARDAŠEVIĆ,28 SEP 1998,SRB,5,,"Arena Toruń, Toruń (POL) (i)",22 FEB 2026,1143,women_LJ,2026
57,6.66,+1.1,Pauline HONDEMA,28 MAR 2000,NED,3f1,,"Bungertstadion, Rehlingen (GER)",24 MAY 2026,1143,women_LJ,2026
57,6.66,-1.1,Evelina MINAYA,24 MAY 2000,DOM,1,,"Estadio La Barranquita, Santiago de los Caballeros (DOM)",05 JUN 2026,1149,women_LJ,2026
60,6.65,+0.2,Shiqi XIONG,09 MAR 2004,CHN,6,,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",16 MAY 2026,1141,women_LJ,2026
60,6.65,+0.2,Caelyn HARRIS,21 JUL 2004,USA,3f2,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1141,women_LJ,2026
62,6.64,,Vanessa LOKULI,24 FEB 2006,FRA,1,,"Stadium Jean-Pellez, Aubière (FRA) (i)",01 MAR 2026,1138,women_LJ,2026
63,6.63,,Elizabeth NDUDI,21 MAR 2005,IRL,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",30 JAN 2026,1136,women_LJ,2026
63,6.63,,Liisa-Maria LUSTI,22 AUG 2004,EST,1ce2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",13 MAR 2026,1136,women_LJ,2026
63,6.63,+1.4,Sydnie VANEK,14 JUN 2005,USA,3q4,,"John McDonnell Field, Fayetteville, AR (USA)",28 MAY 2026,1136,women_LJ,2026
63,6.63,+1.0,Angelica BERRIOT,02 JUL 1999,FRA,4,,"Stade Christian Plaziat, Pierre-Bénite (FRA)",13 JUN 2026,1136,women_LJ,2026
63,6.63,+1.3,Mengyi TAN,05 SEP 2002,CHN,2,,"Kuishan Sports Center, Rizhao (CHN)",27 JUN 2026,1136,women_LJ,2026
68,6.62,,Maud ZEFFOU POATY,10 APR 2003,FRA,1f3,,"Sports Performance Center, Lubbock, TX (USA) (i)",27 FEB 2026,1134,women_LJ,2026
68,6.62,+1.5,Nicole WARWICK,31 AUG 1998,USA,1f3,,"Cougar Athletic Stadium, Azusa, CA (USA)",08 MAY 2026,1134,women_LJ,2026
70,6.61,+0.5,Esraa OWIS,15 OCT 1997,EGY,2,,"Addis Ababa Stadium, Addis Ababa (ETH)",18 APR 2026,1132,women_LJ,2026
70,6.61,+1.0,Georgina SCOOT,15 JAN 2004,GBR,1f1,,"Weaver Stadium, Princeton, NJ (USA)",16 MAY 2026,1132,women_LJ,2026
72,6.59,+0.7,Yatong DING,20 AUG 2002,CHN,1,,"Sports Center, Bengbu (CHN)",30 MAY 2026,1128,women_LJ,2026
72,6.59,+1.6,Ese BRUME,20 JAN 1996,NGR,1,,"CVEATC, Chula Vista, CA (USA)",20 JUN 2026,1128,women_LJ,2026
74,6.58,,Libby BUDER,11 FEB 2004,GER,3,,"Arena Gorzów, Gorzów Wielkopolski (POL) (i)",31 JAN 2026,1125,women_LJ,2026
74,6.58,,Ida BEITER BOMME,25 SEP 2001,DEN,1,,"Eva Lisa Holtz Arena, Karlstad (SWE) (i)",01 FEB 2026,1125,women_LJ,2026
74,6.58,-0.2,Angie Vanessa PALACIOS,21 MAY 2004,COL,1,,"Pista Luis F. Sambolin, San Germán (PUR)",20 FEB 2026,1126,women_LJ,2026
74,6.58,-0.7,Alexandra KELLY,14 JAN 2004,USA,1f4,,"UVA Lanningan Field, Charlottesville, VA (USA)",17 APR 2026,1129,women_LJ,2026
74,6.58,0.0,Janae DE GANNES,17 OCT 2006,TTO,1,,"Estadio Una Nueva Historia, Tlaxcala (MEX)",11 JUL 2026,1125,women_LJ,2026
79,6.57,,Anastasiya KOBYLYANSKIKH,17 AUG 2006,RUS,1,,"VGAFK Arena, Volgograd (RUS) (i)",14 FEB 2026,1123,women_LJ,2026
79,6.57,,Morgan DAVIS,10 AUG 2005,USA,1f2,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",26 FEB 2026,1123,women_LJ,2026
79,6.57,,Diana RUSAKOVA,26 MAY 2001,RUS,1,,"Spartak Stadium, Yuzhno-Sakhalinsk (RUS) (i)",01 MAR 2026,1123,women_LJ,2026
79,6.57,+1.2,Taisiya DMITRIYEVA,13 MAY 2003,RUS,1,,"Olympic Stadium, Cheboksary (RUS)",20 JUN 2026,1123,women_LJ,2026
79,6.57,+0.3,Nathalee ARANDA,22 FEB 1995,PAN,2,,"Alfonso Galvis Duque Stadium, Medellín (COL)",26 JUN 2026,1123,women_LJ,2026
84,6.56,,Janie FORD,,USA,1f3,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",30 JAN 2026,1121,women_LJ,2026
84,6.56,+0.5,Nastassia DROZD,19 DEC 2004,BLR,1,,"Regional Sport Complex, Brest (BLR)",05 JUN 2026,1121,women_LJ,2026
84,6.56,+1.0,Leticia ORO MELO,05 OCT 1997,BRA,4,,"Helmántico, Salamanca (ESP)",06 JUN 2026,1121,women_LJ,2026
84,6.56,+0.1,Maëva TAHOU,12 OCT 2003,SUI,5f2,,"Hayward Field, Eugene, OR (USA)",11 JUN 2026,1121,women_LJ,2026
88,6.55,,Tilde JOHANSSON,05 JAN 2001,SWE,4,,"Arena Gorzów, Gorzów Wielkopolski (POL) (i)",31 JAN 2026,1119,women_LJ,2026
88,6.55,+1.8,Alexandria JOHNSON,26 JUL 2005,USA,1f1,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",28 MAR 2026,1119,women_LJ,2026
88,6.55,+1.1,Aaliyah LINDSAY,04 JAN 2002,JAM,1q3,,"John McDonnell Field, Fayetteville, AR (USA)",28 MAY 2026,1119,women_LJ,2026
91,6.54,-0.2,Laura MARTÍNEZ,03 NOV 2006,ESP,4,,"Estadio Ciudad de Málaga, Málaga (ESP)",24 JUL 2026,1118,women_LJ,2026
92,6.53,,Hailey COEY,,USA,1f2,,"Holt Arena, Pocatello, ID (USA) (i)",27 FEB 2026,1114,women_LJ,2026
92,6.53,,Heidi HUDSON,03 DEC 2004,USA,4f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",13 MAR 2026,1114,women_LJ,2026
92,6.53,+1.4,Funminiyi OLAJIDE,04 JUN 2002,GBR,3,,"Elena Venizelou National Stadium, Chania (GRE)",31 MAY 2026,1114,women_LJ,2026
92,6.53,+0.7,Mubssina MOHAMMED,22 FEB 2006,IND,3,,"Kalinga Stadium, Bhubaneshwar (IND)",27 JUN 2026,1114,women_LJ,2026
92,6.53,-0.4,Andrea ARILLA,14 DEC 2004,ESP,1,,"Ciudad Deportiva Cáceres, Cáceres (ESP)",11 JUL 2026,1116,women_LJ,2026
97,6.52,,Ida Andrea BREIGAN,22 JUL 2004,NOR,1f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",27 FEB 2026,1112,women_LJ,2026
97,6.52,,Miranda LAUVSTAD,22 NOV 2003,NOR,1ce2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",14 MAR 2026,1112,women_LJ,2026
97,6.52,,Sofie DOKTER,19 DEC 2002,NED,1ce1,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",22 MAR 2026,1112,women_LJ,2026
97,6.52,+1.7,Alaysia OAKES,2003,USA,2f2,,"Cardinal Park, Louisville, KY (USA)",15 MAY 2026,1112,women_LJ,2026
