Unnamed: 0,Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
84,84,21.89,1.3,Jenna PRANDINI,20 NOV 1992,USA,2,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1249,2021,women_200m
85,86,21.9,1.9,Marita KOCH,18 FEB 1957,GDR,1,Dresden (GER),03 AUG 1985,1248,1985,women_200m
86,86,21.9,-0.7,Marita KOCH,18 FEB 1957,GDR,1,"Bruce Stadium, Canberra (AUS)",04 OCT 1985,1252,1985,women_200m
87,88,21.91,1.9,Marita KOCH,18 FEB 1957,GDR,1,Ciudad de México (MEX),12 SEP 1979,1247,1979,women_200m
88,88,21.91,-0.4,Marion JONES,12 OCT 1975,USA,1,Helsinki (FIN),10 JUN 1999,1249,1999,women_200m
89,88,21.91,1.5,Shaunae MILLER,15 APR 1994,BAH,2,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1247,2017,women_200m
90,88,21.91,1.3,Shericka JACKSON,16 JUL 1994,JAM,1,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1247,2022,women_200m
91,88,21.91,1.8,Julien ALFRED,10 JUN 2001,LCA,1f1,"Percy Beard Track, Gainesville, FL (USA)",14 APR 2023,1247,2023,women_200m
92,93,21.92,0.9,Gwen TORRENCE,12 JUN 1965,USA,1,Bruxelles (BEL),03 SEP 1993,1246,1993,women_200m
93,93,21.92,0.4,Marion JONES,12 OCT 1975,USA,1,"Stade Louis II, Monaco (MON)",16 AUG 1997,1246,1997,women_200m
94,93,21.92,-0.3,Tamara CLARK,09 JAN 1999,USA,2,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1247,2022,women_200m
95,96,21.93,0.9,Merlene OTTEY,10 MAY 1960,JAM,1,"Indianapolis, IN (USA)",16 JUN 1985,1245,1985,women_200m
96,96,21.93,1.3,Pam MARSHALL,16 AUG 1960,USA,2,"Indianapolis, IN (USA)",23 JUL 1988,1245,1988,women_200m
97,96,21.93,1.8,Irina PRIVALOVA,22 NOV 1968,RUS,1,København (DEN),25 AUG 1992,1245,1992,women_200m
98,96,21.93,1.0,Merlene OTTEY,10 MAY 1960,JAM,2,Bruxelles (BEL),25 AUG 1995,1245,1995,women_200m
99,96,21.93,0.1,Marion JONES,12 OCT 1975,USA,1,Köln (GER),24 AUG 1997,1245,1997,women_200m
0,96,21.93,0.6,Allyson FELIX,18 NOV 1985,USA,2,"National Stadium, Beijing (CHN)",21 AUG 2008,1245,2008,women_200m
1,96,21.93,0.7,Dafne SCHIPPERS,15 JUN 1992,NED,1,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1245,2016,women_200m
2,103,21.94,-1.3,Heike DRECHSLER,16 DEC 1964,GDR,1,Düsseldorf (GER),20 JUN 1988,1251,1988,women_200m
3,103,21.94,1.1,Merlene OTTEY,10 MAY 1960,JAM,1,Berlin (GER),04 JUL 1990,1244,1990,women_200m
4,103,21.94,-0.9,Merlene OTTEY,10 MAY 1960,JAM,1qf4,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1249,1992,women_200m
5,103,21.94,0.9,Gwen TORRENCE,12 JUN 1965,USA,1,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1244,1994,women_200m
6,103,21.94,0.5,Marion JONES,12 OCT 1975,USA,1,"Sacramento, CA (USA)",23 JUL 2000,1244,2000,women_200m
7,103,21.94,1.1,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1,Kingston (JAM),29 JUN 2008,1244,2008,women_200m
8,103,21.94,1.8,Gabrielle THOMAS,07 DEC 1996,USA,1sf2,"Hayward Field, Eugene, OR (USA)",25 JUN 2021,1244,2021,women_200m
9,103,21.94,0.8,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,4,"National Stadium, Tokyo (JPN)",03 AUG 2021,1244,2021,women_200m
10,111,21.95,1.3,Heike DRECHSLER,16 DEC 1964,GDR,3,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1243,1988,women_200m
11,111,21.95,0.3,Katrin KRABBE,22 NOV 1969,GDR,1,"Poljud Stadion, Split (CRO)",30 AUG 1990,1243,1990,women_200m
12,111,21.95,1.3,Anavia BATTLE,28 MAR 1999,USA,3,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1243,2021,women_200m
13,111,21.95,0.4,Shericka JACKSON,16 JUL 1994,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1243,2021,women_200m
14,111,21.95,1.4,Tamara CLARK,09 JAN 1999,USA,1sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1243,2022,women_200m
15,116,21.96,1.2,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,2,"Stadio Olimpico, Roma (ITA)",03 SEP 1987,1242,1987,women_200m
16,116,21.96,0.6,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1h1,"Indianapolis, IN (USA)",22 JUL 1988,1242,1988,women_200m
17,116,21.96,0.2,Katrin KRABBE,22 NOV 1969,GER,1,Berlin (GER),10 SEP 1991,1242,1991,women_200m
18,116,21.96,0.1,Dafne SCHIPPERS,15 JUN 1992,NED,1sf1,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1242,2016,women_200m
19,116,21.96,-0.3,Shericka JACKSON,16 JUL 1994,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1243,2021,women_200m
20,116,21.96,1.3,Favour OFILI,31 DEC 2002,NGR,1f1,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2022,1242,2022,women_200m
21,116,21.96,1.4,Dina ASHER-SMITH,04 DEC 1995,GBR,2sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1242,2022,women_200m
22,123,21.97,1.9,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,Bratislava (TCH),06 JUN 1981,1241,1981,women_200m
23,123,21.97,-1.4,Evelyn ASHFORD,15 APR 1957,USA,1f2,"Letzigrund, Zürich (SUI)",13 AUG 1986,1249,1986,women_200m
24,123,21.97,1.1,Merlene OTTEY,10 MAY 1960,JAM,1,Villeneuve d'Ascq (FRA),29 JUN 1990,1241,1990,women_200m
25,123,21.97,0.2,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,3,"National Stadium, Beijing (CHN)",28 AUG 2015,1241,2015,women_200m
26,123,21.97,0.3,Christine MBOMA,22 MAY 2003,NAM,2sf2,"National Stadium, Tokyo (JPN)",02 AUG 2021,1241,2021,women_200m
27,123,21.97,1.4,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,3sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1241,2022,women_200m
28,129,21.98,-1.1,Valerie BRISCO-HOOKS,06 JUL 1960,USA,1f2,"Letzigrund, Zürich (SUI)",21 AUG 1985,1246,1985,women_200m
29,129,21.98,0.6,Merlene OTTEY,10 MAY 1960,JAM,1,"Stade Louis II, Monaco (MON)",03 AUG 1991,1240,1991,women_200m
30,129,21.98,0.0,Merlene OTTEY,10 MAY 1960,JAM,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993,1240,1993,women_200m
31,129,21.98,-0.7,Gwen TORRENCE,12 JUN 1965,USA,1f1,Zürich (SUI),16 AUG 1995,1244,1995,women_200m
32,129,21.98,0.9,Gwen TORRENCE,12 JUN 1965,USA,1,"Olympiastadion, Berlin (GER)",01 SEP 1995,1240,1995,women_200m
33,129,21.98,-1.2,Marion JONES,12 OCT 1975,USA,1,Sydney (AUS),28 FEB 1998,1247,1998,women_200m
34,129,21.98,0.4,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1f1,Barcelona (ESP),19 JUL 2008,1240,2008,women_200m
35,129,21.98,1.4,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1,"Icahn Stadium, New York, NY (USA)",12 JUN 2010,1240,2010,women_200m
36,129,21.98,1.6,Allyson FELIX,18 NOV 1985,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1240,2015,women_200m
37,129,21.98,1.5,Elaine THOMPSON,28 JUN 1992,JAM,3,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1240,2017,women_200m
38,129,21.98,2.0,Shaunae MILLER-UIBO,15 APR 1994,BAH,1f1,"National Training Center, Clermont, FL (USA)",25 JUL 2020,1240,2020,women_200m
39,129,21.98,0.7,Gabrielle THOMAS,07 DEC 1996,USA,1h4,"Hayward Field, Eugene, OR (USA)",24 JUN 2021,1240,2021,women_200m
40,129,21.98,1.3,Tamara CLARK,09 JAN 1999,USA,4,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1240,2021,women_200m
41,129,21.98,1.3,Gabrielle THOMAS,07 DEC 1996,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",13 MAY 2022,1240,2022,women_200m
42,129,21.98,1.1,Aminatou SEYNI,24 OCT 1996,NIG,1h3,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1240,2022,women_200m
43,129,21.98,0.8,Shericka JACKSON,16 JUL 1994,JAM,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1240,2023,women_200m
44,145,21.99,0.9,Chandra CHEESEBOROUGH,10 JAN 1959,USA,2,"Indianapolis, IN (USA)",19 JUN 1983,1239,1983,women_200m
45,145,21.99,1.3,Silke MÖLLER,20 JUN 1964,GDR,1,Praha (TCH),28 JUN 1987,1239,1987,women_200m
46,145,21.99,1.7,Heike DRECHSLER,16 DEC 1964,GDR,1,Karl Marx Stadt (GDR),12 JUN 1988,1239,1988,women_200m
47,145,21.99,1.3,Merlene OTTEY,10 MAY 1960,JAM,4,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1239,1988,women_200m
48,145,21.99,1.3,Irina PRIVALOVA,22 NOV 1968,RUS,1,Rieti (ITA),06 SEP 1992,1239,1992,women_200m
49,145,21.99,1.1,Marie-José PÉREC,09 MAY 1968,FRA,1,Villeneuve d'Ascq (FRA),02 JUL 1993,1239,1993,women_200m
50,145,21.99,1.1,Irina PRIVALOVA,22 NOV 1968,RUS,2,Villeneuve d'Ascq (FRA),02 JUL 1993,1239,1993,women_200m
51,145,21.99,0.2,Marion JONES,12 OCT 1975,USA,1,"Stade de France, Paris-St-Denis (FRA)",21 JUL 1999,1239,1999,women_200m
52,145,21.99,1.1,Kerron STEWART,16 APR 1984,JAM,2,Kingston (JAM),29 JUN 2008,1239,2008,women_200m
53,145,21.99,1.9,Tori BOWIE,27 AUG 1990,USA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1239,2016,women_200m
54,145,21.99,-0.3,Jenna PRANDINI,20 NOV 1992,USA,1sf1,"Hayward Field, Eugene, OR (USA)",25 JUN 2021,1240,2021,women_200m
55,145,21.99,0.5,Brittany BROWN,18 APR 1995,USA,1f1,"Vanderbilt Track, Nashville, TN (USA)",05 JUN 2022,1239,2022,women_200m
56,157,22.0,0.6,Merlene OTTEY,10 MAY 1960,JAM,1,Bruxelles (BEL),28 AUG 1992,1238,1992,women_200m
57,157,22.0,0.0,Gwen TORRENCE,12 JUN 1965,USA,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993,1238,1993,women_200m
58,157,22.0,1.3,Sherone SIMPSON,12 AUG 1984,JAM,1,Kingston (JAM),25 JUN 2006,1238,2006,women_200m
59,157,22.0,-0.3,Sherone SIMPSON,12 AUG 1984,JAM,1f1,Stockholm (SWE),25 JUL 2006,1239,2006,women_200m
60,157,22.0,0.6,Kerron STEWART,16 APR 1984,JAM,3,"National Stadium, Beijing (CHN)",21 AUG 2008,1238,2008,women_200m
61,157,22.0,0.1,Elaine THOMPSON,28 JUN 1992,JAM,2,"Letzigrund, Zürich (SUI)",24 AUG 2017,1238,2017,women_200m
62,157,22.0,-0.2,Elaine THOMPSON,28 JUN 1992,JAM,1,Kingston (JAM),23 JUN 2019,1239,2019,women_200m
63,157,22.0,1.3,Sha'Carri RICHARDSON,25 MAR 2000,USA,1,"Montverde Academy, Montverde, FL (USA)",10 AUG 2020,1238,2020,women_200m
64,165,22.01,0.6,Bärbel WÖCKEL,21 MAR 1955,GDR,1,Cottbus (GER),18 JUL 1980,1237,1980,women_200m
65,165,22.01,-0.5,Anelia NUNEVA,30 JUN 1962,BUL,1,Sofia (BUL),16 AUG 1987,1240,1987,women_200m
66,165,22.01,0.0,Juliet CUTHBERT,09 APR 1964,JAM,1qf1,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1237,1992,women_200m
67,165,22.01,0.0,Xuemei LI,05 JAN 1977,CHN,1,Shanghai (CHN),22 OCT 1997,1237,1997,women_200m
68,165,22.01,0.6,Muna LEE,30 OCT 1981,USA,4,"National Stadium, Beijing (CHN)",21 AUG 2008,1237,2008,women_200m
69,165,22.01,0.2,Candyce MCGRONE,24 MAR 1989,USA,4,"National Stadium, Beijing (CHN)",28 AUG 2015,1237,2015,women_200m
70,165,22.01,0.3,Gabrielle THOMAS,07 DEC 1996,USA,3sf2,"National Stadium, Tokyo (JPN)",02 AUG 2021,1237,2021,women_200m
71,165,22.01,-0.3,Jenna PRANDINI,20 NOV 1992,USA,3,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1238,2022,women_200m
72,173,22.02,-1.4,Marita KOCH,18 FEB 1957,GDR,1,Leipzig (GER),03 JUN 1979,1244,1979,women_200m
73,173,22.02,-0.2,Marita KOCH,18 FEB 1957,GDR,2,"Olympic Stadium, Montréal (CAN)",24 AUG 1979,1237,1979,women_200m
74,173,22.02,0.3,Marita KOCH,18 FEB 1957,GDR,1,Berlin (GER),31 JUL 1983,1236,1983,women_200m
75,173,22.02,0.2,Marita KOCH,18 FEB 1957,GDR,1,Moskva (URS),18 AUG 1985,1236,1985,women_200m
76,173,22.02,1.3,Gwen TORRENCE,12 JUN 1965,USA,3,"Indianapolis, IN (USA)",23 JUL 1988,1236,1988,women_200m
77,173,22.02,-0.6,Juliet CUTHBERT,09 APR 1964,JAM,2,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1239,1992,women_200m
78,173,22.02,-0.6,Irina PRIVALOVA,22 NOV 1968,RUS,1f1,Zürich (SUI),19 AUG 1992,1239,1992,women_200m
79,173,22.02,1.8,Gwen TORRENCE,12 JUN 1965,USA,2,København (DEN),25 AUG 1992,1236,1992,women_200m
80,173,22.02,0.5,Irina PRIVALOVA,22 NOV 1968,RUS,1,Stockholm (SWE),12 JUL 1994,1236,1994,women_200m
81,173,22.02,-0.1,Allyson FELIX,18 NOV 1985,USA,1,"Olympiastadion, Berlin (GER)",21 AUG 2009,1236,2009,women_200m
82,173,22.02,0.1,Allyson FELIX,18 NOV 1985,USA,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1236,2014,women_200m
83,173,22.02,-0.3,Dafne SCHIPPERS,15 JUN 1992,NED,1,"FBK Stadium, Hengelo (NED)",22 MAY 2016,1237,2016,women_200m
84,173,22.02,0.2,Allyson FELIX,18 NOV 1985,USA,3,"Letzigrund, Zürich (SUI)",01 SEP 2016,1236,2016,women_200m
