Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
81,13:15.68,,Victor KIMUTAI,20 OCT 2000,KEN,3f4,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1153,men_5000m,2026
82,13:15.74,,Elsingi KIPRUTO,19 AUG 2005,KEN,2f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 FEB 2026,1153,men_5000m,2026
83,13:15.90,,Darragh MCELHINNEY,09 NOV 2000,IRL,2f1,,"Morton Stadium, Santry, Dublin (IRL)",10 JUL 2026,1152,men_5000m,2026
84,13:16.19,,Nicholas GRIGGS,18 DEC 2004,IRL,3f1,,"Morton Stadium, Santry, Dublin (IRL)",10 JUL 2026,1151,men_5000m,2026
85,13:16.27,,Tayvon KITCHEN,18 AUG 2006,USA,3f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2026,1151,men_5000m,2026
86,13:16.38,,Tomonori YAMAGUCHI,13 APR 2003,JPN,4f4,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1150,men_5000m,2026
87,13:16.41,,Timothy CHERUIYOT,20 NOV 1995,KEN,13,,"Egret Stadium, Xiamen (CHN)",23 MAY 2026,1150,men_5000m,2026
88,13:16.59,,Magnus Tuv MYHRE,15 JUN 2000,NOR,5f1,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1150,men_5000m,2026
89,13:16.84,,Ryan SCHOPPE,,USA,1f2,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1149,men_5000m,2026
90,13:16.92,,Dawit SEARE,29 DEC 2004,ERI,1,,"University of Ghana Sports Stadium, Accra (GHA)",17 MAY 2026,1148,men_5000m,2026
91,13:17.17,,Mahadi ABDI ALI,08 NOV 1995,NED,6f1,,"Alexander Stadium, Birmingham (GBR)",10 AUG 2026,1147,men_5000m,2026
92,13:17.32,,Jonas RAESS,08 MAR 1994,SUI,4f1,,"Morton Stadium, Santry, Dublin (IRL)",10 JUL 2026,1147,men_5000m,2026
93,13:17.39,,Richard KIMAYAT,02 JAN 2003,KEN,4f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1147,men_5000m,2026
94,13:17.61,,Evans KURUI,,KEN,4f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2026,1146,men_5000m,2026
95,13:17.90,,Samuel PRAKEL,29 OCT 1994,USA,5f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17 APR 2026,1145,men_5000m,2026
96,13:17.98,,Jude THOMAS,17 MAR 2002,AUS,6f1,,"Morton Stadium, Santry, Dublin (IRL)",10 JUL 2026,1145,men_5000m,2026
97,13:18.16,,Kazuya SHIOJIRI,08 NOV 1996,JPN,5f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1144,men_5000m,2026
98,13:18.18,,Kelvin KIPLAGAT,31 JAN 2004,KEN,5f4,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1144,men_5000m,2026
99,13:18.26,,Bilith BOI,29 SEP 2009,KEN,1f3,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1144,men_5000m,2026
100,13:18.32,,Morgan BEADLESCOMB,01 JUN 1998,USA,9,,"USC Allyson Felix at Loker Track Stadium, Los Angeles, CA (USA)",13 JUN 2026,1143,men_5000m,2026
