Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year
34,4:01.60,,Wilma NIELSEN,02 JUN 2001,SWE,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2026,1215,women_1500m,2026
35,4:01.64,,Ludovica CAVALLI,20 DEC 2000,ITA,6,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1192,women_1500m,2026
36,4:01.70,,Aster ARERI,16 APR 2006,ETH,8,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1192,women_1500m,2026
37,4:01.78,,Ava LLOYD,13 AUG 2005,GBR,1f1,,"Mo Farah Athletics Track, Twickenham (GBR)",09 AUG 2026,1191,women_1500m,2026
38,4:01.84,,Salomé AFONSO,19 NOV 1997,POR,9,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1191,women_1500m,2026
39,4:01.92,,Faith KIPYEGON,10 JAN 1994,KEN,,,"Hayward Field, Eugene, OR (USA)",04 JUL 2026,1190,women_1500m,2026
40,4:02.14,,Jemma REEKIE,06 MAR 1998,GBR,4,,"Arena Stade Couvert, Liévin (FRA) (i)",19 FEB 2026,1211,women_1500m,2026
41,4:02.15,,Mirriam CHEROP,25 JUN 1999,KEN,3,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1188,women_1500m,2026
42,4:02.17,,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,5,,"Arena Stade Couvert, Liévin (FRA) (i)",19 FEB 2026,1210,women_1500m,2026
43,4:02.25,,Sarah CALVERT,29 JUN 2001,GBR,3f1,,"Mo Farah Athletics Track, Twickenham (GBR)",09 AUG 2026,1187,women_1500m,2026
44,4:02.55,,Rosemary LONGISA,27 APR 2005,KEN,1f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",18 APR 2026,1185,women_1500m,2026
45,4:02.63,,Salma ELBADRA,12 SEP 2004,MAR,1f6,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",17 APR 2026,1184,women_1500m,2026
46,4:02.87,,Erin WALLACE,18 MAY 2000,GBR,3,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1183,women_1500m,2026
47,4:02.90,,Rachel MCARTHUR,04 AUG 1999,USA,1f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1182,women_1500m,2026
48,4:03.01,,Riley CHAMBERLAIN,21 JUL 2004,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2026,1203,women_1500m,2026
49,4:03.14,,Maureen KOSTER,03 JUL 1992,NED,2f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1180,women_1500m,2026
50,4:03.28,,Sadie ENGELHARDT,21 AUG 2006,USA,2f6,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",17 APR 2026,1179,women_1500m,2026
51,4:03.43,,Jane HEDENGREN,23 SEP 2006,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2026,1200,women_1500m,2026
52,4:03.54,,Danielle JONES,21 AUG 1996,USA,7,,"The Track at New Balance, Boston, MA (USA) (i)",24 JAN 2026,1199,women_1500m,2026
52,4:03.54,,Annika REISS,11 SEP 2000,USA,2,,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",08 JUL 2026,1177,women_1500m,2026
54,4:03.56,,Augustine HAQUET,13 JUL 2003,FRA,1,,"Stadion De Veen, Heusden-Zolder (BEL)",18 JUL 2026,1177,women_1500m,2026
55,4:03.58,,Bérénice CLEYET-MERLE,24 OCT 1994,FRA,15,,"Stade Charléty, Paris (FRA)",28 JUN 2026,1177,women_1500m,2026
56,4:03.59,,Nadia BATTOCLETTI,12 APR 2000,ITA,2,,"Gallur, Madrid (ESP) (i)",06 FEB 2026,1199,women_1500m,2026
57,4:03.62,,Águeda MARQUÉS,19 MAR 1999,ESP,10,,"Stadio Olimpico, Roma (ITA)",04 JUN 2026,1177,women_1500m,2026
58,4:03.69,,Weronika LIZAKOWSKA,02 NOV 1998,POL,3,,"Stade Jean Delbert, Montreuil (FRA)",17 JUN 2026,1176,women_1500m,2026
59,4:03.76,,Kate AXFORD,31 MAR 1999,GBR,6f1,,"Mo Farah Athletics Track, Twickenham (GBR)",09 AUG 2026,1175,women_1500m,2026
60,4:03.77,,Marta ZENONI,09 MAR 1999,ITA,5,,"Atletická hala, Ostrava (CZE) (i)",03 FEB 2026,1197,women_1500m,2026
61,4:03.90,,Nancy JEPNGETICH,25 OCT 2007,KEN,10,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1174,women_1500m,2026
62,4:03.91,,Caren CHEPCHIRCHIR,25 DEC 2008,KEN,11,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1174,women_1500m,2026
63,4:03.99,,Yordanos TSIGAB,21 MAR 2009,ETH,12,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",31 MAY 2026,1174,women_1500m,2026
64,4:04.04,,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,3,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",29 MAY 2026,1173,women_1500m,2026
65,4:04.05,,Susan Lokayo EJORE-SANDERS,09 NOV 1995,KEN,8,,"Kujawsko-Pomorska Arena, Toruń (POL) (i)",22 MAR 2026,1195,women_1500m,2026
66,4:04.08,,Georgia GRIFFITH,05 DEC 1996,AUS,6,,"Nemzeti Atlétikai Központ, Budapest (HUN)",14 JUL 2026,1173,women_1500m,2026
67,4:04.17,,Addison WILEY,24 OCT 2003,USA,1h1,,"Icahn Stadium, New York, NY (USA)",23 JUL 2026,1172,women_1500m,2026
68,4:04.22,,Kristiina SASÍNEK MÄKI,22 SEP 1991,CZE,4,,"Stade Jean Delbert, Montreuil (FRA)",17 JUN 2026,1172,women_1500m,2026
69,4:04.28,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,4,,"Suhaim bin Hamad Stadium, Doha (QAT)",19 JUN 2026,1171,women_1500m,2026
69,4:04.28,,Molly HUDSON,16 AUG 2002,GBR,3f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1171,women_1500m,2026
71,4:04.32,,Adelle TRACEY,27 MAY 1993,JAM,8f1,,"Mo Farah Athletics Track, Twickenham (GBR)",09 AUG 2026,1171,women_1500m,2026
72,4:04.48,,Grace FETHERSTONHAUGH,13 OCT 2000,CAN,9f1,,"Mo Farah Athletics Track, Twickenham (GBR)",09 AUG 2026,1170,women_1500m,2026
73,4:04.51,,Heather MACLEAN,31 AUG 1995,USA,3h1,,"Icahn Stadium, New York, NY (USA)",23 JUL 2026,1170,women_1500m,2026
74,4:04.55,,Laura PELLICORO,24 DEC 2000,ITA,1f2,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1169,women_1500m,2026
75,4:04.59,,Billah JEPKIRUI,18 JUN 2002,KEN,1f1,,"John McDonnell Field, Fayetteville, AR (USA)",11 APR 2026,1169,women_1500m,2026
75,4:04.59,,Claire STEGALL,05 JUN 2007,USA,1,,"Hayward Field, Eugene, OR (USA)",19 JUN 2026,1169,women_1500m,2026
77,4:04.63,,Caroline BREDLINGER,04 APR 2001,AUT,3,,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",08 JUL 2026,1169,women_1500m,2026
78,4:04.64,,Kayley DELAY,07 JUN 1999,USA,1,,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",11 JUL 2026,1168,women_1500m,2026
79,4:04.89,,Hirut MESHESHA,20 JAN 2001,ETH,9,,"Arena Toruń, Toruń (POL) (i)",22 FEB 2026,1188,women_1500m,2026
80,4:04.91,,Teagan SCHEIN-BECKER,04 APR 2000,USA,2h2,,"Icahn Stadium, New York, NY (USA)",23 JUL 2026,1166,women_1500m,2026
80,4:04.91,,Vera SJÖBERG,19 MAY 2001,SWE,4f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1166,women_1500m,2026
82,4:04.92,,Marta GARCÍA,01 JAN 1998,ESP,10,,"Arena Toruń, Toruń (POL) (i)",22 FEB 2026,1188,women_1500m,2026
82,4:04.92,,Margot APPLETON,30 SEP 2002,USA,6,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1166,women_1500m,2026
82,4:04.92,,Carlee HANSEN,,USA,4h1,,"Icahn Stadium, New York, NY (USA)",23 JUL 2026,1166,women_1500m,2026
85,4:04.96,,Hana MEKONIN,28 JUN 2008,ETH,3,,"Stade Raymond Petit, Tomblaine (FRA)",03 JUL 2026,1166,women_1500m,2026
86,4:05.07,,Carla MASIP,12 AUG 1997,ESP,5f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1165,women_1500m,2026
87,4:05.14,,Maudie SKYRING,09 APR 1997,AUS,5,,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",08 JUL 2026,1165,women_1500m,2026
87,4:05.14,,Taryn PARKS,06 MAY 2002,USA,3h2,,"Icahn Stadium, New York, NY (USA)",23 JUL 2026,1165,women_1500m,2026
87,4:05.14,,Holly DIXON,23 DEC 1997,GBR,6f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1165,women_1500m,2026
90,4:05.15,,Kadra MOHAMED DEMBIL,22 APR 1997,DJI,2,,"Stade Gouled, Djibouti (DJI)",17 APR 2026,1164,women_1500m,2026
91,4:05.19,,Ellie BAKER,03 JUN 1998,GBR,2,,"Drake Stadium, Los Angeles, CA (USA)",23 MAY 2026,1164,women_1500m,2026
92,4:05.26,,Maria Miguel AVELINO,12 DEC 2005,POR,7f1,,"Putbosstadion, Oordegem (BEL)",01 AUG 2026,1164,women_1500m,2026
93,4:05.29,,Şilan AYYILDIZ,10 OCT 1999,TUR,1f2,,"Altamira estadioa, Ordizia (ESP)",04 JUL 2026,1163,women_1500m,2026
94,4:05.38,,Negase GARUMA,2006,ETH,1f1,,"Estadi Joan Serrahima, Barcelona (ESP)",07 JUL 2026,1163,women_1500m,2026
95,4:05.47,,Nele WEßEL,06 NOV 1999,GER,6,,"Europahalle, Karlsruhe (GER) (i)",08 FEB 2026,1184,women_1500m,2026
96,4:05.50,,Micaela LEVAGGI,12 AUG 1998,ARG,2f2,,"Altamira estadioa, Ordizia (ESP)",04 JUL 2026,1162,women_1500m,2026
97,4:05.53,,Phoebe GILL,27 APR 2007,GBR,1f1,,"Longford Stadium Trafford, Manchester (GBR)",16 MAY 2026,1161,women_1500m,2026
98,4:05.55,,Gaia SABBATINI,10 JUN 1999,ITA,9,,"Olympiastadion, Stockholm (SWE)",07 JUN 2026,1161,women_1500m,2026
99,4:05.56,,Rocio GARRIDO,04 SEP 2003,ESP,3f2,,"Altamira estadioa, Ordizia (ESP)",04 JUL 2026,1161,women_1500m,2026
100,4:05.62,,Sophie O'SULLIVAN,23 DEC 2001,IRL,1f1,,"Morton Stadium, Santry, Dublin (IRL)",26 JUL 2026,1161,women_1500m,2026
