Rank,Mark,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,wind,age,wind_legal
64,6.0,Christopher NILSEN,1998-01-13,USA,1,"Lillibridge Track, Sioux Falls, SD (USA)",2022-05-06,1267,2022,men_PV,Men Pole Vault,,24.3,True
64,6.0,Ernest John OBIENA,1995-11-17,PHI,1f1,"Bryggen, Bergen (NOR)",2023-06-10,1267,2023,men_PV,Men Pole Vault,,27.6,True
64,6.0,KC LIGHTFOOT,1999-11-11,USA,2f1,"Bryggen, Bergen (NOR)",2023-06-10,1267,2023,men_PV,Men Pole Vault,,23.6,True
106,5.97,Christopher NILSEN,1998-01-13,USA,2,"National Stadium, Tokyo (JPN)",2021-08-03,1259,2021,men_PV,Men Pole Vault,,23.6,True
171,5.94,Christopher NILSEN,1998-01-13,USA,2,"Hayward Field, Eugene, OR (USA)",2022-07-24,1250,2022,men_PV,Men Pole Vault,,24.5,True
171,5.94,Ernest John OBIENA,1995-11-17,PHI,3,"Hayward Field, Eugene, OR (USA)",2022-07-24,1250,2022,men_PV,Men Pole Vault,,26.7,True
184,5.93,Sam KENDRICKS,1992-09-07,USA,2.0,"Letzigrund, Zürich (SUI)",2021-09-09,1247,2021,men_PV,Men Pole Vault,,29.0,True
184,5.93,Timur MORGUNOV,1996-10-12,ANA,3.0,"Letzigrund, Zürich (SUI)",2021-09-09,1247,2021,men_PV,Men Pole Vault,,24.9,True
184,5.93,Ernest John OBIENA,1995-11-17,PHI,1.0,"Maria-Theresien-Straße, Innsbruck (AUT)",2021-09-11,1247,2021,men_PV,Men Pole Vault,,25.8,True
184,5.93,Christopher NILSEN,1998-01-13,USA,2.0,"Olympiastadion, Stockholm (SWE)",2022-06-30,1247,2022,men_PV,Men Pole Vault,,24.5,True
184,5.93,Thiago BRAZ,1993-12-16,BRA,3.0,"Olympiastadion, Stockholm (SWE)",2022-06-30,1247,2022,men_PV,Men Pole Vault,,28.5,True
206,5.92,Renaud LAVILLENIE,1986-09-18,FRA,1.0,"Stadion Śląski, Chorzów (POL)",2021-06-20,1245,2021,men_PV,Men Pole Vault,,34.8,True
206,5.92,Christopher NILSEN,1998-01-13,USA,1.0,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2021-06-30,1245,2021,men_PV,Men Pole Vault,,23.5,True
206,5.92,Sam KENDRICKS,1992-09-07,USA,2.0,"Olympiastadion, Stockholm (SWE)",2021-07-04,1245,2021,men_PV,Men Pole Vault,,28.8,True
206,5.92,Renaud LAVILLENIE,1986-09-18,FRA,3.0,"Olympiastadion, Stockholm (SWE)",2021-07-04,1245,2021,men_PV,Men Pole Vault,,34.8,True
206,5.92,Christopher NILSEN,1998-01-13,USA,1.0,"Stadion Śląski, Chorzów (POL)",2022-06-05,1245,2022,men_PV,Men Pole Vault,,24.4,True
206,5.92,Ernest John OBIENA,1995-11-17,PHI,1.0,"Täby torg, Täby (SWE)",2022-06-28,1245,2022,men_PV,Men Pole Vault,,26.6,True
206,5.92,Christopher NILSEN,1998-01-13,USA,1.0,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2023-06-06,1245,2023,men_PV,Men Pole Vault,,25.4,True
247,5.91,Christopher NILSEN,1998-01-13,USA,1.0,"Hilmer Lodge Stadium, Walnut, CA (USA)",2021-05-09,1242,2021,men_PV,Men Pole Vault,,23.3,True
247,5.91,Sam KENDRICKS,1992-09-07,USA,2.0,"Bislett Stadion, Oslo (NOR)",2021-07-01,1242,2021,men_PV,Men Pole Vault,,28.8,True
247,5.91,Ernest John OBIENA,1995-11-17,PHI,2.0,"Stade Charléty, Paris (FRA)",2021-08-28,1242,2021,men_PV,Men Pole Vault,,25.8,True
247,5.91,Sam KENDRICKS,1992-09-07,USA,1.0,"Olympiastadion, Berlin (GER)",2021-09-12,1242,2021,men_PV,Men Pole Vault,,29.0,True
247,5.91,Christopher NILSEN,1998-01-13,USA,2.0,"Olympiastadion, Berlin (GER)",2021-09-12,1242,2021,men_PV,Men Pole Vault,,23.7,True
247,5.91,Armand DUPLANTIS,1999-11-10,SWE,1.0,"Hayward Field, Eugene, OR (USA)",2022-05-27,1242,2022,men_PV,Men Pole Vault,,22.5,True
247,5.91,Ernest John OBIENA,1995-11-17,PHI,1.0,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1242,2022,men_PV,Men Pole Vault,,26.8,True
247,5.91,Armand DUPLANTIS,1999-11-10,SWE,1.0,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1242,2023,men_PV,Men Pole Vault,,23.5,True
247,5.91,Sam KENDRICKS,1992-09-07,USA,2.0,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1242,2023,men_PV,Men Pole Vault,,30.7,True
247,5.91,Christopher NILSEN,1998-01-13,USA,2.0,"Bislett Stadion, Oslo (NOR)",2023-06-15,1242,2023,men_PV,Men Pole Vault,,25.4,True
296,5.9,Armand DUPLANTIS,1999-11-10,SWE,1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2021-04-24,1239,2021,men_PV,Men Pole Vault,,21.5,True
296,5.9,Armand DUPLANTIS,1999-11-10,SWE,1,"Mestský Stadion, Ostrava (CZE)",2021-05-19,1239,2021,men_PV,Men Pole Vault,,21.5,True
296,5.9,Timur MORGUNOV,1996-10-12,RUS,1,Tver (RUS),2021-06-13,1239,2021,men_PV,Men Pole Vault,,24.7,True
296,5.9,Christopher NILSEN,1998-01-13,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-21,1239,2021,men_PV,Men Pole Vault,,23.4,True
296,5.9,Bo Kanda LITA BAEHRE,1999-04-29,GER,1,"Olympiastadion, Berlin (GER)",2022-06-25,1239,2022,men_PV,Men Pole Vault,,23.2,True
296,5.9,Sondre GUTTORMSEN,1999-06-01,NOR,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-29,1239,2023,men_PV,Men Pole Vault,,23.9,True
296,5.9,KC LIGHTFOOT,1999-11-11,USA,1,"Paavo Nurmen Stadion, Turku (FIN)",2023-06-13,1239,2023,men_PV,Men Pole Vault,,23.6,True
296,5.9,Kurtis MARSCHALL,1997-04-25,AUS,2,"Mestský Stadion, Ostrava (CZE)",2023-06-27,1239,2023,men_PV,Men Pole Vault,,26.2,True
296,5.9,Ernest John OBIENA,1995-11-17,PHI,3,"Mestský Stadion, Ostrava (CZE)",2023-06-27,1239,2023,men_PV,Men Pole Vault,,27.6,True
483,5.88,Menno VLOON,1994-05-11,NED,1,"Olympiastadion, Berlin (GER)",2022-09-04,1234,2022,men_PV,Men Pole Vault,,28.3,True
483,5.88,Sam KENDRICKS,1992-09-07,USA,3f1,"Bryggen, Bergen (NOR)",2023-06-10,1234,2023,men_PV,Men Pole Vault,,30.8,True
494,5.87,Ernest John OBIENA,1995-11-17,PHI,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2021-06-30,1231,2021,men_PV,Men Pole Vault,,25.6,True
494,5.87,Thiago BRAZ,1993-12-16,BRA,3,"National Stadium, Tokyo (JPN)",2021-08-03,1231,2021,men_PV,Men Pole Vault,,27.6,True
494,5.87,KC LIGHTFOOT,1999-11-11,USA,1,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1231,2021,men_PV,Men Pole Vault,,21.8,True
494,5.87,Christopher NILSEN,1998-01-13,USA,1,"Stade Sottevillais 76, Sotteville-lès-Rouen (FRA)",2022-07-04,1231,2022,men_PV,Men Pole Vault,,24.5,True
494,5.87,Thiago BRAZ,1993-12-16,BRA,4,"Hayward Field, Eugene, OR (USA)",2022-07-24,1231,2022,men_PV,Men Pole Vault,,28.6,True
494,5.87,Renaud LAVILLENIE,1986-09-18,FRA,5,"Hayward Field, Eugene, OR (USA)",2022-07-24,1231,2022,men_PV,Men Pole Vault,,35.8,True
494,5.87,Oleg ZERNIKEL,1995-04-16,GER,5,"Hayward Field, Eugene, OR (USA)",2022-07-24,1231,2022,men_PV,Men Pole Vault,,27.3,True
494,5.87,Bo Kanda LITA BAEHRE,1999-04-29,GER,7,"Hayward Field, Eugene, OR (USA)",2022-07-24,1231,2022,men_PV,Men Pole Vault,,23.2,True
494,5.87,Zachery BRADFORD,1999-11-29,USA,1,"John Jacobs Track Complex, Norman, OK (USA)",2023-05-14,1231,2023,men_PV,Men Pole Vault,,23.5,True
517,5.86,Sam KENDRICKS,1992-09-07,USA,1,"Drake Stadium, Des Moines, IA (USA)",2021-04-24,1228,2021,men_PV,Men Pole Vault,,28.6,True
517,5.86,Christopher NILSEN,1998-01-13,USA,1,"Stadion Śląski, Chorzów (POL)",2021-09-05,1228,2021,men_PV,Men Pole Vault,,23.6,True
517,5.86,Pål Haugen LILLEFOSSE,2001-06-04,NOR,1,"Øverlands Minde, Stjørdal (NOR)",2022-06-25,1228,2022,men_PV,Men Pole Vault,,21.1,True
517,5.86,Ernest John OBIENA,1995-11-17,PHI,1,"Schloßplatz, St. Wendel (GER)",2022-08-31,1228,2022,men_PV,Men Pole Vault,,26.8,True
517,5.86,Sondre GUTTORMSEN,1999-06-01,NOR,2,"Letzigrund, Zürich (SUI)",2022-09-08,1228,2022,men_PV,Men Pole Vault,,23.3,True
517,5.86,Branson ELLIS,2000-07-19,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-01,1228,2023,men_PV,Men Pole Vault,,22.7,True
517,5.86,Zachery BRADFORD,1999-11-29,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-01,1228,2023,men_PV,Men Pole Vault,,23.3,True
571,5.85,Sam KENDRICKS,1992-09-07,USA,2,"Mestský Stadion, Ostrava (CZE)",2021-05-19,1225,2021,men_PV,Men Pole Vault,,28.7,True
571,5.85,Ernest John OBIENA,1995-11-17,PHI,1,"Ernwiesenstadion, Mössingen (GER)",2021-06-11,1225,2021,men_PV,Men Pole Vault,,25.6,True
571,5.85,Sam KENDRICKS,1992-09-07,USA,2,"Hayward Field, Eugene, OR (USA)",2021-06-21,1225,2021,men_PV,Men Pole Vault,,28.8,True
571,5.85,KC LIGHTFOOT,1999-11-11,USA,2,"Hayward Field, Eugene, OR (USA)",2021-06-21,1225,2021,men_PV,Men Pole Vault,,21.6,True
571,5.85,Timur MORGUNOV,1996-10-12,RUS,1,"Znamenskikh Stadion, Moskva (RUS)",2021-07-10,1225,2021,men_PV,Men Pole Vault,,24.7,True
571,5.85,Christopher NILSEN,1998-01-13,USA,2,"Boudewijnstadion, Bruxelles (BEL)",2021-09-03,1225,2021,men_PV,Men Pole Vault,,23.6,True
571,5.85,KC LIGHTFOOT,1999-11-11,USA,3,"Boudewijnstadion, Bruxelles (BEL)",2021-09-03,1225,2021,men_PV,Men Pole Vault,,21.8,True
571,5.85,Ernest John OBIENA,1995-11-17,PHI,1,L'Aquila (ITA),2022-05-29,1225,2022,men_PV,Men Pole Vault,,26.5,True
571,5.85,Pål Haugen LILLEFOSSE,2001-06-04,NOR,1,"Fana Stadion, Bergen (NOR)",2022-06-08,1225,2022,men_PV,Men Pole Vault,,21.0,True
571,5.85,Ben BROEDERS,1995-06-21,BEL,1,"Gymnasium am Stefansberg, Merzig (GER)",2022-06-11,1225,2022,men_PV,Men Pole Vault,,27.0,True
571,5.85,Bo Kanda LITA BAEHRE,1999-04-29,GER,2,"Olympiastadion, München (GER)",2022-08-20,1225,2022,men_PV,Men Pole Vault,,23.3,True
571,5.85,Kurtis MARSCHALL,1997-04-25,AUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",2023-03-25,1225,2023,men_PV,Men Pole Vault,,25.9,True
571,5.85,Menno VLOON,1994-05-11,NED,1f1,"Stadion Śląski, Chorzów (POL)",2023-06-23,1225,2023,men_PV,Men Pole Vault,,29.1,True
779,5.84,Bo Kanda LITA BAEHRE,1999-04-29,GER,1,Rottach-Egern (GER),2022-07-03,1223,2022,men_PV,Men Pole Vault,,23.2,True
798,5.83,Ernest John OBIENA,1995-11-17,PHI,4.0,"Letzigrund, Zürich (SUI)",2021-09-09,1220,2021,men_PV,Men Pole Vault,,25.8,True
798,5.83,Christopher NILSEN,1998-01-13,USA,5.0,"Letzigrund, Zürich (SUI)",2021-09-09,1220,2021,men_PV,Men Pole Vault,,23.7,True
798,5.83,KC LIGHTFOOT,1999-11-11,USA,6.0,"Letzigrund, Zürich (SUI)",2021-09-09,1220,2021,men_PV,Men Pole Vault,,21.8,True
798,5.83,Pål Haugen LILLEFOSSE,2001-06-04,NOR,4.0,"Olympiastadion, Stockholm (SWE)",2022-06-30,1220,2022,men_PV,Men Pole Vault,,21.1,True
798,5.83,Renaud LAVILLENIE,1986-09-18,FRA,5.0,"Olympiastadion, Stockholm (SWE)",2022-06-30,1220,2022,men_PV,Men Pole Vault,,35.8,True
798,5.83,Menno VLOON,1994-05-11,NED,1.0,"Marktplatz, Dessau (GER)",2022-09-13,1220,2022,men_PV,Men Pole Vault,,28.3,True
854,5.82,Piotr LISEK,1992-08-16,POL,3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2021-06-30,1217,2021,men_PV,Men Pole Vault,,28.9,True
854,5.82,Thiago BRAZ,1993-12-16,BRA,4,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2021-06-30,1217,2021,men_PV,Men Pole Vault,,27.5,True
854,5.82,Ernest John OBIENA,1995-11-17,PHI,4,"Olympiastadion, Stockholm (SWE)",2021-07-04,1217,2021,men_PV,Men Pole Vault,,25.6,True
854,5.82,Piotr LISEK,1992-08-16,POL,5,"Olympiastadion, Stockholm (SWE)",2021-07-04,1217,2021,men_PV,Men Pole Vault,,28.9,True
854,5.82,Sam KENDRICKS,1992-09-07,USA,1,"Stade Sottevillais 76, Sotteville-lès-Rouen (FRA)",2021-07-11,1217,2021,men_PV,Men Pole Vault,,28.8,True
854,5.82,Christopher NILSEN,1998-01-13,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1217,2021,men_PV,Men Pole Vault,,23.6,True
854,5.82,Sam KENDRICKS,1992-09-07,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1217,2021,men_PV,Men Pole Vault,,29.0,True
854,5.82,Sam KENDRICKS,1992-09-07,USA,2,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1217,2021,men_PV,Men Pole Vault,,29.0,True
854,5.82,Kurtis MARSCHALL,1997-04-25,AUS,3,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1217,2021,men_PV,Men Pole Vault,,24.4,True
854,5.82,Valentin LAVILLENIE,1991-07-16,FRA,4,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1217,2021,men_PV,Men Pole Vault,,30.2,True
854,5.82,Christopher NILSEN,1998-01-13,USA,5,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1217,2021,men_PV,Men Pole Vault,,23.7,True
854,5.82,Jacob WOOTEN,1997-04-22,USA,1,"Bell County Expo Center, Belton, TX (USA)",2021-12-31,1217,2021,men_PV,Men Pole Vault,,24.7,True
854,5.82,Thibaut COLLET,1999-06-17,FRA,1,"Stadion Juliska, Praha (CZE)",2022-06-06,1217,2022,men_PV,Men Pole Vault,,23.0,True
854,5.82,Thiago BRAZ,1993-12-16,BRA,2,"Täby torg, Täby (SWE)",2022-06-28,1217,2022,men_PV,Men Pole Vault,,28.5,True
854,5.82,Menno VLOON,1994-05-11,NED,1,"Hal 5, Leuven (BEL)",2022-08-05,1217,2022,men_PV,Men Pole Vault,,28.2,True
854,5.82,Piotr LISEK,1992-08-16,POL,1,"Stadion Śląski, Chorzów (POL)",2023-06-04,1217,2023,men_PV,Men Pole Vault,,30.8,True
854,5.82,Christopher NILSEN,1998-01-13,USA,2,"Stadion Śląski, Chorzów (POL)",2023-06-04,1217,2023,men_PV,Men Pole Vault,,25.4,True
854,5.82,Piotr LISEK,1992-08-16,POL,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2023-06-06,1217,2023,men_PV,Men Pole Vault,,30.8,True
854,5.82,Jie YAO,1990-09-21,CHN,1,"The City Balcony, Hangzhou (CHN)",2023-06-10,1217,2023,men_PV,Men Pole Vault,,32.7,True
958,5.81,Sondre GUTTORMSEN,1999-06-01,NOR,1,"CVEATC, Chula Vista, CA (USA)",2021-05-30,1214,2021,men_PV,Men Pole Vault,,22.0,True
958,5.81,Renaud LAVILLENIE,1986-09-18,FRA,3,"Bislett Stadion, Oslo (NOR)",2021-07-01,1214,2021,men_PV,Men Pole Vault,,34.8,True
958,5.81,Ben BROEDERS,1995-06-21,BEL,1,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",2021-08-21,1214,2021,men_PV,Men Pole Vault,,26.2,True
958,5.81,Christopher NILSEN,1998-01-13,USA,3,"Stade Charléty, Paris (FRA)",2021-08-28,1214,2021,men_PV,Men Pole Vault,,23.6,True
958,5.81,KC LIGHTFOOT,1999-11-11,USA,3,"Olympiastadion, Berlin (GER)",2021-09-12,1214,2021,men_PV,Men Pole Vault,,21.8,True
958,5.81,Ernest John OBIENA,1995-11-17,PHI,4,"Olympiastadion, Berlin (GER)",2021-09-12,1214,2021,men_PV,Men Pole Vault,,25.8,True
958,5.81,Menno VLOON,1994-05-11,NED,1,Cesano Maderno (ITA),2021-09-25,1214,2021,men_PV,Men Pole Vault,,27.4,True
958,5.81,Christopher NILSEN,1998-01-13,USA,2,"Hayward Field, Eugene, OR (USA)",2022-05-27,1214,2022,men_PV,Men Pole Vault,,24.4,True
958,5.81,Sondre GUTTORMSEN,1999-06-01,NOR,3,"Hayward Field, Eugene, OR (USA)",2022-05-27,1214,2022,men_PV,Men Pole Vault,,23.0,True
958,5.81,Renaud LAVILLENIE,1986-09-18,FRA,2,"Stadion Śląski, Chorzów (POL)",2022-06-05,1214,2022,men_PV,Men Pole Vault,,35.7,True
958,5.81,Pål Haugen LILLEFOSSE,2001-06-04,NOR,3,"Stadion Śląski, Chorzów (POL)",2022-06-05,1214,2022,men_PV,Men Pole Vault,,21.0,True
958,5.81,Ernest John OBIENA,1995-11-17,PHI,1,"Stadion, Jockgrim (GER)",2022-08-23,1214,2022,men_PV,Men Pole Vault,,26.8,True
958,5.81,Ernest John OBIENA,1995-11-17,PHI,1,"Stadion Manfort, Leverkusen (GER)",2022-08-28,1214,2022,men_PV,Men Pole Vault,,26.8,True
958,5.81,Rutger KOPPELAAR,1993-05-01,NED,2,"Stadion Manfort, Leverkusen (GER)",2022-08-28,1214,2022,men_PV,Men Pole Vault,,29.3,True
958,5.81,Kurtis MARSCHALL,1997-04-25,AUS,3,"Stadion Manfort, Leverkusen (GER)",2022-08-28,1214,2022,men_PV,Men Pole Vault,,25.3,True
958,5.81,Menno VLOON,1994-05-11,NED,2,"Schloßplatz, St. Wendel (GER)",2022-08-31,1214,2022,men_PV,Men Pole Vault,,28.3,True
958,5.81,Anthony AMMIRATI,2003-07-16,FRA,3,"Schloßplatz, St. Wendel (GER)",2022-08-31,1214,2022,men_PV,Men Pole Vault,,19.1,True
958,5.81,Armand DUPLANTIS,1999-11-10,SWE,2,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1214,2022,men_PV,Men Pole Vault,,22.8,True
958,5.81,Ernest John OBIENA,1995-11-17,PHI,2,"Olympiastadion, Berlin (GER)",2022-09-04,1214,2022,men_PV,Men Pole Vault,,26.8,True
958,5.81,Kurtis MARSCHALL,1997-04-25,AUS,3,"Olympiastadion, Berlin (GER)",2022-09-04,1214,2022,men_PV,Men Pole Vault,,25.4,True
958,5.81,Christopher NILSEN,1998-01-13,USA,3,"Letzigrund, Zürich (SUI)",2022-09-08,1214,2022,men_PV,Men Pole Vault,,24.7,True
958,5.81,Renaud LAVILLENIE,1986-09-18,FRA,4,"Letzigrund, Zürich (SUI)",2022-09-08,1214,2022,men_PV,Men Pole Vault,,36.0,True
958,5.81,Ernest John OBIENA,1995-11-17,PHI,1,"Stadio Comunale, Bellinzona (SUI)",2022-09-12,1214,2022,men_PV,Men Pole Vault,,26.8,True
958,5.81,Renaud LAVILLENIE,1986-09-18,FRA,1,Toulouse (FRA),2022-09-17,1214,2022,men_PV,Men Pole Vault,,36.0,True
958,5.81,Christopher NILSEN,1998-01-13,USA,2,Toulouse (FRA),2022-09-17,1214,2022,men_PV,Men Pole Vault,,24.7,True
958,5.81,Piotr LISEK,1992-08-16,POL,1,Białystok (POL),2023-05-21,1214,2023,men_PV,Men Pole Vault,,30.8,True
958,5.81,Austin MILLER,1994-06-01,USA,2,Białystok (POL),2023-05-21,1214,2023,men_PV,Men Pole Vault,,29.0,True
958,5.81,Kurtis MARSCHALL,1997-04-25,AUS,2,"FBK Stadium, Hengelo (NED)",2023-06-04,1214,2023,men_PV,Men Pole Vault,,26.1,True
958,5.81,Menno VLOON,1994-05-11,NED,3,"FBK Stadium, Hengelo (NED)",2023-06-04,1214,2023,men_PV,Men Pole Vault,,29.1,True
958,5.81,Ernest John OBIENA,1995-11-17,PHI,3,"Bislett Stadion, Oslo (NOR)",2023-06-15,1214,2023,men_PV,Men Pole Vault,,27.6,True
958,5.81,Thibaut COLLET,1999-06-17,FRA,1,Olympia (GRE),2023-06-18,1214,2023,men_PV,Men Pole Vault,,24.0,True
1117,5.8,Kurtis MARSCHALL,1997-04-25,AUS,1,"WA Sports Centre, Perth (AUS)",2021-01-08,1212,2021,men_PV,Men Pole Vault,,23.7,True
1117,5.8,Kurtis MARSCHALL,1997-04-25,AUS,1,"WA Sports Centre, Perth (AUS)",2021-02-20,1212,2021,men_PV,Men Pole Vault,,23.8,True
1117,5.8,KC LIGHTFOOT,1999-11-11,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",2021-03-26,1212,2021,men_PV,Men Pole Vault,,21.4,True
1117,5.8,Christopher NILSEN,1998-01-13,USA,2,"Drake Stadium, Des Moines, IA (USA)",2021-04-24,1212,2021,men_PV,Men Pole Vault,,23.3,True
1117,5.8,Sam KENDRICKS,1992-09-07,USA,1,"Paul-Greifzu-Stadion, Dessau (GER)",2021-05-21,1212,2021,men_PV,Men Pole Vault,,28.7,True
1117,5.8,Oleg ZERNIKEL,1995-04-16,GER,1,"Eintracht-Stadion, Braunschweig (GER)",2021-06-05,1212,2021,men_PV,Men Pole Vault,,26.1,True
1117,5.8,Renaud LAVILLENIE,1986-09-18,FRA,1,"Stade du Brotillon, Pierre-Bénite (FRA)",2021-06-05,1212,2021,men_PV,Men Pole Vault,,34.7,True
1117,5.8,Ernest John OBIENA,1995-11-17,PHI,2,"FBK Stadium, Hengelo (NED)",2021-06-06,1212,2021,men_PV,Men Pole Vault,,25.6,True
1117,5.8,Menno VLOON,1994-05-11,NED,3,"FBK Stadium, Hengelo (NED)",2021-06-06,1212,2021,men_PV,Men Pole Vault,,27.1,True
1117,5.8,Ersu ŞAŞMA,1999-09-30,TUR,1,Ankara (TUR),2021-06-15,1212,2021,men_PV,Men Pole Vault,,21.7,True
1117,5.8,Oleg ZERNIKEL,1995-04-16,GER,1,"Westpfalzstadion, Zweibrücken (GER)",2021-06-19,1212,2021,men_PV,Men Pole Vault,,26.2,True
1117,5.8,Menno VLOON,1994-05-11,NED,2,"Westpfalzstadion, Zweibrücken (GER)",2021-06-19,1212,2021,men_PV,Men Pole Vault,,27.1,True
1117,5.8,Valentin LAVILLENIE,1991-07-16,FRA,2,"Stadion Śląski, Chorzów (POL)",2021-06-20,1212,2021,men_PV,Men Pole Vault,,29.9,True
1117,5.8,Matt LUDWIG,1996-07-05,USA,4,"Hayward Field, Eugene, OR (USA)",2021-06-21,1212,2021,men_PV,Men Pole Vault,,25.0,True
1117,5.8,Jacob WOOTEN,1997-04-22,USA,5,"Hayward Field, Eugene, OR (USA)",2021-06-21,1212,2021,men_PV,Men Pole Vault,,24.2,True
1117,5.8,Piotr LISEK,1992-08-16,POL,1,"Golęcin Stadion, Poznan (POL)",2021-06-25,1212,2021,men_PV,Men Pole Vault,,28.9,True
1117,5.8,Timur MORGUNOV,1996-10-12,RUS,1,"Olympic Stadium, Cheboksary (RUS)",2021-06-26,1212,2021,men_PV,Men Pole Vault,,24.7,True
1117,5.8,Thiago BRAZ,1993-12-16,BRA,1,"Stadion Manfort, Leverkusen (GER)",2021-06-27,1212,2021,men_PV,Men Pole Vault,,27.5,True
