Rank,Mark,wind,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,age,wind_legal
267,19.91,-0.1,Alexander OGANDO,2000-05-03,DOM,1sf1,"Hayward Field, Eugene, OR (USA)",2022-07-19,1234,2022,men_200m,Men 200m,22.2,True
267,19.91,0.9,Udodi Chudi ONWUZURIKE,2003-01-29,NGR,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2023-05-14,1234,2023,men_200m,Men 200m,20.3,True
282,19.92,0.5,Christian COLEMAN,1996-03-06,USA,1f1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",2022-04-22,1233,2022,men_200m,Men 200m,26.1,True
282,19.92,-0.9,Matthew BOLING,2000-06-20,USA,1f1,"Geroge C. Griffin Track, Atlanta, GA (USA)",2022-04-23,1238,2022,men_200m,Men 200m,21.8,True
282,19.92,1.4,Joseph FAHNBULLEH,2001-09-11,LBR,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2022-04-30,1233,2022,men_200m,Men 200m,20.6,True
282,19.92,-0.1,Joseph FAHNBULLEH,2001-09-11,LBR,2sf1,"Hayward Field, Eugene, OR (USA)",2022-07-19,1233,2022,men_200m,Men 200m,20.9,True
282,19.92,0.3,Fred KERLEY,1995-05-07,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,1233,2023,men_200m,Men 200m,28.0,True
299,19.93,-0.6,Kenneth BEDNAREK,1998-10-14,USA,1,"Mestský Stadion, Ostrava (CZE)",2021-05-19,1234,2021,men_200m,Men 200m,22.6,True
299,19.93,-0.5,Erriyon KNIGHTON,2004-01-29,USA,4,"National Stadium, Tokyo (JPN)",2021-08-04,1234,2021,men_200m,Men 200m,17.5,True
299,19.93,-0.3,Josephus LYLES,1998-07-22,USA,5,"Hayward Field, Eugene, OR (USA)",2022-06-26,1232,2022,men_200m,Men 200m,23.9,True
299,19.93,0.4,Alexander OGANDO,2000-05-03,DOM,5,"Hayward Field, Eugene, OR (USA)",2022-07-21,1231,2022,men_200m,Men 200m,22.2,True
320,19.94,0.7,Kenneth BEDNAREK,1998-10-14,USA,2f1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2021-05-09,1229,2021,men_200m,Men 200m,22.6,True
320,19.94,-0.4,Terrance LAIRD,1998-10-12,USA,2,"Hayward Field, Eugene, OR (USA)",2021-06-11,1231,2021,men_200m,Men 200m,22.7,True
320,19.94,1.3,Courtney LINDSEY,1998-11-18,USA,2f1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",2023-04-29,1229,2023,men_200m,Men 200m,24.4,True
320,19.94,0.6,Tarsis Gracious OROGOT,2002-11-24,UGA,2sf2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1229,2023,men_200m,Men 200m,20.5,True
335,19.95,1.1,Noah LYLES,1997-07-18,USA,1h2,"Hayward Field, Eugene, OR (USA)",2022-06-25,1228,2022,men_200m,Men 200m,24.9,True
335,19.95,0.8,Michael NORMAN,1997-12-03,USA,3,"Stade Louis II, Monaco (MON)",2022-08-10,1228,2022,men_200m,Men 200m,24.7,True
335,19.95,0.7,Reynier MENA,1996-11-21,CUB,1f1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",2022-08-24,1228,2022,men_200m,Men 200m,25.8,True
335,19.95,1.3,Jereem RICHARDS,1994-01-13,TTO,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1228,2022,men_200m,Men 200m,28.6,True
335,19.95,1.6,Reynier MENA,1996-11-21,CUB,1,"Centro Sportivo Fontanassa, Savona (ITA)",2023-05-24,1228,2023,men_200m,Men 200m,26.5,True
335,19.95,0.7,Erriyon KNIGHTON,2004-01-29,USA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2023-06-06,1228,2023,men_200m,Men 200m,19.4,True
335,19.95,1.0,Robert GREGORY,2001-12-12,USA,1sf1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1228,2023,men_200m,Men 200m,21.5,True
359,19.96,-1.0,Blessing Akwasi AFRIFAH,2003-10-26,ISR,1,"Pascual Guerrero Stadium, Cali (COL)",2022-08-04,1232,2022,men_200m,Men 200m,18.8,True
359,19.96,-1.0,Letsile TEBOGO,2003-06-07,BOT,2,"Pascual Guerrero Stadium, Cali (COL)",2022-08-04,1232,2022,men_200m,Men 200m,19.2,True
379,19.97,1.2,Andre DE GRASSE,1994-11-10,CAN,1f1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1225,2021,men_200m,Men 200m,26.7,True
379,19.97,1.7,Erriyon KNIGHTON,2004-01-29,USA,1sf2,"Hayward Field, Eugene, OR (USA)",2022-06-26,1225,2022,men_200m,Men 200m,18.4,True
379,19.97,1.2,Méba Mickaël ZEZE,1994-05-19,FRA,2f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",2022-07-03,1225,2022,men_200m,Men 200m,28.1,True
379,19.97,1.3,Issamade ASINGA,2004-12-29,SUR,3f1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",2023-04-29,1225,2023,men_200m,Men 200m,18.3,True
408,19.98,-0.5,Joseph FAHNBULLEH,2001-09-11,LBR,5,"National Stadium, Tokyo (JPN)",2021-08-04,1226,2021,men_200m,Men 200m,19.9,True
408,19.98,-0.3,Noah LYLES,1997-07-18,USA,1h7,"Hayward Field, Eugene, OR (USA)",2022-07-18,1224,2022,men_200m,Men 200m,25.0,True
408,19.98,0.6,Javonte' HARDING,2001-08-29,USA,3sf2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1223,2023,men_200m,Men 200m,21.8,True
434,19.99,0.9,Isiah YOUNG,1990-01-05,USA,2sf1,"Hayward Field, Eugene, OR (USA)",2021-06-26,1222,2021,men_200m,Men 200m,31.5,True
434,19.99,1.2,Kenneth BEDNAREK,1998-10-14,USA,2f1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1222,2021,men_200m,Men 200m,22.7,True
434,19.99,-0.4,Aaron BROWN,1992-05-27,CAN,1sf2,"National Stadium, Tokyo (JPN)",2021-08-03,1224,2021,men_200m,Men 200m,29.2,True
434,19.99,-0.4,Joseph FAHNBULLEH,2001-09-11,LBR,2sf2,"National Stadium, Tokyo (JPN)",2021-08-03,1224,2021,men_200m,Men 200m,19.9,True
434,19.99,-0.4,Noah LYLES,1997-07-18,USA,3sf2,"National Stadium, Tokyo (JPN)",2021-08-03,1224,2021,men_200m,Men 200m,24.0,True
434,19.99,0.4,Letsile TEBOGO,2003-06-07,BOT,1h2,"Pascual Guerrero Stadium, Cali (COL)",2022-08-03,1222,2022,men_200m,Men 200m,19.2,True
434,19.99,0.6,Shaun MASWANGANYI,2001-02-01,RSA,2sf3,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1222,2023,men_200m,Men 200m,22.3,True
464,20.0,1.4,Dorian CAMEL,1999-03-03,USA,3f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2022-04-30,1220,2022,men_200m,Men 200m,23.2,True
464,20.0,0.6,Kyree KING,1994-07-09,USA,2,"Grand Bahama Sports Complex, Freeport (BAH)",2022-08-21,1220,2022,men_200m,Men 200m,28.1,True
464,20.0,1.9,Christian COLEMAN,1996-03-06,USA,1,"Ansin Sports Complex, Miramar, FL (USA)",2023-04-08,1220,2023,men_200m,Men 200m,27.1,True
464,20.0,1.9,Letsile TEBOGO,2003-06-07,BOT,2,"Ansin Sports Complex, Miramar, FL (USA)",2023-04-08,1220,2023,men_200m,Men 200m,19.8,True
464,20.0,-0.3,Aaron BROWN,1992-05-27,CAN,2f1,"National Stadium, Gaborone (BOT)",2023-04-29,1221,2023,men_200m,Men 200m,30.9,True
492,20.01,-0.4,Kenneth BEDNAREK,1998-10-14,USA,1h6,"National Stadium, Tokyo (JPN)",2021-08-03,1220,2021,men_200m,Men 200m,22.8,True
492,20.01,1.6,Rai BENJAMIN,1997-07-27,USA,3,"Hilmer Lodge Stadium, Walnut, CA (USA)",2022-04-16,1218,2022,men_200m,Men 200m,24.7,True
492,20.01,0.3,Matthew BOLING,2000-06-20,USA,1,"Ole Miss T&F Complex, Oxford, MS (USA)",2022-05-14,1218,2022,men_200m,Men 200m,21.9,True
492,20.01,-0.1,Kenneth BEDNAREK,1998-10-14,USA,1,"Stadio Olimpico, Roma (ITA)",2022-06-09,1218,2022,men_200m,Men 200m,23.7,True
492,20.01,0.5,Alexander OGANDO,2000-05-03,DOM,1h4,"Hayward Field, Eugene, OR (USA)",2022-07-18,1218,2022,men_200m,Men 200m,22.2,True
492,20.01,-1.4,Letsile TEBOGO,2003-06-07,BOT,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1226,2023,men_200m,Men 200m,20.1,True
528,20.02,0.9,Andrew HUDSON,1996-12-14,USA,3sf1,"Hayward Field, Eugene, OR (USA)",2021-06-26,1217,2021,men_200m,Men 200m,24.5,True
528,20.02,-0.2,Erriyon KNIGHTON,2004-01-29,USA,1sf1,"National Stadium, Tokyo (JPN)",2021-08-03,1218,2021,men_200m,Men 200m,17.5,True
528,20.02,1.3,Kyree KING,1994-07-09,USA,2,"Icahn Stadium, New York, NY (USA)",2022-06-12,1217,2022,men_200m,Men 200m,27.9,True
528,20.02,0.8,Alexander OGANDO,2000-05-03,DOM,4,"Stade Louis II, Monaco (MON)",2022-08-10,1217,2022,men_200m,Men 200m,22.3,True
528,20.02,-0.6,Aaron BROWN,1992-05-27,CAN,2,"Letzigrund, Zürich (SUI)",2022-09-08,1220,2022,men_200m,Men 200m,30.3,True
528,20.02,-0.6,Alexander OGANDO,2000-05-03,DOM,3,"Letzigrund, Zürich (SUI)",2022-09-08,1220,2022,men_200m,Men 200m,22.3,True
560,20.03,0.3,Isiah YOUNG,1990-01-05,USA,5,"Hayward Field, Eugene, OR (USA)",2021-06-27,1215,2021,men_200m,Men 200m,31.5,True
560,20.03,1.2,Erriyon KNIGHTON,2004-01-29,USA,3f1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1215,2021,men_200m,Men 200m,17.4,True
560,20.03,1.5,Josephus LYLES,1998-07-22,USA,3,"Hayward Field, Eugene, OR (USA)",2021-08-21,1215,2021,men_200m,Men 200m,23.1,True
560,20.03,0.1,Josephus LYLES,1998-07-22,USA,1,"Vanderbilt Track, Nashville, TN (USA)",2022-06-05,1215,2022,men_200m,Men 200m,23.9,True
560,20.03,0.6,Alexander OGANDO,2000-05-03,DOM,2,"Stade Charléty, Paris (FRA)",2022-06-18,1215,2022,men_200m,Men 200m,22.1,True
560,20.03,1.8,Aaron BROWN,1992-05-27,CAN,1,"McLeod Stadium, Langley (CAN)",2022-06-26,1215,2022,men_200m,Men 200m,30.1,True
560,20.03,0.0,Andrew HUDSON,1996-12-14,JAM,1,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",2022-07-30,1215,2022,men_200m,Men 200m,25.6,True
560,20.03,1.0,Terrence JONES,2002-11-08,BAH,2sf1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1215,2023,men_200m,Men 200m,20.6,True
560,20.03,0.9,Tarsis Gracious OROGOT,2002-11-24,UGA,5,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1215,2023,men_200m,Men 200m,20.5,True
607,20.04,-0.2,Erriyon KNIGHTON,2004-01-29,USA,1h1,"Hayward Field, Eugene, OR (USA)",2021-06-25,1215,2021,men_200m,Men 200m,17.4,True
607,20.04,0.0,Fred KERLEY,1995-05-07,USA,1f7,"Sun Angel Stadium, Tempe, AZ (USA)",2022-03-18,1214,2022,men_200m,Men 200m,26.9,True
607,20.04,1.6,Jerome BLAKE,1995-08-18,CAN,4,"Hilmer Lodge Stadium, Walnut, CA (USA)",2022-04-16,1214,2022,men_200m,Men 200m,26.7,True
607,20.04,1.1,Reynier MENA,1996-11-21,CUB,1f1,"Estadio Universitario, Lisboa (POR)",2022-06-10,1214,2022,men_200m,Men 200m,25.5,True
607,20.04,1.7,Josephus LYLES,1998-07-22,USA,2sf2,"Hayward Field, Eugene, OR (USA)",2022-06-26,1214,2022,men_200m,Men 200m,23.9,True
648,20.05,1.7,Joseph FAHNBULLEH,2001-09-11,USA,2,"Cushing Stadium, College Station, TX (USA)",2021-05-15,1212,2021,men_200m,Men 200m,19.7,True
648,20.05,1.3,Joseph FAHNBULLEH,2001-09-11,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2021-06-09,1212,2021,men_200m,Men 200m,19.7,True
648,20.05,0.0,Micah WILLIAMS,2001-11-12,USA,1,"Hayward Field, Eugene, OR (USA)",2022-05-15,1212,2022,men_200m,Men 200m,20.5,True
648,20.05,1.7,Kyree KING,1994-07-09,USA,3sf2,"Hayward Field, Eugene, OR (USA)",2022-06-26,1212,2022,men_200m,Men 200m,28.0,True
648,20.05,2.0,Nethaneel MITCHELL-BLAKE,1994-04-02,GBR,1,"Manchester Regional Arena, Manchester (GBR)",2022-06-26,1212,2022,men_200m,Men 200m,28.2,True
648,20.05,2.0,Terrence JONES,2002-11-08,BAH,1f2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-01,1212,2023,men_200m,Men 200m,20.4,True
679,20.06,1.7,Matthew BOLING,2000-06-20,USA,3,"Cushing Stadium, College Station, TX (USA)",2021-05-15,1211,2021,men_200m,Men 200m,20.9,True
679,20.06,2.0,Isaac MAKWALA,1985-09-24,BOT,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2021-09-18,1211,2021,men_200m,Men 200m,36.0,True
679,20.06,0.6,Jereem RICHARDS,1994-01-13,TTO,1f2,"National Training Center, Clermont, FL (USA)",2022-05-01,1211,2022,men_200m,Men 200m,28.3,True
679,20.06,1.7,Kenneth BEDNAREK,1998-10-14,USA,4sf2,"Hayward Field, Eugene, OR (USA)",2022-06-26,1211,2022,men_200m,Men 200m,23.7,True
679,20.06,0.7,Terrance LAIRD,1998-10-12,USA,1,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1211,2023,men_200m,Men 200m,24.6,True
717,20.07,2.0,Alexander OGANDO,2000-05-03,DOM,1f1,"Anteater Stadium, Irvine, CA (USA)",2022-04-30,1209,2022,men_200m,Men 200m,22.0,True
717,20.07,1.3,Brandon CARNES,1995-03-06,USA,3,"Icahn Stadium, New York, NY (USA)",2022-06-12,1209,2022,men_200m,Men 200m,27.3,True
717,20.07,-0.3,Zharnel HUGHES,1995-07-13,GBR,1,"Olympiastadion, München (GER)",2022-08-19,1210,2022,men_200m,Men 200m,27.1,True
717,20.07,-2.8,Erriyon KNIGHTON,2004-01-29,USA,1,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1225,2022,men_200m,Men 200m,18.6,True
717,20.07,2.0,Emmanuel MATADI,1991-04-15,LBR,2f2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-01,1209,2023,men_200m,Men 200m,32.0,True
717,20.07,0.4,Udodi Chudi ONWUZURIKE,2003-01-29,NGR,1h1,"Hornet Stadium - Sac St., Sacramento, CA (USA)",2023-05-26,1209,2023,men_200m,Men 200m,20.3,True
717,20.07,0.9,Shaun MASWANGANYI,2001-02-01,RSA,6,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1209,2023,men_200m,Men 200m,22.3,True
755,20.08,1.7,Lance LANG,,USA,4,"Cushing Stadium, College Station, TX (USA)",2021-05-15,1207,2021,men_200m,Men 200m,,True
755,20.08,0.9,Fred KERLEY,1995-05-07,USA,4sf1,"Hayward Field, Eugene, OR (USA)",2021-06-26,1207,2021,men_200m,Men 200m,26.1,True
