Rank,Mark,wind,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,age,wind_legal
86,9.84,0.9,Lamont Marcell JACOBS,1994-09-26,ITA,3sf3,"National Stadium, Tokyo (JPN)",2021-08-01,1262,2021,men_100m,Men 100m,26.8,True
86,9.84,-0.5,Ferdinand OMANYALA,1996-01-02,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2023-05-13,1265,2023,men_100m,Men 100m,27.4,True
104,9.85,1.5,Marvin BRACY,1993-12-15,USA,2f2,"Ansin Sports Complex, Miramar, FL (USA)",2021-06-05,1259,2021,men_100m,Men 100m,27.5,True
104,9.85,0.8,Ronnie BAKER,1993-10-15,USA,2,"Hayward Field, Eugene, OR (USA)",2021-06-20,1259,2021,men_100m,Men 100m,27.7,True
104,9.85,-0.4,Marvin BRACY,1993-12-15,USA,1,"Christian Brothers HS, Memphis, TN (USA)",2021-08-15,1261,2021,men_100m,Men 100m,27.7,True
104,9.85,2.0,Ferdinand OMANYALA,1996-01-02,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2022-05-07,1259,2022,men_100m,Men 100m,26.3,True
104,9.85,1.8,Marvin BRACY-WILLIAMS,1993-12-15,USA,2,"Hayward Field, Eugene, OR (USA)",2022-06-24,1259,2022,men_100m,Men 100m,28.5,True
104,9.85,1.0,Yohan BLAKE,1989-12-26,JAM,1,"National Stadium, Kingston (JAM)",2022-06-24,1259,2022,men_100m,Men 100m,32.5,True
132,9.86,0.8,Fred KERLEY,1995-05-07,USA,3,"Hayward Field, Eugene, OR (USA)",2021-06-20,1255,2021,men_100m,Men 100m,26.1,True
132,9.86,0.6,Ferdinand OMANYALA,1996-01-02,KEN,1f1,"Pramtalstadion, Andorf (AUT)",2021-08-14,1255,2021,men_100m,Men 100m,25.6,True
132,9.86,0.8,Marvin BRACY,1993-12-15,USA,1,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1255,2021,men_100m,Men 100m,27.7,True
132,9.86,0.2,Oblique SEVILLE,2001-03-16,JAM,1,"National Stadium, Kingston (JAM)",2022-05-21,1255,2022,men_100m,Men 100m,21.2,True
132,9.86,0.7,Micah WILLIAMS,2001-11-12,USA,1h2,"John McDonnell Field, Fayetteville, AR (USA)",2022-05-27,1255,2022,men_100m,Men 100m,20.5,True
132,9.86,1.5,Marvin BRACY-WILLIAMS,1993-12-15,USA,2sf2,"Hayward Field, Eugene, OR (USA)",2022-06-24,1255,2022,men_100m,Men 100m,28.5,True
132,9.86,-0.1,Fred KERLEY,1995-05-07,USA,1,"Hayward Field, Eugene, OR (USA)",2022-07-16,1255,2022,men_100m,Men 100m,27.2,True
169,9.87,-0.4,Fred KERLEY,1995-05-07,USA,1,"Letzigrund, Zürich (SUI)",2021-09-09,1254,2021,men_100m,Men 100m,26.3,True
169,9.87,1.5,Christian COLEMAN,1996-03-06,USA,3sf2,"Hayward Field, Eugene, OR (USA)",2022-06-24,1252,2022,men_100m,Men 100m,26.3,True
193,9.88,1.5,Trayvon BROMELL,1995-07-10,USA,1,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",2021-04-30,1248,2021,men_100m,Men 100m,25.8,True
193,9.88,1.9,Ronnie BAKER,1993-10-15,USA,1h4,"Hayward Field, Eugene, OR (USA)",2021-06-19,1248,2021,men_100m,Men 100m,27.7,True
193,9.88,1.8,Trayvon BROMELL,1995-07-10,USA,3,"Hayward Field, Eugene, OR (USA)",2022-06-24,1248,2022,men_100m,Men 100m,27.0,True
193,9.88,1.0,Oblique SEVILLE,2001-03-16,JAM,2,"National Stadium, Kingston (JAM)",2022-06-24,1248,2022,men_100m,Men 100m,21.3,True
193,9.88,-0.1,Marvin BRACY-WILLIAMS,1993-12-15,USA,2,"Hayward Field, Eugene, OR (USA)",2022-07-16,1248,2022,men_100m,Men 100m,28.6,True
193,9.88,-0.1,Trayvon BROMELL,1995-07-10,USA,3,"Hayward Field, Eugene, OR (USA)",2022-07-16,1248,2022,men_100m,Men 100m,27.0,True
193,9.88,1.5,Fred KERLEY,1995-05-07,USA,1h1,"International Stadium, Yokohama (JPN)",2023-05-21,1248,2023,men_100m,Men 100m,28.0,True
227,9.89,0.2,Isiah YOUNG,1990-01-05,USA,1f1,"National Training Center, Clermont, FL (USA)",2021-05-30,1245,2021,men_100m,Men 100m,31.4,True
227,9.89,0.8,Kenneth BEDNAREK,1998-10-14,USA,4,"Hayward Field, Eugene, OR (USA)",2021-06-20,1245,2021,men_100m,Men 100m,22.7,True
227,9.89,0.1,Andre DE GRASSE,1994-11-10,CAN,3,"National Stadium, Tokyo (JPN)",2021-08-01,1245,2021,men_100m,Men 100m,26.7,True
227,9.89,-0.4,Andre DE GRASSE,1994-11-10,CAN,2,"Letzigrund, Zürich (SUI)",2021-09-09,1247,2021,men_100m,Men 100m,26.8,True
227,9.89,0.6,Trayvon BROMELL,1995-07-10,USA,1h3,"Hayward Field, Eugene, OR (USA)",2022-07-15,1245,2022,men_100m,Men 100m,27.0,True
227,9.89,1.0,Ackeem BLAKE,2002-01-21,JAM,1,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1245,2023,men_100m,Men 100m,21.3,True
227,9.89,1.3,Pjai AUSTIN,,USA,1sf1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1245,2023,men_100m,Men 100m,,True
227,9.89,1.8,Courtney LINDSEY,1998-11-18,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1245,2023,men_100m,Men 100m,24.6,True
261,9.9,-0.3,Trayvon BROMELL,1995-07-10,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2021-06-20,1242,2021,men_100m,Men 100m,25.9,True
261,9.9,0.9,Akani SIMBINE,1993-09-21,RSA,4sf3,"National Stadium, Tokyo (JPN)",2021-08-01,1241,2021,men_100m,Men 100m,27.9,True
261,9.9,2.0,Benjamin AZAMATI,1998-01-14,GHA,1h1,"Mike A. Myers Stadium, Austin, TX (USA)",2022-03-25,1241,2022,men_100m,Men 100m,24.2,True
261,9.9,1.8,Micah WILLIAMS,2001-11-12,USA,4,"Hayward Field, Eugene, OR (USA)",2022-06-24,1241,2022,men_100m,Men 100m,20.6,True
261,9.9,1.8,Elijah HALL,1994-08-22,USA,5,"Hayward Field, Eugene, OR (USA)",2022-06-24,1241,2022,men_100m,Men 100m,27.8,True
261,9.9,-0.1,Oblique SEVILLE,2001-03-16,JAM,1sf3,"Hayward Field, Eugene, OR (USA)",2022-07-16,1241,2022,men_100m,Men 100m,21.3,True
261,9.9,1.8,Godson Oke OGHENEBRUME,2003-05-27,NGR,2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1241,2023,men_100m,Men 100m,20.0,True
261,9.9,0.9,Cravont CHARLESTON,1998-01-02,USA,1,"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",2023-06-17,1241,2023,men_100m,Men 100m,25.5,True
305,9.91,2.0,Fred KERLEY,1995-05-07,USA,1f1,"Tropical Park Track, Miami, FL (USA)",2021-04-24,1238,2021,men_100m,Men 100m,26.0,True
305,9.91,0.8,Micah WILLIAMS,2001-11-12,USA,5,"Hayward Field, Eugene, OR (USA)",2021-06-20,1238,2021,men_100m,Men 100m,19.6,True
305,9.91,0.3,Ronnie BAKER,1993-10-15,USA,1,"Stade Louis II, Monaco (MON)",2021-07-09,1238,2021,men_100m,Men 100m,27.7,True
305,9.91,0.6,Andre DE GRASSE,1994-11-10,CAN,1h5,"National Stadium, Tokyo (JPN)",2021-07-31,1238,2021,men_100m,Men 100m,26.7,True
305,9.91,-0.4,Ronnie BAKER,1993-10-15,USA,3,"Letzigrund, Zürich (SUI)",2021-09-09,1240,2021,men_100m,Men 100m,27.9,True
305,9.91,0.8,Letsile TEBOGO,2003-06-07,BOT,1,"Pascual Guerrero Stadium, Cali (COL)",2022-08-02,1238,2022,men_100m,Men 100m,19.2,True
305,9.91,1.0,Terrence JONES,2002-11-08,BAH,1f1,"Percy Beard Track, Gainesville, FL (USA)",2023-04-15,1238,2023,men_100m,Men 100m,20.4,True
305,9.91,0.4,Fred KERLEY,1995-05-07,USA,1,"International Stadium, Yokohama (JPN)",2023-05-21,1238,2023,men_100m,Men 100m,28.0,True
305,9.91,1.0,Cravont CHARLESTON,1998-01-02,USA,2,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1238,2023,men_100m,Men 100m,25.4,True
305,9.91,1.0,Christian COLEMAN,1996-03-06,USA,3,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1238,2023,men_100m,Men 100m,27.2,True
305,9.91,1.8,Shaun MASWANGANYI,2001-02-01,RSA,3,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1238,2023,men_100m,Men 100m,22.3,True
360,9.92,1.5,Trayvon BROMELL,1995-07-10,USA,1,"Irvine, CA (USA)",2021-05-15,1234,2021,men_100m,Men 100m,25.8,True
360,9.92,0.7,Fred KERLEY,1995-05-07,USA,1sf2,"Hayward Field, Eugene, OR (USA)",2021-06-20,1234,2021,men_100m,Men 100m,26.1,True
360,9.92,2.0,Fred KERLEY,1995-05-07,USA,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2022-05-07,1234,2022,men_100m,Men 100m,27.0,True
360,9.92,-0.2,Trayvon BROMELL,1995-07-10,USA,1,"Estadio Francisco Montaner, Ponce (PUR)",2022-05-12,1235,2022,men_100m,Men 100m,26.8,True
360,9.92,-0.2,Fred KERLEY,1995-05-07,USA,1,"Stadio Olimpico, Roma (ITA)",2022-06-09,1235,2022,men_100m,Men 100m,27.1,True
360,9.92,1.4,Christian COLEMAN,1996-03-06,USA,1,"Icahn Stadium, New York, NY (USA)",2022-06-12,1234,2022,men_100m,Men 100m,26.3,True
360,9.92,0.6,Oblique SEVILLE,2001-03-16,JAM,1sf2,"National Stadium, Kingston (JAM)",2022-06-24,1234,2022,men_100m,Men 100m,21.3,True
360,9.92,0.6,Akani SIMBINE,1993-09-21,RSA,1sf1,"McArthur Stadium, Potchefstroom (RSA)",2023-03-30,1234,2023,men_100m,Men 100m,29.5,True
360,9.92,1.4,Udodi Chudi ONWUZURIKE,2003-01-29,NGR,1h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",2023-05-26,1234,2023,men_100m,Men 100m,20.3,True
417,9.93,1.9,Fred KERLEY,1995-05-07,USA,2h4,"Hayward Field, Eugene, OR (USA)",2021-06-19,1231,2021,men_100m,Men 100m,26.1,True
417,9.93,0.1,Akani SIMBINE,1993-09-21,RSA,4,"National Stadium, Tokyo (JPN)",2021-08-01,1231,2021,men_100m,Men 100m,27.9,True
417,9.93,0.7,Micah WILLIAMS,2001-11-12,USA,1,"Hayward Field, Eugene, OR (USA)",2022-05-15,1231,2022,men_100m,Men 100m,20.5,True
417,9.93,-0.2,Trayvon BROMELL,1995-07-10,USA,1,"Hayward Field, Eugene, OR (USA)",2022-05-28,1232,2022,men_100m,Men 100m,26.9,True
417,9.93,-1.2,Reece PRESCOD,1996-02-29,GBR,1f1,"Mestský Stadion, Ostrava (CZE)",2022-05-31,1238,2022,men_100m,Men 100m,26.3,True
417,9.93,0.7,Yohan BLAKE,1989-12-26,JAM,1h2,"National Stadium, Kingston (JAM)",2022-06-23,1231,2022,men_100m,Men 100m,32.5,True
417,9.93,1.0,Ackeem BLAKE,2002-01-21,JAM,3,"National Stadium, Kingston (JAM)",2022-06-24,1231,2022,men_100m,Men 100m,20.4,True
417,9.93,0.2,Oblique SEVILLE,2001-03-16,JAM,1h4,"Hayward Field, Eugene, OR (USA)",2022-07-15,1231,2022,men_100m,Men 100m,21.3,True
417,9.93,-0.1,Marvin BRACY-WILLIAMS,1993-12-15,USA,2sf3,"Hayward Field, Eugene, OR (USA)",2022-07-16,1231,2022,men_100m,Men 100m,28.6,True
417,9.93,1.4,Terrence JONES,2002-11-08,BAH,2h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",2023-05-26,1231,2023,men_100m,Men 100m,20.5,True
417,9.93,0.8,Marvin BRACY-WILLIAMS,1993-12-15,USA,1,"Stade des Grands Pêchers, Montreuil (FRA)",2023-05-31,1231,2023,men_100m,Men 100m,29.5,True
417,9.93,0.8,Godson Oke OGHENEBRUME,2003-05-27,NGR,1sf3,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1231,2023,men_100m,Men 100m,20.0,True
417,9.93,0.1,Eugene AMO-DADZIE,1992-06-22,GBR,1f,"Stadion Eggenberg, Graz (AUT)",2023-06-16,1231,2023,men_100m,Men 100m,31.0,True
417,9.93,1.3,Ackeem BLAKE,2002-01-21,JAM,2,"Icahn Stadium, New York, NY (USA)",2023-06-24,1231,2023,men_100m,Men 100m,21.4,True
499,9.94,1.4,Ronnie BAKER,1993-10-15,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",2021-03-27,1227,2021,men_100m,Men 100m,27.4,True
499,9.94,1.6,Jo'Vaughn MARTIN,,USA,1f2,"Percy Beard Track, Gainesville, FL (USA)",2021-04-17,1227,2021,men_100m,Men 100m,,True
499,9.94,1.3,Gift LEOTLELA,1998-05-12,RSA,1,"UJ Stadium, Johannesburg (RSA)",2021-05-14,1227,2021,men_100m,Men 100m,23.0,True
499,9.94,0.5,Isiah YOUNG,1990-01-05,USA,1,"Boston, MA (USA)",2021-05-23,1227,2021,men_100m,Men 100m,31.4,True
499,9.94,0.7,Ronnie BAKER,1993-10-15,USA,2sf2,"Hayward Field, Eugene, OR (USA)",2021-06-20,1227,2021,men_100m,Men 100m,27.7,True
499,9.94,0.1,Lamont Marcell JACOBS,1994-09-26,ITA,1h3,"National Stadium, Tokyo (JPN)",2021-07-31,1227,2021,men_100m,Men 100m,26.8,True
499,9.94,0.1,Fred KERLEY,1995-05-07,USA,1,"Boudewijnstadion, Bruxelles (BEL)",2021-09-03,1227,2021,men_100m,Men 100m,26.3,True
499,9.94,0.8,Joseph Paul AMOAH,1997-01-12,GHA,1,"Hughes Stadium, Morgan St. Univ., Baltimore, MD (USA)",2022-04-23,1227,2022,men_100m,Men 100m,25.3,True
499,9.94,1.5,Micah WILLIAMS,2001-11-12,USA,4sf2,"Hayward Field, Eugene, OR (USA)",2022-06-24,1227,2022,men_100m,Men 100m,20.6,True
499,9.94,1.1,Letsile TEBOGO,2003-06-07,BOT,1h5,"Hayward Field, Eugene, OR (USA)",2022-07-15,1227,2022,men_100m,Men 100m,19.1,True
499,9.94,-0.3,Trayvon BROMELL,1995-07-10,USA,1,"Letzigrund, Zürich (SUI)",2022-09-08,1228,2022,men_100m,Men 100m,27.2,True
499,9.94,0.1,Fred KERLEY,1995-05-07,USA,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2023-05-28,1227,2023,men_100m,Men 100m,28.1,True
499,9.94,0.0,Fred KERLEY,1995-05-07,USA,1,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1227,2023,men_100m,Men 100m,28.1,True
584,9.95,1.5,Lamont Marcell JACOBS,1994-09-26,ITA,1h2,"Centro Sportivo Fontanassa, Savona (ITA)",2021-05-13,1224,2021,men_100m,Men 100m,26.6,True
584,9.95,2.0,Ryota YAMAGATA,1992-06-10,JPN,1f1,"Athletic Stadium, Tottori (JPN)",2021-06-06,1224,2021,men_100m,Men 100m,29.0,True
584,9.95,1.9,Noah LYLES,1997-07-18,USA,3h4,"Hayward Field, Eugene, OR (USA)",2021-06-19,1224,2021,men_100m,Men 100m,23.9,True
584,9.95,0.1,Yohan BLAKE,1989-12-26,JAM,1,"Marietta HS, Marietta, GA (USA)",2021-07-09,1224,2021,men_100m,Men 100m,31.5,True
584,9.95,0.1,Ronnie BAKER,1993-10-15,USA,5,"National Stadium, Tokyo (JPN)",2021-08-01,1224,2021,men_100m,Men 100m,27.8,True
584,9.95,0.0,Marvin BRACY,1993-12-15,USA,1,"Olympiastadion, Berlin (GER)",2021-09-12,1224,2021,men_100m,Men 100m,27.7,True
584,9.95,0.1,Bingtian SU,1989-08-29,CHN,1,Xi'an (CHN),2021-09-21,1224,2021,men_100m,Men 100m,32.1,True
584,9.95,1.4,Ackeem BLAKE,2002-01-21,JAM,2,"Icahn Stadium, New York, NY (USA)",2022-06-12,1224,2022,men_100m,Men 100m,20.4,True
584,9.95,1.5,Kenneth BEDNAREK,1998-10-14,USA,5sf2,"Hayward Field, Eugene, OR (USA)",2022-06-24,1224,2022,men_100m,Men 100m,23.7,True
584,9.95,-0.7,Trayvon BROMELL,1995-07-10,USA,1,"Stadion Śląski, Chorzów (POL)",2022-08-06,1228,2022,men_100m,Men 100m,27.1,True
584,9.95,0.1,Lamont Marcell JACOBS,1994-09-26,ITA,1,"Olympiastadion, München (GER)",2022-08-16,1224,2022,men_100m,Men 100m,27.9,True
584,9.95,0.3,Noah LYLES,1997-07-18,USA,1,"Olympiastadion, Berlin (GER)",2022-09-04,1224,2022,men_100m,Men 100m,25.1,True
584,9.95,1.8,Oblique SEVILLE,2001-03-16,JAM,1h1,"Ansin Sports Complex, Miramar, FL (USA)",2023-04-08,1224,2023,men_100m,Men 100m,22.1,True
584,9.95,1.6,Noah LYLES,1997-07-18,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",2023-04-15,1224,2023,men_100m,Men 100m,25.7,True
584,9.95,0.1,Cravont CHARLESTON,1998-01-02,USA,1,"Paavo Nurmen Stadion, Turku (FIN)",2023-06-13,1224,2023,men_100m,Men 100m,25.4,True
669,9.96,1.9,Cravon GILLESPIE,1996-07-31,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2021-05-09,1220,2021,men_100m,Men 100m,24.8,True
669,9.96,1.4,Fred KERLEY,1995-05-07,USA,1f1,"Mestský Stadion, Ostrava (CZE)",2021-05-19,1220,2021,men_100m,Men 100m,26.0,True
669,9.96,-0.3,Kenneth BEDNAREK,1998-10-14,USA,2sf1,"Hayward Field, Eugene, OR (USA)",2021-06-20,1221,2021,men_100m,Men 100m,22.7,True
669,9.96,-0.1,Fred KERLEY,1995-05-07,USA,1sf1,"National Stadium, Tokyo (JPN)",2021-08-01,1220,2021,men_100m,Men 100m,26.2,True
669,9.96,0.4,Ferdinand OMANYALA,1996-01-02,KEN,1h4,"Pramtalstadion, Andorf (AUT)",2021-08-14,1220,2021,men_100m,Men 100m,25.6,True
669,9.96,-0.4,Trayvon BROMELL,1995-07-10,USA,4,"Letzigrund, Zürich (SUI)",2021-09-09,1222,2021,men_100m,Men 100m,26.2,True
669,9.96,1.9,Letsile TEBOGO,2003-06-07,BOT,1,"National Stadium, Gaborone (BOT)",2022-04-30,1220,2022,men_100m,Men 100m,18.9,True
669,9.96,1.7,Benjamin AZAMATI,1998-01-14,GHA,1h3,"Javelina Stadium, Kingsville, TX (USA)",2022-05-06,1220,2022,men_100m,Men 100m,24.3,True
669,9.96,1.8,Kyree KING,1994-07-09,USA,6,"Hayward Field, Eugene, OR (USA)",2022-06-24,1220,2022,men_100m,Men 100m,28.0,True
669,9.96,1.6,Yupun ABEYKOON,1994-12-31,SRI,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",2022-07-03,1220,2022,men_100m,Men 100m,27.5,True
669,9.96,-0.7,Yohan BLAKE,1989-12-26,JAM,1,"Stadion Manfort, Leverkusen (GER)",2022-08-28,1224,2022,men_100m,Men 100m,32.7,True
669,9.96,1.3,Favour Oghene Tejiri ASHE,2002-04-28,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1220,2023,men_100m,Men 100m,21.1,True
669,9.96,1.4,Arthur CISSÉ,1996-12-29,CIV,1f1,"Centre sportif Bout-du-Monde, Genève (SUI)",2023-06-10,1220,2023,men_100m,Men 100m,26.4,True
669,9.96,-2.4,Ferdinand OMANYALA,1996-01-02,KEN,1,"Nyayo National Stadium, Nairobi (KEN)",2023-06-24,1234,2023,men_100m,Men 100m,27.5,True
779,9.97,1.5,Benjamin AZAMATI,1998-01-14,GHA,1h8,"Mike A. Myers Stadium, Austin, TX (USA)",2021-03-26,1217,2021,men_100m,Men 100m,23.2,True
779,9.97,1.9,Kyree KING,1994-07-09,USA,1f2,"Ansin Sports Complex, Miramar, FL (USA)",2021-04-10,1217,2021,men_100m,Men 100m,26.8,True
779,9.97,0.7,Noah LYLES,1997-07-18,USA,3sf2,"Hayward Field, Eugene, OR (USA)",2021-06-20,1217,2021,men_100m,Men 100m,23.9,True
779,9.97,0.6,Fred KERLEY,1995-05-07,USA,2h5,"National Stadium, Tokyo (JPN)",2021-07-31,1217,2021,men_100m,Men 100m,26.2,True
779,9.97,0.1,Trayvon BROMELL,1995-07-10,USA,2,"Boudewijnstadion, Bruxelles (BEL)",2021-09-03,1217,2021,men_100m,Men 100m,26.2,True
779,9.97,-0.5,Michael NORMAN,1997-12-03,USA,1,"Stadio Colbachini, Padova (ITA)",2021-09-05,1220,2021,men_100m,Men 100m,23.8,True
779,9.97,0.8,Ronnie BAKER,1993-10-15,USA,2,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1217,2021,men_100m,Men 100m,27.9,True
779,9.97,0.1,Zharnel HUGHES,1995-07-13,GBR,2h2,"Hayward Field, Eugene, OR (USA)",2022-07-15,1217,2022,men_100m,Men 100m,27.0,True
779,9.97,-0.1,Oblique SEVILLE,2001-03-16,JAM,4,"Hayward Field, Eugene, OR (USA)",2022-07-16,1217,2022,men_100m,Men 100m,21.3,True
779,9.97,0.3,Akani SIMBINE,1993-09-21,RSA,1sf1,"Hayward Field, Eugene, OR (USA)",2022-07-16,1217,2022,men_100m,Men 100m,28.8,True
779,9.97,0.3,Trayvon BROMELL,1995-07-10,USA,2sf1,"Hayward Field, Eugene, OR (USA)",2022-07-16,1217,2022,men_100m,Men 100m,27.0,True
779,9.97,1.3,Marvin BRACY-WILLIAMS,1993-12-15,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1217,2022,men_100m,Men 100m,28.6,True
779,9.97,0.0,Marvin BRACY-WILLIAMS,1993-12-15,USA,1,"Sports Park Mladost, Zagreb (CRO)",2022-09-11,1217,2022,men_100m,Men 100m,28.7,True
779,9.97,1.5,Marvin BRACY-WILLIAMS,1993-12-15,USA,1h1,"Stade des Grands Pêchers, Montreuil (FRA)",2023-05-31,1217,2023,men_100m,Men 100m,29.5,True
779,9.97,1.3,Cole BECK,1999-03-05,USA,2sf1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-07,1217,2023,men_100m,Men 100m,24.3,True
779,9.97,1.8,Da'marcus FLEMING,2001-12-21,USA,4,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1217,2023,men_100m,Men 100m,21.5,True
779,9.97,1.8,Pjai AUSTIN,,USA,5,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-09,1217,2023,men_100m,Men 100m,,True
779,9.97,-0.9,Noah LYLES,1997-07-18,USA,1,"Stade Charléty, Paris (FRA)",2023-06-09,1222,2023,men_100m,Men 100m,25.9,True
916,9.98,1.9,Justin GATLIN,1982-02-10,USA,2f2,"Ansin Sports Complex, Miramar, FL (USA)",2021-04-10,1213,2021,men_100m,Men 100m,39.2,True
916,9.98,1.4,Justin GATLIN,1982-02-10,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",2021-04-17,1213,2021,men_100m,Men 100m,39.2,True
916,9.98,-0.9,Bingtian SU,1989-08-29,CHN,1,Zhaoqing (CHN),2021-04-24,1218,2021,men_100m,Men 100m,31.7,True
916,9.98,0.8,Bingtian SU,1989-08-29,CHN,1,"Shangyu Stadium, Shaoxing (CHN)",2021-06-11,1213,2021,men_100m,Men 100m,31.8,True
916,9.98,1.2,Yohan BLAKE,1989-12-26,JAM,1sf1,"National Stadium, Kingston (JAM)",2021-06-25,1213,2021,men_100m,Men 100m,31.5,True
916,9.98,0.3,Akani SIMBINE,1993-09-21,RSA,2,"Stade Louis II, Monaco (MON)",2021-07-09,1213,2021,men_100m,Men 100m,27.8,True
916,9.98,0.4,Trayvon BROMELL,1995-07-10,USA,1,"International Stadium, Gateshead (GBR)",2021-07-13,1213,2021,men_100m,Men 100m,26.0,True
916,9.98,0.3,Enoch ADEGOKE,2000-03-08,NGR,1h2,"National Stadium, Tokyo (JPN)",2021-07-31,1213,2021,men_100m,Men 100m,21.4,True
916,9.98,0.1,Bingtian SU,1989-08-29,CHN,6,"National Stadium, Tokyo (JPN)",2021-08-01,1213,2021,men_100m,Men 100m,31.9,True
916,9.98,-0.1,Andre DE GRASSE,1994-11-10,CAN,2sf1,"National Stadium, Tokyo (JPN)",2021-08-01,1213,2021,men_100m,Men 100m,26.7,True
916,9.98,-0.2,Zharnel HUGHES,1995-07-13,GBR,1sf2,"National Stadium, Tokyo (JPN)",2021-08-01,1214,2021,men_100m,Men 100m,26.1,True
916,9.98,-1.0,Marvin BRACY,1993-12-15,USA,1h1,"Christian Brothers HS, Memphis, TN (USA)",2021-08-15,1219,2021,men_100m,Men 100m,27.7,True
916,9.98,0.2,Marvin BRACY,1993-12-15,USA,1,"Stadio Quercia, Rovereto (ITA)",2021-08-31,1213,2021,men_100m,Men 100m,27.7,True
