Rank,Mark,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,wind,age,wind_legal
75,53.03,Sydney MCLAUGHLIN,1999-08-07,USA,1sf2,"National Stadium, Tokyo (JPN)",2021-08-02,1235,2021,women_400h,Women 400m Hurdles,,22.0,True
75,53.03,Femke BOL,2000-02-23,NED,1,"Letzigrund, Zürich (SUI)",2022-09-08,1235,2022,women_400h,Women 400m Hurdles,,22.5,True
80,53.05,Femke BOL,2000-02-23,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1234,2021,women_400h,Women 400m Hurdles,,21.5,True
88,53.08,Janieve RUSSELL,1993-11-14,JAM,4,"National Stadium, Tokyo (JPN)",2021-08-04,1234,2021,women_400h,Women 400m Hurdles,,27.7,True
88,53.08,Britton WILSON,2000-11-13,USA,2,"Hayward Field, Eugene, OR (USA)",2022-06-25,1234,2022,women_400h,Women 400m Hurdles,,21.6,True
97,53.12,Shamier LITTLE,1995-03-20,USA,1f2,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",2021-05-31,1232,2021,women_400h,Women 400m Hurdles,,26.2,True
97,53.12,Femke BOL,2000-02-23,NED,1f1,"Putbosstadion, Oordegem (BEL)",2023-05-27,1232,2023,women_400h,Women 400m Hurdles,,23.3,True
99,53.13,Dalilah MUHAMMAD,1990-02-07,USA,3,"Hayward Field, Eugene, OR (USA)",2022-07-22,1232,2022,women_400h,Women 400m Hurdles,,32.5,True
116,53.23,Britton WILSON,2000-11-13,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",2023-04-14,1229,2023,women_400h,Women 400m Hurdles,,22.4,True
120,53.24,Femke BOL,2000-02-23,NED,1,"International Stadium, Gateshead (GBR)",2021-07-13,1228,2021,women_400h,Women 400m Hurdles,,21.4,True
127,53.28,Dalilah MUHAMMAD,1990-02-07,USA,1sf1,"Hayward Field, Eugene, OR (USA)",2022-07-20,1227,2022,women_400h,Women 400m Hurdles,,32.4,True
127,53.28,Britton WILSON,2000-11-13,USA,1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-05-13,1227,2023,women_400h,Women 400m Hurdles,,22.5,True
134,53.3,Dalilah MUHAMMAD,1990-02-07,USA,1sf1,"National Stadium, Tokyo (JPN)",2021-08-02,1226,2021,women_400h,Women 400m Hurdles,,31.5,True
150,53.33,Femke BOL,2000-02-23,NED,1,"Bislett Stadion, Oslo (NOR)",2021-07-01,1226,2021,women_400h,Women 400m Hurdles,,21.4,True
150,53.33,Rushell CLAYTON,1992-10-18,JAM,1,"Stade Louis II, Monaco (MON)",2022-08-10,1226,2022,women_400h,Women 400m Hurdles,,29.8,True
159,53.35,Shamier LITTLE,1995-03-20,USA,2,"Letzigrund, Zürich (SUI)",2021-09-09,1225,2021,women_400h,Women 400m Hurdles,,26.5,True
170,53.38,Shamier LITTLE,1995-03-20,USA,2,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1224,2023,women_400h,Women 400m Hurdles,,28.2,True
176,53.39,Andrenette KNIGHT,1996-11-19,JAM,2f1,"Vanderbilt Track, Nashville, TN (USA)",2022-06-05,1224,2022,women_400h,Women 400m Hurdles,,25.5,True
192,53.44,Femke BOL,2000-02-23,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",2021-06-10,1222,2021,women_400h,Women 400m Hurdles,,21.3,True
206,53.48,Anna RYZHYKOVA,1989-11-24,UKR,5,"National Stadium, Tokyo (JPN)",2021-08-04,1221,2021,women_400h,Women 400m Hurdles,,31.7,True
226,53.52,Janieve RUSSELL,1993-11-14,JAM,2,"Stade Louis II, Monaco (MON)",2022-08-10,1219,2022,women_400h,Women 400m Hurdles,,28.7,True
260,53.61,Shamier LITTLE,1995-03-20,USA,2sf2,"Hayward Field, Eugene, OR (USA)",2022-07-20,1217,2022,women_400h,Women 400m Hurdles,,27.3,True
277,53.63,Janieve RUSSELL,1993-11-14,JAM,1,"National Stadium, Kingston (JAM)",2022-06-24,1216,2022,women_400h,Women 400m Hurdles,,28.6,True
277,53.63,Rushell CLAYTON,1992-10-18,JAM,3sf2,"Hayward Field, Eugene, OR (USA)",2022-07-20,1216,2022,women_400h,Women 400m Hurdles,,29.8,True
288,53.65,Shamier LITTLE,1995-03-20,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2021-05-09,1215,2021,women_400h,Women 400m Hurdles,,26.1,True
306,53.68,Janieve RUSSELL,1993-11-14,JAM,3,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1214,2021,women_400h,Women 400m Hurdles,,27.6,True
312,53.69,Gianna WOODRUFF,1993-11-18,PAN,2sf3,"Hayward Field, Eugene, OR (USA)",2022-07-20,1214,2022,women_400h,Women 400m Hurdles,,28.7,True
321,53.7,Anna COCKRELL,1997-08-28,USA,3,"Hayward Field, Eugene, OR (USA)",2021-06-27,1214,2021,women_400h,Women 400m Hurdles,,23.8,True
321,53.7,Anna RYZHYKOVA,1989-11-24,UKR,3,"Letzigrund, Zürich (SUI)",2021-09-09,1214,2021,women_400h,Women 400m Hurdles,,31.8,True
330,53.71,Shamier LITTLE,1995-03-20,USA,1sf2,"Hayward Field, Eugene, OR (USA)",2021-06-26,1213,2021,women_400h,Women 400m Hurdles,,26.3,True
330,53.71,Britton WILSON,2000-11-13,USA,1h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",2023-05-27,1213,2023,women_400h,Women 400m Hurdles,,22.5,True
339,53.72,Britton WILSON,2000-11-13,USA,4sf2,"Hayward Field, Eugene, OR (USA)",2022-07-20,1213,2022,women_400h,Women 400m Hurdles,,21.7,True
339,53.72,Gianna WOODRUFF,1993-11-18,PAN,2,"Letzigrund, Zürich (SUI)",2022-09-08,1213,2022,women_400h,Women 400m Hurdles,,28.8,True
351,53.73,Femke BOL,2000-02-23,NED,1sf3,"Olympiastadion, München (GER)",2022-08-18,1213,2022,women_400h,Women 400m Hurdles,,22.5,True
370,53.75,Britton WILSON,2000-11-13,USA,1,"Ole Miss T&F Complex, Oxford, MS (USA)",2022-05-14,1212,2022,women_400h,Women 400m Hurdles,,21.5,True
370,53.75,Rushell CLAYTON,1992-10-18,JAM,1,"Stadio Quercia, Rovereto (ITA)",2022-08-30,1212,2022,women_400h,Women 400m Hurdles,,29.9,True
377,53.76,Viktoriya TKACHUK,1994-11-08,UKR,4,"Letzigrund, Zürich (SUI)",2021-09-09,1212,2021,women_400h,Women 400m Hurdles,,26.8,True
377,53.76,Shamier LITTLE,1995-03-20,USA,4,"Hayward Field, Eugene, OR (USA)",2022-07-22,1212,2022,women_400h,Women 400m Hurdles,,27.3,True
377,53.76,Britton WILSON,2000-11-13,USA,1h2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-05-11,1212,2023,women_400h,Women 400m Hurdles,,22.5,True
384,53.77,Janieve RUSSELL,1993-11-14,JAM,3,"Letzigrund, Zürich (SUI)",2022-09-08,1211,2022,women_400h,Women 400m Hurdles,,28.8,True
392,53.78,Shamier LITTLE,1995-03-20,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1211,2021,women_400h,Women 400m Hurdles,,26.4,True
406,53.79,Viktoriya TKACHUK,1994-11-08,UKR,6,"National Stadium, Tokyo (JPN)",2021-08-04,1211,2021,women_400h,Women 400m Hurdles,,26.7,True
406,53.79,Shamier LITTLE,1995-03-20,USA,2,"Hayward Field, Eugene, OR (USA)",2021-08-21,1211,2021,women_400h,Women 400m Hurdles,,26.4,True
426,53.82,Shiann SALMON,1999-03-31,JAM,2,"National Stadium, Kingston (JAM)",2022-06-24,1210,2022,women_400h,Women 400m Hurdles,,23.2,True
438,53.83,Dalilah MUHAMMAD,1990-02-07,USA,4,"Letzigrund, Zürich (SUI)",2022-09-08,1210,2022,women_400h,Women 400m Hurdles,,32.6,True
449,53.84,Dalilah MUHAMMAD,1990-02-07,USA,1,"Stadio Colbachini, Padova (ITA)",2022-09-04,1209,2022,women_400h,Women 400m Hurdles,,32.6,True
449,53.84,Rushell CLAYTON,1992-10-18,JAM,2,"Bislett Stadion, Oslo (NOR)",2023-06-15,1209,2023,women_400h,Women 400m Hurdles,,30.7,True
458,53.85,Shamier LITTLE,1995-03-20,USA,4,"Hayward Field, Eugene, OR (USA)",2021-06-27,1209,2021,women_400h,Women 400m Hurdles,,26.3,True
458,53.85,Andrenette KNIGHT,1996-11-19,JAM,1,"Marietta, GA (USA)",2022-07-02,1209,2022,women_400h,Women 400m Hurdles,,25.6,True
472,53.86,Dalilah MUHAMMAD,1990-02-07,USA,2sf2,"Hayward Field, Eugene, OR (USA)",2021-06-26,1209,2021,women_400h,Women 400m Hurdles,,31.4,True
472,53.86,Britton WILSON,2000-11-13,USA,1,"Hayward Field, Eugene, OR (USA)",2022-06-11,1209,2022,women_400h,Women 400m Hurdles,,21.6,True
491,53.88,Dalilah MUHAMMAD,1990-02-07,USA,1,"Drake Stadium, Des Moines, IA (USA)",2022-04-30,1208,2022,women_400h,Women 400m Hurdles,,32.2,True
500,53.89,Rushell CLAYTON,1992-10-18,JAM,1,"Sports Park Mladost, Zagreb (CRO)",2022-09-11,1208,2022,women_400h,Women 400m Hurdles,,29.9,True
506,53.9,Rushell CLAYTON,1992-10-18,JAM,2,"Olympiastadion, Stockholm (SWE)",2022-06-30,1207,2022,women_400h,Women 400m Hurdles,,29.7,True
506,53.9,Femke BOL,2000-02-23,NED,1h3,"Hayward Field, Eugene, OR (USA)",2022-07-19,1207,2022,women_400h,Women 400m Hurdles,,22.4,True
521,53.91,Femke BOL,2000-02-23,NED,1sf3,"National Stadium, Tokyo (JPN)",2021-08-02,1207,2021,women_400h,Women 400m Hurdles,,21.4,True
521,53.91,Line KLOSTER,1990-02-27,NOR,1f3,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",2022-07-03,1207,2022,women_400h,Women 400m Hurdles,,32.3,True
532,53.92,Shamier LITTLE,1995-03-20,USA,3,"Hayward Field, Eugene, OR (USA)",2022-06-25,1207,2022,women_400h,Women 400m Hurdles,,27.3,True
532,53.92,Janieve RUSSELL,1993-11-14,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1207,2022,women_400h,Women 400m Hurdles,,28.8,True
551,53.94,Femke BOL,2000-02-23,NED,1,"FBK Stadium, Hengelo (NED)",2022-06-06,1206,2022,women_400h,Women 400m Hurdles,,22.3,True
557,53.95,Sydney MCLAUGHLIN,1999-08-07,USA,1h1,"Hayward Field, Eugene, OR (USA)",2022-07-19,1206,2022,women_400h,Women 400m Hurdles,,22.9,True
557,53.95,Andrenette KNIGHT,1996-11-19,JAM,2,"Stadio Colbachini, Padova (ITA)",2022-09-04,1206,2022,women_400h,Women 400m Hurdles,,25.8,True
557,53.95,Shamier LITTLE,1995-03-20,USA,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2023-05-28,1206,2023,women_400h,Women 400m Hurdles,,28.2,True
585,53.97,Dalilah MUHAMMAD,1990-02-07,USA,1h5,"National Stadium, Tokyo (JPN)",2021-07-31,1205,2021,women_400h,Women 400m Hurdles,,31.5,True
594,53.98,Anna COCKRELL,1997-08-28,USA,4,"Hayward Field, Eugene, OR (USA)",2022-06-25,1205,2022,women_400h,Women 400m Hurdles,,24.8,True
626,54.01,Femke BOL,2000-02-23,NED,1,"Stadio Comunale, Bellinzona (SUI)",2021-09-14,1204,2021,women_400h,Women 400m Hurdles,,21.6,True
636,54.02,Viktoriya TKACHUK,1994-11-08,UKR,4,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1204,2021,women_400h,Women 400m Hurdles,,26.7,True
636,54.02,Britton WILSON,2000-11-13,USA,5,"Hayward Field, Eugene, OR (USA)",2022-07-22,1204,2022,women_400h,Women 400m Hurdles,,21.7,True
691,54.07,Sydney MCLAUGHLIN,1999-08-07,USA,1h1,"Hayward Field, Eugene, OR (USA)",2021-06-25,1202,2021,women_400h,Women 400m Hurdles,,21.9,True
691,54.07,Janieve RUSSELL,1993-11-14,JAM,1,"National Stadium, Kingston (JAM)",2021-06-25,1202,2021,women_400h,Women 400m Hurdles,,27.6,True
699,54.08,Janieve RUSSELL,1993-11-14,JAM,4,"Olympiastadion, Stockholm (SWE)",2021-07-04,1202,2021,women_400h,Women 400m Hurdles,,27.6,True
699,54.08,Britton WILSON,2000-11-13,USA,1pr5,"Hornet Stadium - Sac St., Sacramento, CA (USA)",2023-05-25,1202,2023,women_400h,Women 400m Hurdles,,22.5,True
713,54.09,Janieve RUSSELL,1993-11-14,JAM,1f2,"Estadio Francisco Montaner, Ponce (PUR)",2022-05-12,1201,2022,women_400h,Women 400m Hurdles,,28.5,True
713,54.09,Jessie KNIGHT,1994-06-15,GBR,1f1,"Putbosstadion, Oordegem (BEL)",2022-05-28,1201,2022,women_400h,Women 400m Hurdles,,28.0,True
731,54.1,Janieve RUSSELL,1993-11-14,JAM,2sf1,"National Stadium, Tokyo (JPN)",2021-08-02,1201,2021,women_400h,Women 400m Hurdles,,27.7,True
731,54.1,Shiann SALMON,1999-03-31,JAM,1h1,"National Stadium, Kingston (JAM)",2022-06-23,1201,2022,women_400h,Women 400m Hurdles,,23.2,True
740,54.11,Sydney MCLAUGHLIN,1999-08-07,USA,1h1,"Hayward Field, Eugene, OR (USA)",2022-06-23,1201,2022,women_400h,Women 400m Hurdles,,22.9,True
757,54.13,Gianna WOODRUFF,1993-11-18,PAN,3,"Stade Louis II, Monaco (MON)",2022-08-10,1200,2022,women_400h,Women 400m Hurdles,,28.7,True
764,54.14,Janieve RUSSELL,1993-11-14,JAM,1,"Alexander Stadium, Birmingham (GBR)",2022-08-06,1200,2022,women_400h,Women 400m Hurdles,,28.7,True
764,54.14,Janieve RUSSELL,1993-11-14,JAM,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1200,2022,women_400h,Women 400m Hurdles,,28.7,True
777,54.15,Anna RYZHYKOVA,1989-11-24,UKR,2,"Bislett Stadion, Oslo (NOR)",2021-07-01,1199,2021,women_400h,Women 400m Hurdles,,31.6,True
777,54.15,Rushell CLAYTON,1992-10-18,JAM,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2023-05-28,1199,2023,women_400h,Women 400m Hurdles,,30.6,True
800,54.16,Shiann SALMON,1999-03-31,JAM,3sf3,"Hayward Field, Eugene, OR (USA)",2022-07-20,1199,2022,women_400h,Women 400m Hurdles,,23.3,True
810,54.17,Anna COCKRELL,1997-08-28,USA,2sf3,"National Stadium, Tokyo (JPN)",2021-08-02,1199,2021,women_400h,Women 400m Hurdles,,23.9,True
823,54.18,Viktoriya TKACHUK,1994-11-08,UKR,1,"Stadion Śląski, Chorzów (POL)",2021-09-05,1198,2021,women_400h,Women 400m Hurdles,,26.8,True
823,54.18,Janieve RUSSELL,1993-11-14,JAM,2,"Stadio Olimpico, Roma (ITA)",2022-06-09,1198,2022,women_400h,Women 400m Hurdles,,28.6,True
842,54.19,Anna RYZHYKOVA,1989-11-24,UKR,2,"Stadio Luigi Ridolfi, Firenze (ITA)",2021-06-10,1198,2021,women_400h,Women 400m Hurdles,,31.5,True
852,54.2,Gianna WOODRUFF,1993-11-18,PAN,3,"Hayward Field, Eugene, OR (USA)",2021-08-21,1198,2021,women_400h,Women 400m Hurdles,,27.8,True
852,54.2,Rushell CLAYTON,1992-10-18,JAM,3,"National Stadium, Kingston (JAM)",2022-06-24,1198,2022,women_400h,Women 400m Hurdles,,29.7,True
852,54.2,Andrenette KNIGHT,1996-11-19,JAM,1,"Vanderbilt Track, Nashville, TN (USA)",2023-06-03,1198,2023,women_400h,Women 400m Hurdles,,26.5,True
874,54.21,Cara Nnenya HAILEY,1994-02-23,USA,2,"Stadion Śląski, Chorzów (POL)",2021-09-05,1198,2021,women_400h,Women 400m Hurdles,,27.5,True
891,54.22,Gianna WOODRUFF,1993-11-18,PAN,2sf2,"National Stadium, Tokyo (JPN)",2021-08-02,1197,2021,women_400h,Women 400m Hurdles,,27.7,True
891,54.22,Shiann SALMON,1999-03-31,JAM,1,"Grand Bahama Sports Complex, Freeport (BAH)",2022-08-21,1197,2022,women_400h,Women 400m Hurdles,,23.4,True
911,54.23,Anna RYZHYKOVA,1989-11-24,UKR,3sf2,"National Stadium, Tokyo (JPN)",2021-08-02,1197,2021,women_400h,Women 400m Hurdles,,31.7,True
911,54.23,Jessie KNIGHT,1994-06-15,GBR,1,"Stadion Wankdorf, Bern (SUI)",2021-08-21,1197,2021,women_400h,Women 400m Hurdles,,27.2,True
911,54.23,Britton WILSON,2000-11-13,USA,1h2,"Ole Miss T&F Complex, Oxford, MS (USA)",2022-05-12,1197,2022,women_400h,Women 400m Hurdles,,21.5,True
924,54.24,Cara Nnenya HAILEY,1994-02-23,USA,2sf1,"Hayward Field, Eugene, OR (USA)",2021-06-26,1197,2021,women_400h,Women 400m Hurdles,,27.3,True
924,54.24,Viktoriya TKACHUK,1994-11-08,UKR,4sf3,"Hayward Field, Eugene, OR (USA)",2022-07-20,1197,2022,women_400h,Women 400m Hurdles,,27.7,True
942,54.25,Viktoriya TKACHUK,1994-11-08,UKR,3sf3,"National Stadium, Tokyo (JPN)",2021-08-02,1196,2021,women_400h,Women 400m Hurdles,,26.7,True
942,54.25,Anna RYZHYKOVA,1989-11-24,UKR,3,"Stadion Śląski, Chorzów (POL)",2021-09-05,1196,2021,women_400h,Women 400m Hurdles,,31.8,True
942,54.25,Anna RYZHYKOVA,1989-11-24,UKR,2sf3,"Olympiastadion, München (GER)",2022-08-18,1196,2022,women_400h,Women 400m Hurdles,,32.7,True
942,54.25,Rushell CLAYTON,1992-10-18,JAM,5,"Letzigrund, Zürich (SUI)",2022-09-08,1196,2022,women_400h,Women 400m Hurdles,,29.9,True
969,54.27,Viktoriya TKACHUK,1994-11-08,UKR,4,"Stade Louis II, Monaco (MON)",2022-08-10,1196,2022,women_400h,Women 400m Hurdles,,27.8,True
986,54.28,Emma ZAPLETALOVÁ,2000-03-24,SVK,1,"Kadrioru staadion, Tallinn (EST)",2021-07-10,1195,2021,women_400h,Women 400m Hurdles,,21.3,True
1010,54.3,Viktoriya TKACHUK,1994-11-08,UKR,2,"Olympiastadion, München (GER)",2022-08-19,1195,2022,women_400h,Women 400m Hurdles,,27.8,True
1033,54.32,Anna RYZHYKOVA,1989-11-24,UKR,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1194,2021,women_400h,Women 400m Hurdles,,31.8,True
1033,54.32,Carolina KRAFZIK,1995-03-27,GER,1h2,"Olympiastadion, München (GER)",2022-08-17,1194,2022,women_400h,Women 400m Hurdles,,27.4,True
1033,54.32,Jessie KNIGHT,1994-06-15,GBR,1,"Paavo Nurmen Stadion, Turku (FIN)",2023-06-13,1194,2023,women_400h,Women 400m Hurdles,,29.0,True
1048,54.33,Ronda WHYTE,1990-11-06,JAM,2f2,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",2021-05-31,1194,2021,women_400h,Women 400m Hurdles,,30.6,True
1048,54.33,Femke BOL,2000-02-23,NED,1,"FBK Stadium, Hengelo (NED)",2021-06-06,1194,2021,women_400h,Women 400m Hurdles,,21.3,True
1048,54.33,Anna RYZHYKOVA,1989-11-24,UKR,3,"Olympiastadion, Stockholm (SWE)",2022-06-30,1194,2022,women_400h,Women 400m Hurdles,,32.6,True
1048,54.33,Andrenette KNIGHT,1996-11-19,JAM,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1194,2022,women_400h,Women 400m Hurdles,,25.8,True
1069,54.34,Sara GALLEGO,2000-10-11,ESP,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",2022-06-25,1193,2022,women_400h,Women 400m Hurdles,,21.7,True
1069,54.34,Ayomide FOLORUNSO,1996-10-17,ITA,5sf3,"Hayward Field, Eugene, OR (USA)",2022-07-20,1193,2022,women_400h,Women 400m Hurdles,,25.8,True
1085,54.35,Gianna WOODRUFF,1993-11-18,PAN,1,"Icahn Stadium, New York, NY (USA)",2022-06-12,1193,2022,women_400h,Women 400m Hurdles,,28.6,True
1096,54.36,Rushell CLAYTON,1992-10-18,JAM,6,"Hayward Field, Eugene, OR (USA)",2022-07-22,1193,2022,women_400h,Women 400m Hurdles,,29.8,True
1114,54.37,Britton WILSON,2000-11-13,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",2022-03-25,1192,2022,women_400h,Women 400m Hurdles,,21.4,True
1150,54.39,Viktoriya TKACHUK,1994-11-08,UKR,5,"Olympiastadion, Stockholm (SWE)",2021-07-04,1192,2021,women_400h,Women 400m Hurdles,,26.7,True
1150,54.39,Andrenette KNIGHT,1996-11-19,JAM,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2022-04-16,1192,2022,women_400h,Women 400m Hurdles,,25.4,True
1164,54.4,Anna RYZHYKOVA,1989-11-24,UKR,4,"Hayward Field, Eugene, OR (USA)",2021-08-21,1192,2021,women_400h,Women 400m Hurdles,,31.7,True
1164,54.4,Viivi LEHIKOINEN,1999-08-27,FIN,1,"Estadio Iberoamericano, Huelva (ESP)",2023-06-06,1192,2023,women_400h,Women 400m Hurdles,,23.8,True
1181,54.41,Rushell CLAYTON,1992-10-18,JAM,1,"Grand Bahama Sports Complex, Freeport (BAH)",2023-05-13,1191,2023,women_400h,Women 400m Hurdles,,30.6,True
1201,54.42,Cara Nnenya HAILEY,1994-02-23,USA,5,"Bregyó Athletic Center, Székesfehérvár (HUN)",2021-07-06,1191,2021,women_400h,Women 400m Hurdles,,27.4,True
1201,54.42,Shiann SALMON,1999-03-31,JAM,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2023-05-28,1191,2023,women_400h,Women 400m Hurdles,,24.2,True
1201,54.42,Anna HALL,2001-03-23,USA,3,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1191,2023,women_400h,Women 400m Hurdles,,22.2,True
1225,54.43,Femke BOL,2000-02-23,NED,1h4,"National Stadium, Tokyo (JPN)",2021-07-31,1191,2021,women_400h,Women 400m Hurdles,,21.4,True
1225,54.43,Shiann SALMON,1999-03-31,JAM,2f2,"Estadio Francisco Montaner, Ponce (PUR)",2022-05-12,1191,2022,women_400h,Women 400m Hurdles,,23.1,True
1233,54.44,Gianna WOODRUFF,1993-11-18,PAN,1,"Stade Charléty, Paris (FRA)",2021-08-28,1190,2021,women_400h,Women 400m Hurdles,,27.8,True
