Rank,Mark,wind,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,age,wind_legal
284,10.87,1.2,Elaine THOMPSON-HERAH,1992-06-28,JAM,1f2,"Ansin Sports Complex, Miramar, FL (USA)",2021-06-05,1228,2021,women_100m,Women 100m,28.9,True
284,10.87,0.6,Dina ASHER-SMITH,1995-12-04,GBR,2,"Letzigrund, Zürich (SUI)",2021-09-09,1228,2021,women_100m,Women 100m,25.8,True
284,10.87,1.8,Cambrea STURGIS,1999-03-27,USA,1,"Marcus T. Johnson Track, Greensboro, NC (USA)",2022-04-23,1228,2022,women_100m,Women 100m,23.1,True
284,10.87,1.8,Twanisha TERRY,1999-01-24,USA,1sf2,"Hayward Field, Eugene, OR (USA)",2022-06-24,1228,2022,women_100m,Women 100m,23.4,True
284,10.87,-0.2,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1h2,"Hayward Field, Eugene, OR (USA)",2022-07-16,1229,2022,women_100m,Women 100m,35.6,True
284,10.87,-0.2,Marie-Josée TA LOU,1988-11-18,CIV,2sf2,"Hayward Field, Eugene, OR (USA)",2022-07-17,1229,2022,women_100m,Women 100m,33.7,True
284,10.87,0.1,Tamari DAVIS,2003-02-15,USA,1h3,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",2022-07-30,1228,2022,women_100m,Women 100m,19.5,True
284,10.87,0.0,Aleia HOBBS,1996-02-24,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1228,2022,women_100m,Women 100m,26.5,True
284,10.87,2.0,Aleia HOBBS,1996-02-24,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-04-08,1228,2023,women_100m,Women 100m,27.1,True
323,10.88,1.5,Melissa JEFFERSON,2001-02-21,USA,1,"Cajuns Track and Soccer Facility, University of Louisiana, Lafayette, LA (USA)",2022-05-14,1226,2022,women_100m,Women 100m,21.2,True
323,10.88,1.5,Aleia HOBBS,1996-02-24,USA,1h1,"Hayward Field, Eugene, OR (USA)",2022-06-23,1226,2022,women_100m,Women 100m,26.3,True
323,10.88,0.5,Tamara CLARK,1999-01-09,USA,3sf1,"Hayward Field, Eugene, OR (USA)",2022-06-24,1226,2022,women_100m,Women 100m,23.5,True
323,10.88,0.9,Kemba NELSON,2000-02-23,JAM,2,"National Stadium, Kingston (JAM)",2022-06-24,1226,2022,women_100m,Women 100m,22.3,True
323,10.88,0.0,Shericka JACKSON,1994-07-16,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1226,2022,women_100m,Women 100m,28.1,True
323,10.88,1.3,Marie-Josée TA LOU,1988-11-18,CIV,1h2,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1226,2023,women_100m,Women 100m,34.5,True
323,10.88,-0.8,Marie-Josée TA LOU,1988-11-18,CIV,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1230,2023,women_100m,Women 100m,34.6,True
356,10.89,1.3,Twanisha TERRY,1999-01-24,USA,1h3,"Cushing Stadium, College Station, TX (USA)",2021-05-29,1224,2021,women_100m,Women 100m,22.3,True
356,10.89,1.6,Elaine THOMPSON-HERAH,1992-06-28,JAM,1h1,"Hilmer Lodge Stadium, Walnut, CA (USA)",2022-04-16,1224,2022,women_100m,Women 100m,29.8,True
356,10.89,0.6,Mujinga KAMBUNDJI,1992-06-17,SUI,1,"Letzigrund, Zürich (SUI)",2022-06-24,1224,2022,women_100m,Women 100m,30.0,True
356,10.89,0.9,Elaine THOMPSON-HERAH,1992-06-28,JAM,3,"National Stadium, Kingston (JAM)",2022-06-24,1224,2022,women_100m,Women 100m,30.0,True
356,10.89,-0.2,Dina ASHER-SMITH,1995-12-04,GBR,2sf1,"Hayward Field, Eugene, OR (USA)",2022-07-17,1225,2022,women_100m,Women 100m,26.6,True
356,10.89,0.0,Marie-Josée TA LOU,1988-11-18,CIV,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1224,2022,women_100m,Women 100m,33.8,True
356,10.89,1.9,Tamari DAVIS,2003-02-15,USA,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2023-04-22,1224,2023,women_100m,Women 100m,20.2,True
356,10.89,0.9,Shawnti JACKSON,2005-05-02,USA,1,"Vanderbilt Track, Nashville, TN (USA)",2023-06-03,1224,2023,women_100m,Women 100m,18.1,True
394,10.9,1.1,Blessing OKAGBARE,1988-10-09,NGR,2,"Suhaim bin Hamad Stadium, Doha (QAT)",2021-05-28,1222,2021,women_100m,Women 100m,32.6,True
394,10.9,1.8,Ajla DEL PONTE,1996-07-15,SUI,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",2021-08-14,1222,2021,women_100m,Women 100m,25.1,True
394,10.9,0.9,Marie-Josée TA LOU,1988-11-18,CIV,5,"Hayward Field, Eugene, OR (USA)",2021-08-21,1222,2021,women_100m,Women 100m,32.8,True
394,10.9,0.6,Julien ALFRED,2001-06-10,LCA,1sf1,"Hayward Field, Eugene, OR (USA)",2022-06-09,1222,2022,women_100m,Women 100m,21.0,True
394,10.9,1.0,Abby STEINER,1999-11-24,USA,1sf2,"Hayward Field, Eugene, OR (USA)",2022-06-09,1222,2022,women_100m,Women 100m,22.5,True
394,10.9,1.1,Daryll NEITA,1996-08-29,GBR,1sf3,"Alexander Stadium, Birmingham (GBR)",2022-08-03,1222,2022,women_100m,Women 100m,25.9,True
394,10.9,0.4,Twanisha TERRY,1999-01-24,USA,5,"Stade Louis II, Monaco (MON)",2022-08-10,1222,2022,women_100m,Women 100m,23.5,True
394,10.9,-0.8,Sha'Carri RICHARDSON,2000-03-25,USA,1h1,"Drake Stadium, Los Angeles, CA (USA)",2023-05-27,1226,2023,women_100m,Women 100m,23.2,True
443,10.91,0.7,Aleia HOBBS,1996-02-24,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2021-04-24,1220,2021,women_100m,Women 100m,25.2,True
443,10.91,0.4,Shericka JACKSON,1994-07-16,JAM,1h3,"National Stadium, Kingston (JAM)",2021-06-24,1220,2021,women_100m,Women 100m,26.9,True
443,10.91,0.7,Dina ASHER-SMITH,1995-12-04,GBR,1sf3,"Sportcity Regional Arena, Manchester (GBR)",2021-06-26,1220,2021,women_100m,Women 100m,25.6,True
443,10.91,-0.3,Marie-Josée TA LOU,1988-11-18,CIV,1,"Bislett Stadion, Oslo (NOR)",2021-07-01,1221,2021,women_100m,Women 100m,32.6,True
443,10.91,1.3,Ajla DEL PONTE,1996-07-15,SUI,2h5,"National Stadium, Tokyo (JPN)",2021-07-30,1220,2021,women_100m,Women 100m,25.0,True
443,10.91,-0.6,Marie-Josée TA LOU,1988-11-18,CIV,4,"National Stadium, Tokyo (JPN)",2021-07-31,1223,2021,women_100m,Women 100m,32.7,True
443,10.91,0.8,Tamari DAVIS,2003-02-15,USA,1,"Vanderbilt Track, Nashville, TN (USA)",2022-06-05,1220,2022,women_100m,Women 100m,19.3,True
443,10.91,0.5,Elaine THOMPSON-HERAH,1992-06-28,JAM,1sf2,"National Stadium, Kingston (JAM)",2022-06-24,1220,2022,women_100m,Women 100m,30.0,True
443,10.91,0.8,Mujinga KAMBUNDJI,1992-06-17,SUI,5,"Hayward Field, Eugene, OR (USA)",2022-07-17,1220,2022,women_100m,Women 100m,30.1,True
443,10.91,0.4,Daryll NEITA,1996-08-29,GBR,6,"Stade Louis II, Monaco (MON)",2022-08-10,1220,2022,women_100m,Women 100m,25.9,True
443,10.91,0.6,Aleia HOBBS,1996-02-24,USA,4,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1220,2022,women_100m,Women 100m,26.5,True
443,10.91,-0.8,Marie-Josée TA LOU,1988-11-18,CIV,3,"Letzigrund, Zürich (SUI)",2022-09-08,1224,2022,women_100m,Women 100m,33.8,True
443,10.91,2.0,Tamari DAVIS,2003-02-15,USA,1f1,"National Sports Centre, Devonshire (BER)",2023-05-21,1220,2023,women_100m,Women 100m,20.3,True
502,10.92,1.4,Cambrea STURGIS,1999-03-27,USA,1h3,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",2021-05-29,1217,2021,women_100m,Women 100m,22.2,True
502,10.92,0.8,Dina ASHER-SMITH,1995-12-04,GBR,1,"FBK Stadium, Hengelo (NED)",2021-06-06,1217,2021,women_100m,Women 100m,25.5,True
502,10.92,1.7,Shericka JACKSON,1994-07-16,JAM,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1217,2021,women_100m,Women 100m,27.1,True
502,10.92,0.5,Abby STEINER,1999-11-24,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2022-04-09,1217,2022,women_100m,Women 100m,22.4,True
502,10.92,0.7,Sha'Carri RICHARDSON,2000-03-25,USA,2,"Hayward Field, Eugene, OR (USA)",2022-05-28,1217,2022,women_100m,Women 100m,22.2,True
502,10.92,0.7,Shericka JACKSON,1994-07-16,JAM,3,"Hayward Field, Eugene, OR (USA)",2022-05-28,1217,2022,women_100m,Women 100m,27.9,True
502,10.92,2.0,Twanisha TERRY,1999-01-24,USA,1h2,"Hayward Field, Eugene, OR (USA)",2022-06-23,1217,2022,women_100m,Women 100m,23.4,True
502,10.92,1.8,Tamari DAVIS,2003-02-15,USA,2sf2,"Hayward Field, Eugene, OR (USA)",2022-06-24,1217,2022,women_100m,Women 100m,19.4,True
502,10.92,0.8,Marie-Josée TA LOU,1988-11-18,CIV,1h4,"Hayward Field, Eugene, OR (USA)",2022-07-16,1217,2022,women_100m,Women 100m,33.7,True
502,10.92,0.8,Aleia HOBBS,1996-02-24,USA,6,"Hayward Field, Eugene, OR (USA)",2022-07-17,1217,2022,women_100m,Women 100m,26.4,True
502,10.92,-0.2,Melissa JEFFERSON,2001-02-21,USA,3sf2,"Hayward Field, Eugene, OR (USA)",2022-07-17,1218,2022,women_100m,Women 100m,21.4,True
502,10.92,0.6,Shania COLLINS,1996-11-14,USA,3,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",2022-07-30,1217,2022,women_100m,Women 100m,25.7,True
502,10.92,1.3,Tamari DAVIS,2003-02-15,USA,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1217,2022,women_100m,Women 100m,19.5,True
502,10.92,1.0,Alana REID,2005-01-20,JAM,1,"National Stadium, Kingston (JAM)",2023-03-29,1217,2023,women_100m,Women 100m,18.2,True
502,10.92,0.9,Anthonique STRACHAN,1993-08-22,BAH,2,"Bislett Stadion, Oslo (NOR)",2023-06-15,1217,2023,women_100m,Women 100m,29.8,True
566,10.93,0.6,Ajla DEL PONTE,1996-07-15,SUI,3,"Letzigrund, Zürich (SUI)",2021-09-09,1215,2021,women_100m,Women 100m,25.2,True
566,10.93,0.6,Daryll NEITA,1996-08-29,GBR,4,"Letzigrund, Zürich (SUI)",2021-09-09,1215,2021,women_100m,Women 100m,25.0,True
566,10.93,2.0,Favour OFILI,2002-12-31,NGR,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",2022-04-30,1215,2022,women_100m,Women 100m,19.3,True
566,10.93,-0.8,Elaine THOMPSON-HERAH,1992-06-28,JAM,1,"Estadio Francisco Montaner, Ponce (PUR)",2022-05-12,1219,2022,women_100m,Women 100m,29.9,True
566,10.93,-0.7,Favour OFILI,2002-12-31,NGR,1,"Ole Miss T&F Complex, Oxford, MS (USA)",2022-05-14,1219,2022,women_100m,Women 100m,19.4,True
566,10.93,0.8,Marie-Josée TA LOU,1988-11-18,CIV,7,"Hayward Field, Eugene, OR (USA)",2022-07-17,1215,2022,women_100m,Women 100m,33.7,True
566,10.93,0.4,Shelly-Ann FRASER-PRYCE,1986-12-27,JAM,1sf3,"Hayward Field, Eugene, OR (USA)",2022-07-17,1215,2022,women_100m,Women 100m,35.6,True
566,10.93,0.6,Sha'Carri RICHARDSON,2000-03-25,USA,5,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1215,2022,women_100m,Women 100m,22.4,True
566,10.93,1.2,Aleia HOBBS,1996-02-24,USA,1h1,"Centennial Olympic Park, Atlanta, GA (USA)",2023-05-06,1215,2023,women_100m,Women 100m,27.2,True
629,10.94,1.7,Marie-Josée TA LOU,1988-11-18,CIV,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1213,2021,women_100m,Women 100m,32.8,True
629,10.94,0.6,Mujinga KAMBUNDJI,1992-06-17,SUI,5,"Letzigrund, Zürich (SUI)",2021-09-09,1213,2021,women_100m,Women 100m,29.2,True
629,10.94,1.3,Twanisha TERRY,1999-01-24,USA,1f1,"National Training Center, Clermont, FL (USA)",2022-05-01,1213,2022,women_100m,Women 100m,23.3,True
629,10.94,2.0,Michelle-Lee AHYE,1992-04-10,TTO,1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",2022-05-07,1213,2022,women_100m,Women 100m,30.1,True
629,10.94,-1.8,Elaine THOMPSON-HERAH,1992-06-28,JAM,1,"National Stadium, Kingston (JAM)",2022-05-21,1223,2022,women_100m,Women 100m,29.9,True
629,10.94,1.5,Tamara CLARK,1999-01-09,USA,2h1,"Hayward Field, Eugene, OR (USA)",2022-06-23,1213,2022,women_100m,Women 100m,23.5,True
629,10.94,1.8,Celera BARNES,1998-12-02,USA,3sf2,"Hayward Field, Eugene, OR (USA)",2022-06-24,1213,2022,women_100m,Women 100m,23.6,True
629,10.94,0.9,Briana WILLIAMS,2002-03-21,JAM,4,"National Stadium, Kingston (JAM)",2022-06-24,1213,2022,women_100m,Women 100m,20.3,True
